method,block_size,weight_json,chosen_start_layer,chosen_end_layer_inclusive,combined_score
weighted_mean_z,1,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",26,26,-1.9520883761410603
weighted_mean_z,2,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",13,14,-1.5830305921076993
weighted_mean_z,3,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",13,15,-1.353804626709577
weighted_mean_z,4,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",12,15,-1.1633001987123661
weighted_mean_z,5,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",12,16,-0.9530866170390355
weighted_mean_z,6,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",11,16,-0.7621534452308127
weighted_mean_z,7,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",9,15,-0.5906648404692256
weighted_mean_z,8,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",9,16,-0.46321764568539125
weighted_mean_z,9,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",8,16,-0.3066164523235116
weighted_mean_z,10,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",8,17,-0.16854826950761706
weighted_mean_z,11,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",8,18,-0.041959805036133196
weighted_mean_z,12,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",7,18,0.0791190348664225
weighted_mean_z,13,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",7,19,0.25409284464404686
weighted_mean_z,14,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",7,20,0.4277416228602594
weighted_mean_z,15,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",7,21,0.52339182215195
