block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,0.485506534576416,0.1726909726858139,0.16715022921562195,0.14206938445568085,0.14814241230487823,0.14490936696529388,0.14254681766033173,0.14074930548667908,0.13271813094615936,0.12458550184965134,0.12423815578222275,0.11944572627544403,0.10642194002866745,0.10324177891016006,0.102518729865551,0.0954684168100357,0.09486669301986694,0.10078225284814835,0.10890940576791763,0.13757431507110596,0.1199149638414383,0.13557957112789154,0.12429100275039673,0.11271295696496964,0.10188505053520203,0.09121159464120865,0.09099379926919937,0.21278104186058044
2,0.48963186144828796,0.22290785610675812,0.20685072243213654,0.19228588044643402,0.18885064125061035,0.1964440792798996,0.18255406618118286,0.17074938118457794,0.16709867119789124,0.15416225790977478,0.15031565725803375,0.1449989378452301,0.13320349156856537,0.12469203770160675,0.1254163533449173,0.12073390930891037,0.1297656148672104,0.1361439973115921,0.1610940396785736,0.17157162725925446,0.17248420417308807,0.17968297004699707,0.1693258285522461,0.15512996912002563,0.1394357979297638,0.13044816255569458,0.24425186216831207,
3,0.49015113711357117,0.2513868510723114,0.23655380308628082,0.21761225163936615,0.22132064402103424,0.21883641183376312,0.20245420932769775,0.19624917209148407,0.18364481627941132,0.16923236846923828,0.1681671142578125,0.16357216238975525,0.1471182405948639,0.14100141823291779,0.14091527462005615,0.1464356929063797,0.15517957508563995,0.17629669606685638,0.18959324061870575,0.20412983000278473,0.20871226489543915,0.21441024541854858,0.2015683501958847,0.18303318321704865,0.1723877638578415,0.26304787397384644,,
4,0.49115434288978577,0.2717367708683014,0.2531792223453522,0.2410985678434372,0.23759229481220245,0.23281468451023102,0.22098253667354584,0.2041589915752411,0.1910504251718521,0.18004687130451202,0.18239854276180267,0.16976548731327057,0.1567138135433197,0.15169170498847961,0.16115620732307434,0.16863423585891724,0.18632036447525024,0.20174938440322876,0.21876758337020874,0.22796717286109924,0.23943544924259186,0.24060821533203125,0.2238662987947464,0.20964939892292023,0.28829678893089294,,,
5,0.4927334785461426,0.2771351635456085,0.27041080594062805,0.2550489604473114,0.2485925704240799,0.2449982613325119,0.22740301489830017,0.21193668246269226,0.19876505434513092,0.19279056787490845,0.18745647370815277,0.18010033667087555,0.1687047928571701,0.16922956705093384,0.17690163850784302,0.1980375200510025,0.2110542207956314,0.228925421833992,0.24220307171344757,0.2505858838558197,0.2630433440208435,0.2600651979446411,0.24622376263141632,0.3116268217563629,,,,
6,0.494178831577301,0.28941866755485535,0.27932068705558777,0.2631474733352661,0.2596147954463959,0.2530287504196167,0.2327387034893036,0.2138790786266327,0.20676809549331665,0.19910751283168793,0.19597472250461578,0.1898978054523468,0.18532033264636993,0.1879064291715622,0.2084466814994812,0.2211187481880188,0.23904000222682953,0.25082796812057495,0.2637282907962799,0.2669629752635956,0.2805269956588745,0.27736037969589233,0.3368852734565735,,,,,
7,0.4937158524990082,0.3005240261554718,0.2861700654029846,0.27288559079170227,0.26618289947509766,0.2593008875846863,0.23476724326610565,0.22258003056049347,0.215521439909935,0.20694184303283691,0.20514754951000214,0.20413805544376373,0.20060572028160095,0.21544727683067322,0.22753576934337616,0.24655625224113464,0.2609666883945465,0.2713281810283661,0.2796628475189209,0.28265705704689026,0.29557833075523376,0.3537730872631073,,,,,,
8,0.4946255683898926,0.3063390254974365,0.2942245900630951,0.27773770689964294,0.2716827094554901,0.2651119530200958,0.242233544588089,0.22981508076190948,0.22191457450389862,0.21285952627658844,0.21794989705085754,0.21848946809768677,0.22308237850666046,0.23409564793109894,0.25029611587524414,0.26818224787712097,0.28139036893844604,0.28633633255958557,0.2950180470943451,0.29343321919441223,0.36784258484840393,,,,,,,
9,0.4947875440120697,0.3147123456001282,0.29744192957878113,0.2833084464073181,0.27637624740600586,0.27311378717422485,0.24874770641326904,0.23650717735290527,0.22639484703540802,0.22420518100261688,0.23048073053359985,0.23674455285072327,0.24202236533164978,0.2553182542324066,0.2693236470222473,0.2877371311187744,0.2965834140777588,0.301379531621933,0.3051093816757202,0.3664344251155853,,,,,,,,
10,0.4951663613319397,0.31646421551704407,0.3021186292171478,0.2873828709125519,0.28351864218711853,0.27699360251426697,0.2545393705368042,0.23849298059940338,0.2360975742340088,0.23557007312774658,0.24656623601913452,0.2549252510070801,0.2630905508995056,0.2747829854488373,0.2870233356952667,0.30229878425598145,0.31143322587013245,0.3104003369808197,0.3739360570907593,,,,,,,,,
11,0.49546393752098083,0.3215732276439667,0.3057524859905243,0.2943231761455536,0.28744712471961975,0.2815105617046356,0.25638696551322937,0.2472565919160843,0.24487146735191345,0.2522920072078705,0.2641347646713257,0.27534419298171997,0.2834334075450897,0.29237568378448486,0.3000376522541046,0.31652384996414185,0.32015562057495117,0.37698569893836975,,,,,,,,,,
12,0.49470123648643494,0.3233945667743683,0.3113642930984497,0.29748836159706116,0.29158249497413635,0.2854729890823364,0.2643612325191498,0.25496602058410645,0.2615453898906708,0.26749518513679504,0.2831893563270569,0.29596757888793945,0.3019683361053467,0.3055286407470703,0.31384554505348206,0.3247271180152893,0.3819890320301056,,,,,,,,,,,
13,0.49512943625450134,0.328869491815567,0.31536737084388733,0.3012659549713135,0.29492270946502686,0.2926405966281891,0.2705793082714081,0.27162235975265503,0.2742541432380676,0.283803790807724,0.3024807572364807,0.31427648663520813,0.3163776099681854,0.3195558488368988,0.3215014636516571,0.3860652446746826,,,,,,,,,,,,
14,0.49481847882270813,0.3326365351676941,0.31850916147232056,0.30431869626045227,0.30151572823524475,0.2998233735561371,0.2850278317928314,0.2826530635356903,0.2888275682926178,0.301445871591568,0.3201482594013214,0.32872146368026733,0.3304677903652191,0.3273148834705353,0.38401731848716736,,,,,,,,,,,,,
15,0.4951295554637909,0.3360271751880646,0.3212801516056061,0.31040212512016296,0.30783164501190186,0.30756640434265137,0.29527154564857483,0.29392996430397034,0.30469629168510437,0.3174121677875519,0.3345777690410614,0.34247279167175293,0.3385245203971863,0.3879028558731079,,,,,,,,,,,,,,
