block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,0.4780007600784302,0.16590921580791473,0.21249572932720184,0.1764782816171646,0.15819251537322998,0.15238620340824127,0.15830908715724945,0.13735151290893555,0.13680283725261688,0.12740784883499146,0.1196131780743599,0.11078538000583649,0.10268905758857727,0.0984213575720787,0.08925873041152954,0.09916798770427704,0.12054119259119034,0.12755048274993896,0.13944143056869507,0.16153204441070557,0.14988277852535248,0.1559159755706787,0.14623846113681793,0.1094440147280693,0.10287664830684662,0.10249771922826767,0.0941251814365387,0.21890069544315338
2,0.48175856471061707,0.2591339349746704,0.2400212287902832,0.21396921575069427,0.20387369394302368,0.2045416533946991,0.19056950509548187,0.1724228858947754,0.1619475781917572,0.15644125640392303,0.14382463693618774,0.13347406685352325,0.12942884862422943,0.1161125972867012,0.1218046322464943,0.1460537314414978,0.1609662026166916,0.17212845385074615,0.19600507616996765,0.21166306734085083,0.19790206849575043,0.20137625932693481,0.17659039795398712,0.1512872278690338,0.1481517255306244,0.14648041129112244,0.23917658627033234,
3,0.48180872201919556,0.2807605564594269,0.25184014439582825,0.24103707075119019,0.24016845226287842,0.22106951475143433,0.20929807424545288,0.1832793653011322,0.17733599245548248,0.17206153273582458,0.1577092558145523,0.14874359965324402,0.1398506462574005,0.13914166390895844,0.1581719070672989,0.1777864247560501,0.18980145454406738,0.20794066786766052,0.2349410504102707,0.23760458827018738,0.2241828739643097,0.22084109485149384,0.20324057340621948,0.18658891320228577,0.18697823584079742,0.2601116895675659,,
4,0.4827089011669159,0.28817811608314514,0.26084545254707336,0.25919780135154724,0.25134608149528503,0.23372703790664673,0.21730783581733704,0.19020095467567444,0.18707361817359924,0.17885150015354156,0.1688176840543747,0.14999419450759888,0.15614736080169678,0.16901521384716034,0.18639805912971497,0.20080693066120148,0.21368029713630676,0.2463674247264862,0.2558906376361847,0.2590339183807373,0.2352963089942932,0.24012231826782227,0.2283817082643509,0.21999822556972504,0.28286921977996826,,,
5,0.48324328660964966,0.292331725358963,0.26909518241882324,0.26330259442329407,0.2600310742855072,0.23956483602523804,0.22498181462287903,0.20059709250926971,0.19155004620552063,0.1895587146282196,0.16913709044456482,0.168114572763443,0.1832277625799179,0.1962125599384308,0.20878516137599945,0.21681077778339386,0.2509464919567108,0.2640707492828369,0.2746838629245758,0.2685343623161316,0.24599017202854156,0.2591012120246887,0.2551977038383484,0.30385470390319824,,,,
6,0.4847526550292969,0.2940486967563629,0.26724424958229065,0.27018460631370544,0.2669285833835602,0.24707482755184174,0.23172350227832794,0.20423777401447296,0.2011381834745407,0.1916169822216034,0.1823512315750122,0.19365285336971283,0.2043439745903015,0.2146388739347458,0.22603902220726013,0.25349047780036926,0.2675146758556366,0.27995091676712036,0.28238070011138916,0.2770095467567444,0.2580808997154236,0.27764585614204407,0.3305889368057251,,,,,
7,0.48510146141052246,0.29262545704841614,0.2747455835342407,0.2753892242908478,0.27445295453071594,0.2533968985080719,0.23580090701580048,0.21173803508281708,0.20148919522762299,0.1989697366952896,0.2058415412902832,0.2146555632352829,0.22298380732536316,0.2298535853624344,0.26018473505973816,0.2685045301914215,0.2828499376773834,0.28541046380996704,0.2895185947418213,0.28774401545524597,0.26972636580467224,0.34726399183273315,,,,,,
8,0.47904032468795776,0.3013724386692047,0.2837919294834137,0.28258252143859863,0.2801398038864136,0.25737330317497253,0.2414427250623703,0.21222326159477234,0.20931243896484375,0.21669547259807587,0.22508805990219116,0.22940689325332642,0.23741520941257477,0.26279327273368835,0.27422571182250977,0.2813473045825958,0.28600481152534485,0.29109710454940796,0.30075496435165405,0.29799121618270874,0.3527910113334656,,,,,,,
9,0.4836409389972687,0.31021052598953247,0.2925263047218323,0.2877010405063629,0.28407368063926697,0.26242825388908386,0.24267664551734924,0.22081345319747925,0.22887730598449707,0.23437795042991638,0.2389829009771347,0.24189229309558868,0.26874688267707825,0.27729129791259766,0.2865600287914276,0.2824324369430542,0.2891586422920227,0.2986278235912323,0.31058230996131897,0.36909404397010803,,,,,,,,
10,0.4834676682949066,0.31578463315963745,0.29624590277671814,0.28987812995910645,0.2886708378791809,0.2639336884021759,0.24850763380527496,0.24044694006443024,0.24323035776615143,0.24855612218379974,0.2533015310764313,0.27138209342956543,0.2816048264503479,0.2896292805671692,0.28774043917655945,0.28417453169822693,0.2941729426383972,0.30468422174453735,0.378901869058609,,,,,,,,,
