block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,0.019896197908417262,-0.3232905113159823,-0.34273839500351044,-0.35792110512382647,-0.33310545272168357,-0.3440619330470759,-0.3987648129878603,-0.41367523695603503,-0.4281896300286042,-0.4428359776991607,-0.5013528010069155,-0.5232951963459205,-0.4797593138999883,-0.5060090883090443,-0.49023018139793295,-0.47270261148588816,-0.5649966926476933,-0.613970452483959,-0.652164540984694,-0.7372349294897794,-0.7633328920555202,-0.7663633038617614,-0.7996483224366013,-0.8404392523205158,-0.8375600526370752,-0.847822216925049,-0.8177755311109426,-0.8144480354041345,-0.8047156408040147,-0.7601358855849633,-0.6026244424234887,-0.04241916016215544
2,0.22029501593270143,-0.09082695059905188,-0.10814964773702318,-0.13609522372370841,-0.11991315788854778,-0.142765157429205,-0.18775574387409905,-0.1877978180856978,-0.2450853860017344,-0.2716250260620887,-0.31508348474643283,-0.33610709954774276,-0.2796909110031339,-0.28420265538344897,-0.26798978550360875,-0.3220971306370023,-0.37671502699249426,-0.44187753837135724,-0.5050007412903179,-0.5833312520977876,-0.6161769929227904,-0.625804081707275,-0.673459031489395,-0.7004430465820081,-0.7078817092688432,-0.6985238535761484,-0.6688478620286733,-0.6603315736655336,-0.6285800214283961,-0.4342716030280276,0.14427910535640376,
3,0.33167093316742546,0.05618949573728358,0.041280905814497906,0.016149497821226405,0.009158032170741681,-0.014827509264169824,-0.05045608590726748,-0.0740091739900449,-0.13632215673917758,-0.16933475747158638,-0.20326151559621408,-0.19591060288807907,-0.14103052405359773,-0.13422469690726224,-0.17810291492061936,-0.20654528569741273,-0.26180345985107406,-0.3459691534008593,-0.4122672942066372,-0.4790978877001293,-0.5102929692892458,-0.5313064102279487,-0.5737342845475328,-0.5976745330871922,-0.5923547797226187,-0.5750157769449677,-0.5459240617303627,-0.5202864699661651,-0.35017098546793834,0.22051969565002688,,
4,0.411657311079863,0.16417842076723785,0.15162067872175003,0.10605541391249287,0.09915589243759329,0.0670294195556469,0.017319115371633283,-0.007239479001927435,-0.067348613872646,-0.11871367742449197,-0.09396111024966027,-0.09317751494173099,-0.02234725001132998,-0.064989695668864,-0.10213148941857544,-0.12517603149897907,-0.192413566657882,-0.2666959452410739,-0.343900908488557,-0.39175087686801047,-0.4314209250488613,-0.44909660073285873,-0.494740199061263,-0.5027051730176216,-0.4855584022796727,-0.46849119651929116,-0.43167857004766114,-0.2737435619918984,0.2578550296679105,,,
5,0.4629538005606597,0.23179272779727347,0.2157893150577338,0.17320400133428585,0.15815166001954145,0.10914683231437329,0.0667384266013632,0.04052028739274613,-0.030410672200733777,-0.03286819230184139,-0.017865918130171146,0.008026147360238232,0.03503389482518724,0.006084537661361426,-0.030795362007801145,-0.060272783222336604,-0.1298193228372287,-0.19901015385939275,-0.2704266980649275,-0.3247524251229902,-0.35997022047661487,-0.38013155871518645,-0.4052998078858494,-0.4082269701448695,-0.39299848429445483,-0.36139498325532515,-0.21460944187527678,0.2954414378165142,,,,
6,0.5010431999283852,0.2790621773556621,0.26825759151225675,0.220127051483827,0.1853084030184208,0.15594260031337132,0.11112150526688688,0.06939400321251679,0.03822063457193519,0.03359281024978588,0.06381581614201026,0.05237102456394447,0.08601259588329792,0.07537847007944329,0.024099245350744307,-0.00850043338124945,-0.07839673107337781,-0.13597711461858986,-0.21206867030073107,-0.26368112758666074,-0.3037581249103073,-0.29982451446043,-0.32403642616393813,-0.3218295478142469,-0.2963121016223517,-0.16136278506943993,0.31739319153833423,,,,,
7,0.5264327271948317,0.32113847154476144,0.3044110665898787,0.2405663616910099,0.2210066834839387,0.18834883216373513,0.14029605749377777,0.11740074583660168,0.08243138485628589,0.10516322406075015,0.09233349405957136,0.10340854540064294,0.13787804966405814,0.10794880846148541,0.06849791474499296,0.03370029190192335,-0.02477222818812326,-0.0859353730330149,-0.15894213740634944,-0.2157712132733646,-0.23582586032806363,-0.22851013603699213,-0.24449184427956688,-0.23531662265806713,-0.11436197728960293,0.3434250634860908,,,,,,
8,0.5454543386095724,0.34741552796074504,0.31788923200163344,0.26898572830490963,0.24550637064092418,0.2066724447220443,0.16703817911106034,0.15052653008235367,0.1434377441526602,0.13659337222717438,0.13917564962805593,0.15193876177394017,0.166316632803594,0.1397637360128382,0.1036738361007129,0.07996566004487474,0.01706661759736714,-0.04277363949792731,-0.11988592897636327,-0.1542231582319429,-0.16981779514125733,-0.15620285867827632,-0.16749955854331883,-0.06824205815923451,0.36306163450904283,,,,,,,
9,0.5580582163445886,0.3579597689083951,0.3432620070892939,0.2873043237433174,0.2577988597385792,0.22492483599131777,0.18066805786592172,0.19959615056156413,0.16977764204822676,0.17977087734788502,0.17885549454361221,0.18211141437085834,0.19354985608646294,0.15955826252407368,0.14460776275253465,0.11536428495260934,0.05329688214243701,-0.010157211166771634,-0.06663950421429637,-0.09599912726104182,-0.10287759258529057,-0.08493270725744795,-0.0161763779761217,0.3806380234055089,,,,,,,,
10,0.5653104631621245,0.38025704949647104,0.35528280823750336,0.29813290450799046,0.2688205996194578,0.22979471433043577,0.2090111027728714,0.2253922997084809,0.2065114849850811,0.21382418711735318,0.20727669911220165,0.21015875686190857,0.21161844542031027,0.20073411275526581,0.1752694467446562,0.14537582002989347,0.0797833979592576,0.03630474437686959,-0.015524465945583009,-0.032752697061610055,-0.036091045016900636,0.0465542260343863,0.39952715263096983,,,,,,,,,
