block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,-0.059959847890234994,-1.1444032309673886,-1.1907565882849926,-1.2137436465164513,-1.1184618094070813,-1.0951747065716195,-1.2276677873794288,-1.2637295285472656,-1.3904426789734368,-1.4462334022439967,-1.5613188148023822,-1.5984816744326746,-1.4772215481340427,-1.57945404099784,-1.5327385020317914,-1.5575159200811886,-1.70067254208459,-1.8562386396766226,-2.0339797777599053,-2.2298859482703106,-2.2973655704545317,-2.3502969986267104,-2.432536401929913,-2.5457848413148247,-2.558936416459435,-2.5944293925282262,-2.5523071577059966,-2.5047731636649537,-2.495216290601406,-2.3340487615421432,-1.830635955087079,-0.22762095879133637
2,0.5824850377040385,-0.47698963689133633,-0.38592930832507216,-0.4886443383778023,-0.42535420396039886,-0.47931390845507105,-0.5790947261519362,-0.6628797885705875,-0.836935144821082,-0.9077083690342052,-0.9906060159081427,-1.0277760365532322,-0.914884757179597,-0.9479030864288405,-0.9361409379304143,-1.0296451679259433,-1.1682563586838381,-1.3745734623385473,-1.5885192697544728,-1.7723448720196013,-1.8670587326048653,-1.9031661343774098,-2.040572473861655,-2.11872636215265,-2.161909966263062,-2.153466913949927,-2.095349367997538,-2.0540223032403437,-1.9491766038741414,-1.3252103762780114,0.36232896531514697,
3,0.9536419029259315,0.08578389638335615,0.05060070850065347,-0.04469937184374666,-0.03354906554574175,-0.10425928828573341,-0.20390061531788034,-0.3246619678517704,-0.48288902879585804,-0.5570318794943816,-0.6588586572951349,-0.636854899425856,-0.5136531024168688,-0.5383843505324937,-0.6100244684030239,-0.6681154604653377,-0.8397363306874583,-1.084355009832116,-1.2921394404374003,-1.466782427502407,-1.5506634181527643,-1.6111036019184017,-1.731694161063416,-1.8165793242701926,-1.8225292760816243,-1.7901368127596742,-1.725454660405883,-1.628722239656069,-1.086783102538494,0.5842078453638135,,
4,1.2140649548946514,0.413264393011222,0.3899501046148393,0.23642185699178708,0.23967350682759714,0.15620210698791942,0.006188902156458823,-0.0977127808976442,-0.24414076222709513,-0.36767331752014376,-0.361124491919959,-0.33362140593380735,-0.21165697713562043,-0.28503751117046,-0.3443394076376334,-0.422204917419267,-0.6226745382720005,-0.8570000820996659,-1.0673868329153793,-1.2077109333167246,-1.3138007337836912,-1.3598106950578954,-1.4929967100903356,-1.5230176875655466,-1.5090183064434164,-1.4665438157765078,-1.3689522901864555,-0.8602323915761174,0.6852669618990812,,,
5,1.37890557067616,0.6331713793805032,0.5900339750981386,0.42927887236201956,0.4394374840434876,0.28092364726393754,0.18033145330239914,0.06824379517166032,-0.10958377033885418,-0.12452869725473296,-0.1407714967288704,-0.08887788078566408,-0.005886175448498031,-0.051337415098325116,-0.13532242227672353,-0.24371377508081155,-0.4460705860577129,-0.6666355057881429,-0.8511324540240615,-1.0027399860316524,-1.0967099400703852,-1.1511523973672033,-1.2319447562068389,-1.2538844883509177,-1.2312524925806008,-1.1490287978388967,-0.6952981899382806,0.8119350907142623,,,,
6,1.4735423499948688,0.7862228827263118,0.7364836608286507,0.5739708147104531,0.5271349456534358,0.408305489134444,0.3089162783424257,0.18597133233774793,0.08610942926860071,0.049580277407153574,0.052124518934632436,0.07606516000864655,0.1742588575905007,0.13362417387248923,0.0057957938353851695,-0.10165594764846766,-0.3000214635777708,-0.47867520675301956,-0.6752705400214776,-0.8141555606428829,-0.9225967153273323,-0.9125756867319547,-0.9937739739669604,-0.9968345910285332,-0.9545914613467481,-0.5361481919742459,0.8717624497376643,,,,,
7,1.5487703748076969,0.9074947634241631,0.8706184464171399,0.6508698654406071,0.6160090104140306,0.5113596964760945,0.38128495732011436,0.31862880888691836,0.20196064599661384,0.20626962899384887,0.1806028073825074,0.24314396892004098,0.3199709157332863,0.25315182126922636,0.12851573014610598,0.020196495328605155,-0.13563032326113883,-0.32939368897380794,-0.513529881836317,-0.6669185111174813,-0.7129691774537474,-0.7097756554174315,-0.7606961910050225,-0.7448118692132283,-0.3910650813048773,0.9407221074856112,,,,,,
8,1.6016260487098335,0.9975786010356358,0.9203921345308093,0.7196453224246677,0.6858120265064593,0.5526875029922369,0.47518746707919546,0.4027237875408684,0.32671536994569067,0.32167111596774944,0.33220061962517633,0.3765107412201133,0.4238506405738984,0.35994780453003095,0.23220991199690771,0.15848496708130375,-0.007481277053308699,-0.19314942839072424,-0.38954603649534136,-0.4683202434509654,-0.5278145324728778,-0.4965445490648744,-0.5383388322716958,-0.23321711261441377,1.006359859322661,,,,,,,
9,1.6424573314690802,1.044450730504448,0.9849398127727117,0.7734454265517652,0.7157463521950653,0.619440572733408,0.5348379509316896,0.4953900894645472,0.4278140267709971,0.4550131789728924,0.44592317459152847,0.47868655652403735,0.5141584683205234,0.44836670973901466,0.35903807921095926,0.26804364239719775,0.11252892423594214,-0.08521915661162607,-0.21313664458063716,-0.3044632960210971,-0.3290261155100548,-0.2959472028724828,-0.07781964518206211,1.063076342377645,,,,,,,,
10,1.6737477331219712,1.0999092583277168,1.0126933632067185,0.7795919170385723,0.7638380855426308,0.6451198809870177,0.5926484568720456,0.5777958495519635,0.541884806329404,0.5566323104333046,0.5411420851910949,0.5666116784056185,0.5916623975055196,0.563626369845033,0.45577327372091375,0.36782701180101207,0.2027554531541485,0.0701332293671957,-0.07008448093546488,-0.11610926370773825,-0.1397150386433198,0.10881447828397128,1.1348344767496348,,,,,,,,,
11,1.6922092207128119,1.1288943052171945,1.0350522018076653,0.8326555680701168,0.7818305650153636,0.6821194997654656,0.6616263452572466,0.6662944026065033,0.6366017983431349,0.6361330488450733,0.6259144771871068,0.6402711723214702,0.6858359068166826,0.6494539520267228,0.5450907015787447,0.44563936071373433,0.34052938970061236,0.20324566631455937,0.1033408218763166,0.05022733730486097,0.24048688294878978,1.20648527716855,,,,,,,,,,
12,1.700413984112169,1.126089415058564,1.0573585242376098,0.8433363856179708,0.7978487606456999,0.7456865559138388,0.7451573233250437,0.7521018602833975,0.7095232820984094,0.7124613791758218,0.6877883100930096,0.7342917501475716,0.757161148465034,0.7260655221763672,0.6160007549097842,0.5729066850947755,0.45582025487363376,0.36292968699738615,0.24791601122407803,0.39356026470523386,1.2812756050993541,,,,,,,,,,,
13,1.710964547463739,1.1421446327682898,1.0511204168124946,0.8468104379839032,0.8530036881450795,0.8199067773611557,0.8105791070084487,0.8242928504343677,0.7757016132612171,0.7693666601042354,0.7768903031248262,0.8079360607680106,0.823703205197157,0.7907615965631676,0.7274525030266268,0.6764231456019141,0.5992242569563607,0.4943833776167819,0.5549786786273433,1.3398424175930048,,,,,,,,,,,,
14,1.7096254327291007,1.1427583659136311,1.052777619790917,0.8963483918342656,0.9130481350423345,0.8829048341529044,0.8713639530559638,0.877177998436291,0.8270548645064921,0.8534431149526938,0.8496033813929692,0.8720568493710656,0.8805010067786734,0.8929722202238694,0.8218366761533994,0.8014949067279359,0.7128807713574811,0.764314463692239,1.4044122756054604,,,,,,,,,,,,,
15,1.6979003461679434,1.1372239465553335,1.0964798356691976,0.953507229924426,0.9598562796377166,0.9378132090821765,0.9170738002586789,0.9243563009458005,0.9028204318872977,0.9212092884624596,0.9119106352475598,0.9294711793535309,0.9704422134690299,0.9838217551588244,0.9376265833163471,0.901440723583616,0.9514563144452135,1.5000043640984129,,,,,,,,,,,,,,
16,1.6773756242926492,1.1736785992641157,1.133486559350565,1.0006213994366744,1.0068332290016382,0.9809198125228382,0.9641080299047158,0.9928735438040043,0.9648943295958685,0.9825901103966007,0.9652365525351267,1.0184554775306363,1.0448514886857707,1.091409129721269,1.0278923289019535,1.1060358899137679,1.5681497965346831,,,,,,,,,,,,,,,
