block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,0.3344850242137909,0.2270091325044632,0.21795110404491425,0.20756199955940247,0.21254616975784302,0.22285382449626923,0.21458791196346283,0.21321097016334534,0.19799628853797913,0.19430190324783325,0.18601174652576447,0.18347463011741638,0.19330978393554688,0.1856933832168579,0.19019292294979095,0.18409176170825958,0.17695657908916473,0.16343189775943756,0.14569664001464844,0.13051974773406982,0.12258128076791763,0.11891813576221466,0.10729234665632248,0.09665616601705551,0.09786823391914368,0.0954718366265297,0.09694380313158035,0.10424219816923141,0.10380220413208008,0.1198267787694931,0.16410912573337555,0.30984634160995483
2,0.38759395480155945,0.2878369688987732,0.2867114543914795,0.27338624000549316,0.2806469202041626,0.2822798788547516,0.27466392517089844,0.26284608244895935,0.24980342388153076,0.24390725791454315,0.23823939263820648,0.2356749027967453,0.24393615126609802,0.2421894669532776,0.2412806898355484,0.2373027205467224,0.22538037598133087,0.20904327929019928,0.1876753568649292,0.17241781949996948,0.16328033804893494,0.15868452191352844,0.14351370930671692,0.13642650842666626,0.13479779660701752,0.13483838737010956,0.14161856472492218,0.14709751307964325,0.15475457906723022,0.2095501720905304,0.3591040074825287,
3,0.4175122380256653,0.33407503366470337,0.32410329580307007,0.319585382938385,0.32124587893486023,0.3176620900630951,0.30556729435920715,0.29391616582870483,0.28343695402145386,0.2770027816295624,0.2677498161792755,0.2702906131744385,0.27995532751083374,0.27745261788368225,0.2745721638202667,0.27201685309410095,0.2568522095680237,0.23673276603221893,0.21584826707839966,0.20077814161777496,0.1915665566921234,0.18547634780406952,0.1721888929605484,0.16403739154338837,0.1654541939496994,0.17013776302337646,0.17570260167121887,0.18697890639305115,0.23160172998905182,0.37842345237731934,,
4,0.44113481044769287,0.3636201322078705,0.36108124256134033,0.3493134379386902,0.348472535610199,0.3393775224685669,0.325525164604187,0.3157970905303955,0.30631184577941895,0.29653194546699524,0.29352888464927673,0.2977147698402405,0.30554863810539246,0.3027215600013733,0.30127981305122375,0.2960207164287567,0.2778850793838501,0.25809553265571594,0.2373126745223999,0.2240627110004425,0.21309231221675873,0.2081124186515808,0.19390185177326202,0.19039729237556458,0.1955595165491104,0.19965413212776184,0.20985659956932068,0.25340843200683594,0.3882444500923157,,,
5,0.4546321928501129,0.38799363374710083,0.382866233587265,0.37012559175491333,0.3639071583747864,0.351250559091568,0.3425460457801819,0.33175012469291687,0.3204266130924225,0.3172954320907593,0.31326916813850403,0.31801170110702515,0.3255554139614105,0.32534387707710266,0.3220604360103607,0.31340500712394714,0.29475945234298706,0.2763400971889496,0.256996750831604,0.2423698753118515,0.23252423107624054,0.22685596346855164,0.21674630045890808,0.21686027944087982,0.22157591581344604,0.23067322373390198,0.26950380206108093,0.39764031767845154,,,,
6,0.4651426672935486,0.404310941696167,0.3979327082633972,0.3822808563709259,0.3719598650932312,0.3644120991230011,0.3543919324874878,0.3445523679256439,0.337259441614151,0.3323885202407837,0.3293952941894531,0.3344481587409973,0.34379857778549194,0.34249675273895264,0.3363998532295227,0.3273245096206665,0.30849510431289673,0.2932449281215668,0.27305835485458374,0.258941113948822,0.2477344125509262,0.24682417511940002,0.2401403933763504,0.2406158149242401,0.2487490177154541,0.28495126962661743,0.40634530782699585,,,,,
7,0.4719546437263489,0.4167592227458954,0.4082306921482086,0.38852474093437195,0.3819866478443146,0.37311679124832153,0.36325547099113464,0.3564167320728302,0.3472172021865845,0.34508979320526123,0.3429051339626312,0.3507882058620453,0.35777944326400757,0.3542952239513397,0.34828105568885803,0.3384842872619629,0.3229272961616516,0.3071476221084595,0.28747934103012085,0.27185654640197754,0.2656233608722687,0.2668538987636566,0.2618011236190796,0.26490432024002075,0.29813098907470703,0.41301068663597107,,,,,,
8,0.4765649139881134,0.4236224591732025,0.41200459003448486,0.3965170681476593,0.38848742842674255,0.3792683482170105,0.3719881772994995,0.3633173406124115,0.35676801204681396,0.356278657913208,0.35720881819725037,0.3638626039028168,0.36772462725639343,0.36457228660583496,0.35753312706947327,0.3508603572845459,0.3346101939678192,0.3187618553638458,0.2978823184967041,0.2882067859172821,0.283652126789093,0.2863444983959198,0.2835402190685272,0.3101334571838379,0.41908442974090576,,,,,,,
9,0.47935494780540466,0.4264634847640991,0.4188014268875122,0.4020816683769226,0.39313673973083496,0.3855046033859253,0.3756455183029175,0.3697025775909424,0.3661400079727173,0.36864781379699707,0.368632435798645,0.3735176920890808,0.3764926493167877,0.37243399024009705,0.3684850037097931,0.3608868718147278,0.3443809449672699,0.32744067907333374,0.31199711561203003,0.30419740080833435,0.3016034662723541,0.30504071712493896,0.3246639668941498,0.42433151602745056,,,,,,,,
10,0.4812910258769989,0.4316619038581848,0.4231826663017273,0.40590670704841614,0.39744341373443604,0.3863368034362793,0.3799630403518677,0.3767259120941162,0.3767154812812805,0.37885457277297974,0.3775756359100342,0.38171231746673584,0.3834684193134308,0.38205772638320923,0.37725332379341125,0.3689750134944916,0.3512533903121948,0.3398818075656891,0.326081782579422,0.32068634033203125,0.3189849853515625,0.3409242331981659,0.4313022792339325,,,,,,,,,
11,0.4828048050403595,0.43480128049850464,0.4256497919559479,0.40895360708236694,0.39790353178977966,0.38917386531829834,0.38490957021713257,0.38568228483200073,0.38574516773223877,0.38676881790161133,0.3853101432323456,0.3881278932094574,0.39200180768966675,0.3900161683559418,0.384310781955719,0.3744555115699768,0.36207473278045654,0.35218435525894165,0.34078311920166016,0.3360113501548767,0.35231292247772217,0.43699410557746887,,,,,,,,,,
12,0.4837157428264618,0.4356062114238739,0.426933228969574,0.4082225263118744,0.3990241587162018,0.3931659460067749,0.39288055896759033,0.3932332396507263,0.39266014099121094,0.3933377265930176,0.39122164249420166,0.39646095037460327,0.39888444542884827,0.39621371030807495,0.3891821801662445,0.38400065898895264,0.37280187010765076,0.36551839113235474,0.3536776006221771,0.36603009700775146,0.44339969754219055,,,,,,,,,,,
