block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,0.30775508284568787,0.21172021329402924,0.21346338093280792,0.23091883957386017,0.2375418245792389,0.232146754860878,0.22061680257320404,0.21677373349666595,0.21265758574008942,0.20881828665733337,0.19345726072788239,0.1875767707824707,0.1992887705564499,0.19212868809700012,0.19612160325050354,0.20051760971546173,0.17625941336154938,0.1627848744392395,0.15220943093299866,0.1299533247947693,0.12287213653326035,0.11194414645433426,0.10979253053665161,0.1021268293261528,0.09639032185077667,0.09227803349494934,0.09324902296066284,0.09858353435993195,0.09723173826932907,0.11227001249790192,0.16242222487926483,0.29908671975135803
2,0.366325706243515,0.2679661512374878,0.2969761788845062,0.2891107201576233,0.29465848207473755,0.28388944268226624,0.2766995131969452,0.27704551815986633,0.2617432475090027,0.25478529930114746,0.24332042038440704,0.23757481575012207,0.25279247760772705,0.25133591890335083,0.25528809428215027,0.24100817739963531,0.22630809247493744,0.20840339362621307,0.1916927993297577,0.17103388905525208,0.15782387554645538,0.15396873652935028,0.14547637104988098,0.13973331451416016,0.1315802037715912,0.13075894117355347,0.13206355273723602,0.13431011140346527,0.14487533271312714,0.20684704184532166,0.3594231903553009,
3,0.4064997434616089,0.3321964740753174,0.3362851142883301,0.32190293073654175,0.3245448172092438,0.3148457407951355,0.31385281682014465,0.3075111210346222,0.29092979431152344,0.2823035418987274,0.27304428815841675,0.2751223146915436,0.28981220722198486,0.29107946157455444,0.27941223978996277,0.2717960774898529,0.25680646300315857,0.23368176817893982,0.21655432879924774,0.19528785347938538,0.1872410774230957,0.18073464930057526,0.1730417013168335,0.16709919273853302,0.16075259447097778,0.16071389615535736,0.16354455053806305,0.1703859269618988,0.22603172063827515,0.3785646855831146,,
4,0.4328846335411072,0.3615341782569885,0.3610605001449585,0.34316718578338623,0.3463901877403259,0.34077319502830505,0.332001268863678,0.3254234790802002,0.30956169962882996,0.29402029514312744,0.30226558446884155,0.30254799127578735,0.3211614489555359,0.30959808826446533,0.2996367812156677,0.2933700978755951,0.2745234966278076,0.2533094882965088,0.2330428808927536,0.2186632603406906,0.208421528339386,0.2041168510913849,0.19466358423233032,0.1921168714761734,0.18699239194393158,0.18881087005138397,0.19362415373325348,0.2449468970298767,0.38564664125442505,,,
5,0.44847097992897034,0.3779526650905609,0.37556710839271545,0.3560137450695038,0.3683592975139618,0.35140979290008545,0.34482935070991516,0.3383011519908905,0.3176043629646301,0.3187659680843353,0.3225843012332916,0.32921934127807617,0.33657917380332947,0.32851147651672363,0.318372517824173,0.3079744279384613,0.28931084275245667,0.2667158246040344,0.2518782913684845,0.23683390021324158,0.22874324023723602,0.22349809110164642,0.21729956567287445,0.21336504817008972,0.2100876271724701,0.21363985538482666,0.25749272108078003,0.400068461894989,,,,
6,0.4544807970523834,0.389880895614624,0.3857917785644531,0.3701396882534027,0.3767918050289154,0.3602568209171295,0.3555661737918854,0.3458840250968933,0.337681382894516,0.336437851190567,0.34408456087112427,0.34121429920196533,0.3500860929489136,0.3468041718006134,0.3285540044307709,0.31918302178382874,0.29891735315322876,0.28259268403053284,0.266491562128067,0.2540997862815857,0.24466575682163239,0.24474120140075684,0.23675012588500977,0.23488450050354004,0.23150385916233063,0.27147603034973145,0.4015806019306183,,,,,
7,0.46031874418258667,0.3990098536014557,0.4017552137374878,0.37893790006637573,0.3810867667198181,0.37032467126846313,0.358386367559433,0.3588223457336426,0.34949466586112976,0.35523197054862976,0.3518943786621094,0.3547019064426422,0.3638351559638977,0.35568639636039734,0.3382512032985687,0.327091246843338,0.31317436695098877,0.29375818371772766,0.2807411253452301,0.2672092616558075,0.26254498958587646,0.26053526997566223,0.25585097074508667,0.25459539890289307,0.28510209918022156,0.4066537916660309,,,,,,
8,0.46462196111679077,0.40929505228996277,0.4078156650066376,0.3821312487125397,0.38667094707489014,0.3707347512245178,0.36725494265556335,0.36763307452201843,0.3654297888278961,0.3637429475784302,0.36426863074302673,0.36755579710006714,0.3715508282184601,0.3642454147338867,0.34497717022895813,0.338485985994339,0.3229827582836151,0.3064264953136444,0.29218509793281555,0.28442949056625366,0.2770106792449951,0.2785061299800873,0.2729776203632355,0.3024117350578308,0.41316837072372437,,,,,,,
9,0.4692800045013428,0.4162677526473999,0.41185304522514343,0.3862367868423462,0.3871760368347168,0.37724196910858154,0.3756871223449707,0.38040637969970703,0.37253376841545105,0.3751148581504822,0.37477800250053406,0.3757351338863373,0.3788151741027832,0.3696279227733612,0.3564876317977905,0.3465423882007599,0.3344445824623108,0.31638041138648987,0.3072284162044525,0.2970139682292938,0.2941676676273346,0.29454565048217773,0.3159756660461426,0.41847801208496094,,,,,,,,
10,0.4736119210720062,0.4201403260231018,0.41183844208717346,0.38149186968803406,0.39263826608657837,0.38180938363075256,0.3831334114074707,0.38735339045524597,0.38222935795783997,0.3841356933116913,0.38249868154525757,0.38320428133010864,0.383696973323822,0.38057786226272583,0.3637581169605255,0.35597047209739685,0.3430938124656677,0.32980069518089294,0.31844672560691833,0.3137566149234772,0.3096696734428406,0.33245161175727844,0.42558178305625916,,,,,,,,,
11,0.47501248121261597,0.42182016372680664,0.4133627116680145,0.390218049287796,0.3965311050415039,0.38715410232543945,0.39081260561943054,0.393546998500824,0.39151731133461,0.3897908329963684,0.3901969790458679,0.3876945674419403,0.3915683329105377,0.3865205943584442,0.372700035572052,0.36429452896118164,0.35497191548347473,0.3411017060279846,0.3341735303401947,0.32692816853523254,0.34564343094825745,0.43203163146972656,,,,,,,,,,
12,0.4756840467453003,0.41987845301628113,0.4169400632381439,0.39452478289604187,0.39915359020233154,0.3948666751384735,0.3977928161621094,0.4029269516468048,0.39723652601242065,0.3972008526325226,0.39255568385124207,0.39581379294395447,0.396074503660202,0.39384815096855164,0.38035351037979126,0.37625762820243835,0.3648046553134918,0.35559314489364624,0.34567081928253174,0.3595576882362366,0.4405527114868164,,,,,,,,,,,
13,0.4773589074611664,0.42303043603897095,0.4194912016391754,0.3948226571083069,0.4064943492412567,0.4012894928455353,0.40447279810905457,0.4100649058818817,0.4034388065338135,0.399456262588501,0.40000295639038086,0.40082812309265137,0.4021040201187134,0.40061384439468384,0.3900792896747589,0.38573089241981506,0.3779752850532532,0.3665902018547058,0.37446048855781555,0.44537344574928284,,,,,,,,,,,,
14,0.47679439187049866,0.4248949885368347,0.4187481105327606,0.4026168882846832,0.4110342562198639,0.40832552313804626,0.40973740816116333,0.41454848647117615,0.4052162766456604,0.4067572355270386,0.40500345826148987,0.4066500961780548,0.40795981884002686,0.4095369875431061,0.39917537569999695,0.3970184326171875,0.38740235567092896,0.3921146094799042,0.4508175253868103,,,,,,,,,,,,,
15,0.47499582171440125,0.4252238869667053,0.42526206374168396,0.4083736836910248,0.4157954156398773,0.41373100876808167,0.4142615497112274,0.4155232310295105,0.41116204857826233,0.4117446541786194,0.4108411967754364,0.412931352853775,0.41528815031051636,0.4188292622566223,0.4097752571105957,0.40555548667907715,0.4107967019081116,0.45905447006225586,,,,,,,,,,,,,,
16,0.4711463451385498,0.43072065711021423,0.42761725187301636,0.4143025279045105,0.420237272977829,0.41833874583244324,0.41612422466278076,0.42052069306373596,0.4154638946056366,0.4180116355419159,0.41633638739585876,0.42033061385154724,0.42210137844085693,0.42874130606651306,0.41780200600624084,0.42535993456840515,0.4648589789867401,,,,,,,,,,,,,,,
17,0.4773314893245697,0.4329882860183716,0.43226373195648193,0.4180256426334381,0.4237538278102875,0.42046836018562317,0.4220641851425171,0.4247274398803711,0.4223310947418213,0.42375418543815613,0.42345893383026123,0.42659053206443787,0.43053051829338074,0.4360906779766083,0.4358997344970703,0.47244229912757874,,,,,,,,,,,,,,,,
