block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,0.9398698777057143,-0.2639002498832566,-0.17738720643822659,-0.3304554808637068,-0.3078461347065138,-0.37409929564529965,-0.3743808149565924,-0.3917562482548024,-0.4326713722206833,-0.49032514555602147,-0.49587387464942806,-0.5125187924948338,-0.5705953087477894,-0.5669677447945887,-0.58673355989318,-0.6081906919419765,-0.5640064644714257,-0.5345949982256005,-0.484022366390722,-0.3906678854949604,-0.44026739110751284,-0.41670177293997784,-0.45709429216029396,-0.5514248550324905,-0.6058503554230829,-0.5516756606782088,-0.6396986544583954,-0.0849839816433795
2,0.9557245310354673,0.019292345885298566,-0.06263850663965623,-0.13493529687565775,-0.17847968603683628,-0.17481497533773374,-0.20893130165763024,-0.2569152881457231,-0.3153565243700529,-0.3724093531688269,-0.3919213808235087,-0.4182094176992797,-0.46084030787212105,-0.4969842255649407,-0.4962261234129604,-0.4566573642594649,-0.39222057025413226,-0.346337430421646,-0.24562991040206605,-0.17968943934839704,-0.23867627470906438,-0.22447156856075606,-0.32599951855131115,-0.3928861096685664,-0.4272956995663285,-0.42183311490982967,0.014782789774347134,
3,0.963155811257273,0.1098329935297351,0.014452323418368579,-0.051832071521187795,-0.06473535896395657,-0.07518979018436955,-0.12335462685083698,-0.17938163423300002,-0.2571739576303652,-0.31166890480082,-0.3236683456037711,-0.34830295685889673,-0.40664279685522775,-0.4309496643521225,-0.4060512867013145,-0.32196685589739193,-0.27068257688122627,-0.19544959125367078,-0.08132217870859867,-0.07157560549757319,-0.1267237754259102,-0.1428350133006136,-0.2064188822030474,-0.27290255019229614,-0.2868563764559334,0.11341397794666809,,
4,0.9623196374975145,0.15295846657438814,0.06677175453515422,0.01937731719204005,-0.005384042114464596,-0.014760559997953318,-0.06859368880425515,-0.1579626672698204,-0.2194673744392899,-0.2697372292446438,-0.26952173238082955,-0.32171127881990824,-0.36805535022502656,-0.36034190147997214,-0.2863604008522924,-0.22493190219288042,-0.1716839889959531,-0.033085100007262724,0.005693051253175603,0.02081202417084758,-0.05376231607340662,-0.057177543309556496,-0.1139559803792943,-0.14703587144349758,0.17847528720387754,,,
5,0.9705552582224228,0.1760497810570848,0.11737780291401924,0.07047567010478914,0.03913739854907828,0.024595107581630336,-0.054084698359367855,-0.12062339356606727,-0.1876190262623,-0.22180809414920843,-0.24689711024491623,-0.2814098902612316,-0.3009941911576981,-0.24522849897285398,-0.19201503549839619,-0.15858568996345948,-0.014495866612849595,0.03982312547812494,0.08636200228657903,0.06039494353815543,0.034815074036660294,0.022911610475289564,-0.001064114346835143,0.24522488572012768,,,,
6,0.9668248716646295,0.2131857680601707,0.15207269629166698,0.10532655635585042,0.07079344211262845,0.051626865813709996,-0.02885589182394018,-0.10504855022532061,-0.15946674087214263,-0.20857166782267125,-0.21534780440415927,-0.2404925069115686,-0.2112089901595463,-0.16770921892239082,-0.11997307307073436,-0.00425494929687922,0.053377491146152894,0.10818768984457963,0.11844542414711073,0.09496439291197811,0.10775347254093473,0.09551370597299454,0.34009865455807153,,,,,
7,0.9685462282890073,0.24909412303297146,0.1811354321390674,0.1304308992360337,0.08747936565469805,0.06827004187646415,-0.013282819787585037,-0.07817036408398603,-0.14391090953186497,-0.17491759290548264,-0.17674246190082546,-0.1683121831905319,-0.13241732937590628,-0.10389057467306384,0.023716342849861148,0.057249163052106075,0.11955183126292541,0.13060874892678906,0.1474807044435649,0.13932358746232537,0.16993948942808557,0.4014770254347113,,,,,,
8,0.9707329790963725,0.2740839215625029,0.2014459168140317,0.143409010338807,0.10306861560449578,0.08681571694267394,0.00776039447067277,-0.06651831049218687,-0.1174929082714482,-0.14610154071634174,-0.12402263248418513,-0.1057637234261369,-0.0720167376450424,0.03476435002084562,0.08090049765114075,0.11328863326816042,0.13234692253772753,0.15365818600683018,0.1937462424704577,0.18320249389649493,0.45753596575868416,,,,,,,
9,0.9694680205188864,0.2954349885240075,0.20960702466753678,0.15949883090964928,0.11940800837786149,0.11248935705429286,0.01846781143047248,-0.041696136401573256,-0.09215894529864374,-0.08674678637352318,-0.06612087785671908,-0.05288082658561711,0.05995531738948269,0.09383627431351413,0.13435077943634519,0.1447794453723102,0.18218535229973168,0.20186080518499197,0.23556243255304712,0.4861529767936002,,,,,,,,
10,0.9712738554011777,0.29327872064472627,0.22450215946977617,0.1699099676882268,0.13915579409641746,0.1178027978810254,0.03942742012145038,-0.024366638930583474,-0.04942763419712565,-0.02665994439192618,-0.005917195468495102,0.07072057328642786,0.11235052151785249,0.14732872406502004,0.14587380156157204,0.2007826965647584,0.2428516558033047,0.2376656201470803,0.5266524219284664,,,,,,,,,
11,0.9716720385783787,0.3132536021809766,0.23368908873989216,0.19215884980231493,0.15295425706937504,0.13712288722720922,0.054494017188789254,0.00940056329374375,0.003974455626591391,0.03867680939420351,0.10751940287864122,0.1179520840413635,0.16030177419760633,0.16595697424063693,0.19605783284972159,0.25943100490061244,0.2782122528092784,0.5173991888231881,,,,,,,,,,
12,0.9692228830591191,0.31740034384849236,0.24867526858785588,0.19431157507281308,0.15981613056965083,0.15258696500000596,0.08376942765013193,0.04214908836250586,0.061738670964315595,0.13352448809667594,0.15571939635961382,0.17468333164092845,0.20156422818222158,0.2156414516491697,0.2530597208573736,0.2926589318676094,0.524231176995827,,,,,,,,,,,
13,0.9702263860403968,0.3338917781683727,0.2538683788029243,0.21186992507118765,0.2036711510389665,0.1780846555420669,0.12045442654161634,0.09155468613684545,0.16016460280722683,0.17428497302293222,0.2113797313786541,0.24224037045261643,0.25520534185717003,0.27764388912858673,0.28389536988896313,0.5389079804434287,,,,,,,,,,,,
14,0.9680137453548452,0.3374816217351935,0.2696248398872818,0.2431826609633412,0.23232428414081363,0.2040425309650456,0.18271404828683627,0.18759913188292146,0.1867522585597003,0.24163399220095994,0.2741513024402607,0.2961206059586989,0.31322058368095723,0.32126107890025685,0.5329415187310211,,,,,,,,,,,,,
