block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,2.8699680734796815,-0.8899158612355476,-0.781546303850905,-1.08330896155675,-1.0892326855486436,-1.189342087849774,-1.1871884687030652,-1.2961370729134063,-1.3666555739622686,-1.493634153410961,-1.5316326754312837,-1.603772365806357,-1.7508708549653673,-1.7767380216715298,-1.8598057930049485,-1.8455909252482023,-1.7566537151112,-1.6626759213028723,-1.5588378901572515,-1.2705102087294797,-1.457296684403333,-1.3329899317658809,-1.468229757269611,-1.7096266487440264,-1.8427727589819676,-1.7910533686276646,-1.9192080387520352,-0.3213411474838888
2,2.9242871615359247,-0.10218246877419408,-0.31834698459271354,-0.5079361655351345,-0.6079925018244493,-0.5680727277613655,-0.7254061147885547,-0.8937871409829201,-1.0022368848062828,-1.1394776460830411,-1.2211582514459725,-1.3216180501032224,-1.4216977727106337,-1.5492992385258577,-1.5366034009174876,-1.4401865211425824,-1.308293748673035,-1.193883999554611,-0.937270325923326,-0.807676858791373,-0.8652315836653416,-0.8114304873902571,-0.9987545047756934,-1.2338315283898558,-1.294381414330059,-1.3196490111887054,-0.01094146511545118,
3,2.9373038826709768,0.21395772557027937,-0.02377791858204899,-0.20723779188617064,-0.2221204265569195,-0.3095884303386641,-0.47948288058074773,-0.6638751587155519,-0.820998372555195,-0.9483686436918326,-1.0301675722584294,-1.1244880823181924,-1.2766835426326297,-1.3176118379400898,-1.2428769423069768,-1.0990559936845612,-0.9800518280714496,-0.7498210483217844,-0.5609260651809562,-0.46548747063786705,-0.47772356463713883,-0.46435120900153204,-0.6572044877668504,-0.794409905164639,-0.8805817707401575,0.24614983301490967,,
4,2.940238398560123,0.4189380117992956,0.13666934161645783,0.030998995564164834,-0.040867063785489335,-0.14029399169416923,-0.31068512853949587,-0.5898446652076708,-0.7091068810662127,-0.8362459488843199,-0.876661167140391,-1.0723159869146888,-1.125160227011754,-1.0929956313559481,-0.954725398238225,-0.8215432922163322,-0.646851525523253,-0.4061619107375707,-0.2665461481385051,-0.18650296985661124,-0.1930982028362408,-0.19523318975238488,-0.3082401543908822,-0.4440434532013111,0.5006091730554674,,,
5,2.956440331476916,0.4759247625075498,0.2896318767583923,0.15418697983344837,0.0841581941209516,-0.026197240448561344,-0.24457730959914392,-0.4754008479232984,-0.62920867473924,-0.6953064450403791,-0.83939092284534,-0.9072381256453976,-0.9113558409546605,-0.8343923831441414,-0.7243185825540699,-0.533568509669609,-0.3129274217220821,-0.13749832292154018,-0.0018930198045010033,0.034086488093931666,0.022995792197285682,0.09656969140050009,-0.013020463055374024,0.7521489540775256,,,,
6,2.9620013201502955,0.5663818681319981,0.35136606860671316,0.2500298484419043,0.19237383074429004,0.0659639562073675,-0.16684852664579936,-0.43559500896264186,-0.5302475009757983,-0.6500064462546667,-0.7120183308312954,-0.7171678577538018,-0.6897197459505388,-0.6001315455623184,-0.4216952710283298,-0.21517849356681154,-0.04716207349481252,0.10021173200353753,0.20287485703494357,0.20261130169640768,0.2728080758637604,0.31902013829099185,1.0546879425322522,,,,,
7,2.964781749507228,0.6407730140135692,0.44132926818344104,0.33957215825252884,0.26586894306498166,0.1338536479646506,-0.12517706963750763,-0.3429469847546964,-0.48182987795996557,-0.5516230287698809,-0.5331235505872569,-0.5121239320637174,-0.48047965356872135,-0.3420333001656272,-0.13933730026158758,0.02760424886897024,0.18507493657022145,0.28673620308148084,0.3590192151734115,0.41380777540796754,0.4525503228374362,1.2472868552593286,,,,,,
8,2.9470120750315685,0.727503941259662,0.5333823420687372,0.4030344945685181,0.3270105345915256,0.1930425315705383,-0.05286876281572819,-0.30678034306970714,-0.39367701497395086,-0.4193061629105011,-0.34993514752597066,-0.3321639355198222,-0.25615413831270656,-0.0644878749071727,0.08047164282630594,0.24640548659627445,0.3588079488163494,0.4306286376249666,0.5663480087327158,0.5563585863446594,1.396933873890084,,,,,,,
9,2.9679575292124385,0.8215950497136595,0.595534937034913,0.4635623512347664,0.37784908700193715,0.26681470280504926,-0.014361968266895241,-0.21549690998058157,-0.26516313684825354,-0.25593713677719854,-0.1836641058353397,-0.140669916318929,0.015014341387945135,0.14798983402865645,0.27957721676218505,0.40457704601922784,0.4887911865186263,0.6199283712598793,0.7020738518722172,1.4673029122170567,,,,,,,,
10,2.968529611527865,0.8513696718432154,0.6438389089956472,0.499707407851286,0.4422661256224044,0.2930382644670275,0.05670152334332059,-0.10428391211744346,-0.12473130518348209,-0.09922224859492022,-0.006304670035716655,0.11059076046490962,0.21582449907798304,0.3539205430678426,0.4268885905629061,0.5291735104040047,0.6636153860069661,0.7295065762891286,1.554790796674673,,,,,,,,,
11,2.9618608935097335,0.9013747283887441,0.6750952520791459,0.5726990599352746,0.47591472546891345,0.3412554701184028,0.14001589123554592,0.023224839755487055,0.0017283098130499476,0.08442821911958975,0.23747705169791936,0.3006245795996573,0.4191181454825962,0.5001469709481785,0.5439895254007144,0.6912450727614562,0.7530915008581524,1.5888772097319692,,,,,,,,,,
12,2.9588502230323264,0.9195054337380493,0.7309341039336896,0.5995843965552968,0.5154291021008776,0.43451920848942444,0.24996836760113922,0.12607555811856247,0.18056907587807985,0.2929107955450123,0.42114717299466964,0.5061235262795725,0.5754936073271304,0.6197683471294413,0.7001207034177066,0.7714215774106198,1.6253730479859878,,,,,,,,,,,
13,2.9592163884715044,0.9806995841388104,0.764004908589023,0.6394198993903566,0.5889356075000897,0.5284635580779398,0.3468467612353647,0.3014415685112267,0.37507442692050447,0.4518712640896992,0.6255437181903083,0.6529625955223328,0.7000974367517756,0.7835784830884097,0.780441287880963,1.6519482497414613,,,,,,,,,,,,
14,2.9528387062449464,1.0059144506898483,0.8042592287605275,0.7209654991751924,0.664993567909049,0.6267443601311349,0.5068126075467313,0.47822816452806655,0.5091178064293103,0.6587355221333355,0.775334754545314,0.7803426154510004,0.8684644140923761,0.8719164881176027,1.6495775934901622,,,,,,,,,,,,,
