task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
code,1,26,26,0.09022646397352219
code,2,15,16,0.1214234009385109
code,3,13,15,0.14073047041893005
code,4,13,16,0.15216566622257233
code,5,12,16,0.1689070612192154
code,6,12,17,0.18541249632835388
code,7,12,18,0.20151861011981964
code,8,9,16,0.21190308034420013
code,9,9,17,0.22326654195785522
code,10,8,17,0.23405620455741882
code,11,8,18,0.242717906832695
code,12,7,18,0.2517808973789215
code,13,6,18,0.2674461007118225
code,14,7,20,0.280173659324646
