task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,14,14,0.08922548592090607
math,2,13,14,0.11606687307357788
math,3,13,15,0.13909205794334412
math,4,11,14,0.14952796697616577
math,5,11,15,0.16770948469638824
math,6,10,15,0.18194085359573364
math,7,9,15,0.19840550422668457
math,8,8,15,0.2087370604276657
math,9,7,15,0.21945375204086304
math,10,7,16,0.23945553600788116
math,11,7,17,0.25315773487091064
math,12,7,18,0.26257988810539246
math,13,7,19,0.2765904366970062
math,14,6,19,0.29823794960975647
math,15,11,25,0.3032021224498749
