block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,0.4780125916004181,0.16647759079933167,0.2123344987630844,0.17638850212097168,0.15758731961250305,0.15194830298423767,0.1573016196489334,0.13658076524734497,0.13667963445186615,0.12702743709087372,0.11953669786453247,0.1106727346777916,0.10235536843538284,0.09868387132883072,0.08936691284179688,0.09917377680540085,0.1209302619099617,0.12798403203487396,0.14002132415771484,0.1621943861246109,0.15042856335639954,0.1557588279247284,0.14639651775360107,0.10969096422195435,0.10288592427968979,0.10201401263475418,0.09433145821094513,0.21984466910362244
2,0.4817633330821991,0.25925230979919434,0.23993442952632904,0.21322289109230042,0.20342668890953064,0.2033863365650177,0.18963681161403656,0.1716620773077011,0.16160060465335846,0.15609332919120789,0.14369769394397736,0.13325543701648712,0.129350945353508,0.11619313806295395,0.12179739028215408,0.14640456438064575,0.16177307069301605,0.17269198596477509,0.1965630203485489,0.21232940256595612,0.19815267622470856,0.20158682763576508,0.17683497071266174,0.1515365093946457,0.1478932499885559,0.1463538110256195,0.23954759538173676,
3,0.4817335903644562,0.2809334993362427,0.2513139843940735,0.24037805199623108,0.2394556850194931,0.219914972782135,0.20848476886749268,0.18244443833827972,0.1770259290933609,0.17157255113124847,0.15743690729141235,0.14871060848236084,0.13974693417549133,0.13915035128593445,0.15848185122013092,0.17843987047672272,0.19061407446861267,0.20852448046207428,0.23567117750644684,0.23798564076423645,0.22482553124427795,0.22113196551799774,0.20345507562160492,0.1866229623556137,0.18710696697235107,0.26014411449432373,,
4,0.48255455493927,0.28792640566825867,0.2605896592140198,0.2582007646560669,0.2507988214492798,0.23276284337043762,0.21662937104701996,0.18935753405094147,0.18651647865772247,0.17836764454841614,0.16868220269680023,0.14989174902439117,0.1560312956571579,0.16934558749198914,0.1870039999485016,0.20150424540042877,0.2141922265291214,0.24708212912082672,0.25626787543296814,0.259830117225647,0.23606358468532562,0.24051882326602936,0.22838380932807922,0.22033236920833588,0.28292563557624817,,,
5,0.4829378128051758,0.2922441065311432,0.26858651638031006,0.26246827840805054,0.25954872369766235,0.23864883184432983,0.22436212003231049,0.19945882260799408,0.1909562051296234,0.18922731280326843,0.16887910664081573,0.1679897904396057,0.18349041044712067,0.1967269778251648,0.2093409299850464,0.21735407412052155,0.2516012191772461,0.2643510103225708,0.275343656539917,0.26929059624671936,0.24673454463481903,0.25934678316116333,0.2552407681941986,0.30407440662384033,,,,
6,0.48437389731407166,0.2937009930610657,0.26689791679382324,0.26941248774528503,0.266544371843338,0.24613872170448303,0.23093295097351074,0.20311087369918823,0.20063841342926025,0.19116878509521484,0.18222101032733917,0.1939534991979599,0.2048894762992859,0.21516937017440796,0.22646811604499817,0.2541007101535797,0.2676771581172943,0.28052446246147156,0.28302574157714844,0.27753210067749023,0.25867316126823425,0.2780272960662842,0.33065125346183777,,,,,
7,0.48475220799446106,0.2921934723854065,0.27453315258026123,0.27475619316101074,0.2740093171596527,0.2522319555282593,0.23498587310314178,0.21075834333896637,0.20096644759178162,0.1986449956893921,0.20606760680675507,0.21520060300827026,0.2235853374004364,0.23035144805908203,0.2606956660747528,0.26865053176879883,0.28322863578796387,0.2859351336956024,0.28992095589637756,0.2880777418613434,0.27045947313308716,0.3475525379180908,,,,,,
8,0.4786640703678131,0.3011060953140259,0.28357335925102234,0.2818949520587921,0.27946242690086365,0.25616544485092163,0.24078471958637238,0.21116647124290466,0.20892636477947235,0.21671254932880402,0.22555047273635864,0.23006188869476318,0.23791803419589996,0.2633410394191742,0.27425259351730347,0.2818204462528229,0.2862834930419922,0.2914227545261383,0.30090048909187317,0.298470675945282,0.3536365032196045,,,,,,,
9,0.48345106840133667,0.3099236786365509,0.29222020506858826,0.2868915796279907,0.2833770513534546,0.2613751292228699,0.24202106893062592,0.21977119147777557,0.22878004610538483,0.23454904556274414,0.23945294320583344,0.24237313866615295,0.26933759450912476,0.27733445167541504,0.28682035207748413,0.28282469511032104,0.2891092002391815,0.2986953854560852,0.3108043372631073,0.36993101239204407,,,,,,,,
10,0.48320209980010986,0.3154601752758026,0.295881062746048,0.2890264093875885,0.2881090044975281,0.26283007860183716,0.2479228377342224,0.23972629010677338,0.24332216382026672,0.24876278638839722,0.25364384055137634,0.2719409167766571,0.2817307412624359,0.2899114489555359,0.2878819704055786,0.2842787206172943,0.2938220798969269,0.30480414628982544,0.379522442817688,,,,,,,,,
11,0.48312878608703613,0.317902535200119,0.2973567843437195,0.29540425539016724,0.29139769077301025,0.2657022476196289,0.26184576749801636,0.2534577548503876,0.2559755742549896,0.26416146755218506,0.28062623739242554,0.2830643355846405,0.29297906160354614,0.2908777594566345,0.2896612286567688,0.2869812548160553,0.29637640714645386,0.37738364934921265,,,,,,,,,,
12,0.4813404083251953,0.3192100524902344,0.3027835786342621,0.2983852028846741,0.292916864156723,0.2792505919933319,0.273361474275589,0.2628563642501831,0.2696104049682617,0.2866866886615753,0.2919553220272064,0.295718789100647,0.29537203907966614,0.293514221906662,0.29232800006866455,0.28770819306373596,0.37739354372024536,,,,,,,,,,,
13,0.4814290702342987,0.32510846853256226,0.30591335892677307,0.30013054609298706,0.30343160033226013,0.2888645529747009,0.2837434709072113,0.2767389118671417,0.29302558302879333,0.2962772846221924,0.3050951659679413,0.2973277270793915,0.2985047399997711,0.29706186056137085,0.29442188143730164,0.3755636215209961,,,,,,,,,,,,
14,0.4810461699962616,0.3272463381290436,0.3086905777454376,0.31273189187049866,0.3103081285953522,0.2989373505115509,0.2983846068382263,0.2995373606681824,0.29931750893592834,0.31218093633651733,0.3074890971183777,0.30055806040763855,0.30249935388565063,0.3004641532897949,0.37787115573883057,,,,,,,,,,,,,
