task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
syntax,1,26,26,0.08411074429750443
syntax,2,14,15,0.11671558767557144
syntax,3,14,16,0.13469846546649933
syntax,4,13,16,0.14970389008522034
syntax,5,12,16,0.16351215541362762
syntax,6,12,17,0.17986197769641876
syntax,7,11,17,0.19537381827831268
syntax,8,9,16,0.20866966247558594
syntax,9,9,17,0.21932770311832428
syntax,10,9,18,0.23204678297042847
syntax,11,8,18,0.24173963069915771
syntax,12,8,19,0.25412824749946594
syntax,13,8,20,0.26515454053878784
syntax,14,8,21,0.27626538276672363
