block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,0.48065271973609924,0.178993359208107,0.16962704062461853,0.1559411585330963,0.16790246963500977,0.15118175745010376,0.1511107087135315,0.14672556519508362,0.13639956712722778,0.12184913456439972,0.1204487681388855,0.1162479892373085,0.10138387233018875,0.1025063768029213,0.09326166659593582,0.09210269153118134,0.09010802209377289,0.10106202214956284,0.10614921897649765,0.12751924991607666,0.11028526723384857,0.12015561014413834,0.10566883534193039,0.0979047492146492,0.08639314025640488,0.10636573284864426,0.08415083587169647,0.22414754331111908
2,0.4864572286605835,0.23081372678279877,0.2164522111415863,0.21154102683067322,0.20055146515369415,0.2014763504266739,0.19286620616912842,0.18075619637966156,0.16600702702999115,0.15160825848579407,0.14580366015434265,0.1382075697183609,0.1292904019355774,0.1199825182557106,0.11668669432401657,0.11778649687767029,0.1250803917646408,0.135261669754982,0.150491401553154,0.15536697208881378,0.15558363497257233,0.15761969983577728,0.14698487520217896,0.13273164629936218,0.13775625824928284,0.13913488388061523,0.24932628870010376,
3,0.4886729419231415,0.25970661640167236,0.2492428869009018,0.23251429200172424,0.22702337801456451,0.22661936283111572,0.2144637107849121,0.20032383501529694,0.1806909143924713,0.1669376939535141,0.16150955855846405,0.15416184067726135,0.1404833197593689,0.13683408498764038,0.134733185172081,0.144039586186409,0.1505192667245865,0.16852834820747375,0.17427857220172882,0.18082699179649353,0.18752557039260864,0.19061385095119476,0.17460861802101135,0.17672139406204224,0.1673058271408081,0.27421844005584717,,
4,0.4884619116783142,0.284198522567749,0.2624470591545105,0.2504858374595642,0.24423666298389435,0.24187025427818298,0.2282840609550476,0.20572946965694427,0.19020715355873108,0.1775202453136444,0.175035297870636,0.1596379429101944,0.15126778185367584,0.1496639847755432,0.15633338689804077,0.16621696949005127,0.17775873839855194,0.18816843628883362,0.1964254081249237,0.2029520720243454,0.21742373704910278,0.2136780470609665,0.21266725659370422,0.20234006643295288,0.29063835740089417,,,
5,0.49054038524627686,0.2900262176990509,0.27521881461143494,0.26338183879852295,0.2554728090763092,0.2518026828765869,0.23194578289985657,0.21515300869941711,0.19824491441249847,0.18961641192436218,0.17873266339302063,0.17106959223747253,0.16337516903877258,0.16773541271686554,0.17329946160316467,0.191560760140419,0.19662566483020782,0.20916205644607544,0.21828162670135498,0.22636964917182922,0.2386072278022766,0.24721796810626984,0.23638293147087097,0.30748435854911804,,,,
6,0.48951247334480286,0.2993984520435333,0.2839749753475189,0.2721773684024811,0.26346203684806824,0.2586248517036438,0.23831292986869812,0.2190837264060974,0.2053498774766922,0.19295696914196014,0.18799839913845062,0.1805153638124466,0.17982958257198334,0.18716514110565186,0.19948455691337585,0.20930500328540802,0.21778491139411926,0.22914515435695648,0.2408486008644104,0.24454405903816223,0.27066415548324585,0.26663738489151,0.3297916650772095,,,,,
7,0.4893139898777008,0.30846086144447327,0.2913097143173218,0.278513103723526,0.26767316460609436,0.2628251910209656,0.2422432005405426,0.2258671373128891,0.20927579700946808,0.20145045220851898,0.1974574774503708,0.19526174664497375,0.1963014453649521,0.20793458819389343,0.21432098746299744,0.22847625613212585,0.23655685782432556,0.2506682872772217,0.2579837441444397,0.2703799605369568,0.288484126329422,0.344428151845932,,,,,,
8,0.49058523774147034,0.3147676885128021,0.2964355945587158,0.2817884683609009,0.27160751819610596,0.2675056755542755,0.2475540041923523,0.22880783677101135,0.21594306826591492,0.20872293412685394,0.2099609673023224,0.21002177894115448,0.21409660577774048,0.2236144244670868,0.23132045567035675,0.24728183448314667,0.2570221722126007,0.2672618329524994,0.28269723057746887,0.2846023440361023,0.3608274757862091,,,,,,,
9,0.49018725752830505,0.32015618681907654,0.29849526286125183,0.2858491539955139,0.2752380669116974,0.2739850878715515,0.2502562999725342,0.23507235944271088,0.2223367542028427,0.21943148970603943,0.2236596643924713,0.22612611949443817,0.22976772487163544,0.24001464247703552,0.24833419919013977,0.26734551787376404,0.2725328505039215,0.29176273941993713,0.29634708166122437,0.3613450229167938,,,,,,,,
10,0.49042370915412903,0.3196119964122772,0.30225443840026855,0.2884766757488251,0.2805537283420563,0.27532607316970825,0.2555460035800934,0.23944590985774994,0.23204439878463745,0.23208604753017426,0.23619253933429718,0.2396230548620224,0.24534492194652557,0.25834882259368896,0.26712846755981445,0.28344789147377014,0.2962356507778168,0.3040458559989929,0.36639541387557983,,,,,,,,,
11,0.4891166388988495,0.32465317845344543,0.3045729994773865,0.29409176111221313,0.281721293926239,0.2802020013332367,0.25934845209121704,0.2479679435491562,0.2415829747915268,0.24416428804397583,0.25119730830192566,0.25445103645324707,0.2633993923664093,0.27744391560554504,0.2823517322540283,0.30661049485206604,0.3072318732738495,0.3731948137283325,,,,,,,,,,
12,0.4902041256427765,0.32569971680641174,0.3083551526069641,0.2946350574493408,0.28592923283576965,0.28410476446151733,0.26673686504364014,0.256232887506485,0.25403884053230286,0.2573535740375519,0.2660259008407593,0.2719596326351166,0.28250259160995483,0.29259657859802246,0.3044578433036804,0.3177177309989929,0.3753909170627594,,,,,,,,,,,
