block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,1.8134116862202156,-1.5757973377755785,-1.7379537148233095,-1.7550836296302919,-1.6609250185183413,-1.7310985607970149,-1.6236998064433894,-1.4479692943828142,-1.480271442097776,-1.5179875947073547,-1.7310117067663193,-1.9053304217328704,-1.960419837763935,-1.9981208608709125,-2.0488065244734486,-2.0778975734048117,-2.138972542162565,-2.029908430926299,-1.8030622783959642,-1.6530313580767397,-1.7192400726117723,-1.6573720350709857,-1.6502210357961182,-1.7099983887927461,-1.816645901895767,-1.9371587156936327,-1.6905532457544281,-0.04047728782965871
2,1.959382508379349,-0.8870316767317865,-1.0951458135050596,-1.0733820958455906,-1.1209338464863765,-1.0376495294946297,-0.920218044621077,-0.8975463173280543,-1.0810569986757146,-1.117187341328004,-1.3305553434844142,-1.5161065753339567,-1.563525576478039,-1.666939865232246,-1.703377466144199,-1.7306822358905252,-1.6842339348739528,-1.4811930936058733,-1.1831021638596524,-1.0825188081586492,-1.11684104873038,-1.0233630995387424,-1.0325544041921946,-1.1137202610646815,-1.2749647205208978,-1.1673673660256794,0.3583439353108234,
3,2.0523227467070644,-0.4277966475538627,-0.5924235777263765,-0.7816983685022437,-0.6442199646305351,-0.5412978685579248,-0.49773779552134717,-0.7067216975508068,-0.8481731575584077,-0.8860598431542869,-1.092066149581307,-1.2489188047896926,-1.3420541693557597,-1.400199895268543,-1.421821405576722,-1.4018629927810484,-1.2878482209303794,-0.9903534625608733,-0.7335917005553144,-0.649278104325138,-0.6317360415600136,-0.5522370685194631,-0.5988642931738928,-0.7098911156738947,-0.6647054558855796,0.5968017636516545,,
4,2.0782444830832087,-0.06808791464255337,-0.3722570482819306,-0.4103690248702979,-0.2487228343219642,-0.190565241224656,-0.3903941407205791,-0.5643878060022662,-0.669784052860514,-0.7223043368369416,-0.8907883801108667,-1.101731901818014,-1.140213355802084,-1.177344345223472,-1.153492983212319,-1.0712249942561924,-0.8559314259999238,-0.5966805263193402,-0.3732909245465585,-0.2352035112236188,-0.2489517775798718,-0.21144076459299566,-0.27736640058072426,-0.2134641722035423,0.8524877831566988,,,
5,2.1106768657133546,0.07519948421857758,-0.08930595085815153,-0.05333874347465412,0.0448418468737309,-0.07256093007119149,-0.24910665447244082,-0.42674802396709005,-0.5397078434479217,-0.5686587454085259,-0.7875726576084526,-0.9278509141498372,-0.9552902191481308,-0.9587637163613166,-0.8879808444936811,-0.7106343979242139,-0.5004565141302013,-0.2778107874996173,-0.012290599793859006,0.08206946464073857,0.029439794850789174,0.06561988196956006,0.1286722893769108,1.10511024723906,,,,
6,2.1504394212007716,0.3136606805312282,0.20418287372268829,0.20140564953167828,0.12425880525796404,0.04264869059706111,-0.13400893771084735,-0.3368204508930692,-0.42080311292753514,-0.47441101409290926,-0.6462138098876316,-0.7659311365597643,-0.7649688929482235,-0.7190989434609849,-0.5451106879674477,-0.38951885729044383,-0.20340374251619928,0.06674326717520675,0.26108377903809227,0.3052995181169036,0.27366517676050617,0.4061316406056068,1.283603534024526,,,,,
7,2.197420913216832,0.5487243606499379,0.43338273756652934,0.2357955984727196,0.22624206553779733,0.14882228226277677,-0.06367942074706906,-0.24584410185727895,-0.35964852922103857,-0.37090088229252316,-0.5134555515215617,-0.6002922267102258,-0.5515961467457542,-0.41243436186208393,-0.25647688336320923,-0.11336410665488111,0.12314927261786843,0.32502506051985025,0.44975399650201864,0.5140261516270378,0.5649735144971149,1.4432539042732322,,,,,,
8,2.2188614260381367,0.7453036457431343,0.45341426348137837,0.3222640683992802,0.32094228175146866,0.2216724791604579,0.024529194765552167,-0.2144653524583047,-0.2641963769774016,-0.2630603663963486,-0.377887231659136,-0.41956291113782357,-0.2813450336058912,-0.14973064208176656,-0.007422485373639209,0.19304065280394408,0.3630083737545435,0.5031576734465297,0.6433300987219174,0.749814028899523,1.5250205526235576,,,,,,,
9,2.2449096825402672,0.7561434550312144,0.5228469472841222,0.4064605975003181,0.37817370409808776,0.29295456750875126,0.036210938338871554,-0.1398019097286024,-0.1676445130351377,-0.14432660003469588,-0.217949684783999,-0.17673306704546832,-0.0400166684032618,0.09544677764980355,0.28736592314480386,0.41404015024336827,0.5237933624574251,0.6879810250928287,0.8545273850293549,1.6127794609894681,,,,,,,,
10,2.2635917833105355,0.8188985986163053,0.5967832656172005,0.444526309244583,0.44034453113455385,0.32071149406963434,0.11386478889300977,-0.04318502889255406,-0.05841427445785823,-0.013179202377602516,-0.005312567581751866,0.046559979566856674,0.17758202178883076,0.36294728769410334,0.4977584380603966,0.5677888364352608,0.698634514516884,0.8890792461024762,1.6623804766069752,,,,,,,,,
