task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
code,1,16,16,0.09966019541025162
code,2,15,16,0.13446177542209625
code,3,15,17,0.16272300481796265
code,4,13,16,0.18422508239746094
code,5,12,16,0.20315958559513092
code,6,11,16,0.21974723041057587
code,7,11,17,0.23465082049369812
code,8,11,18,0.24710580706596375
code,9,11,19,0.2601209878921509
code,10,10,19,0.276140034198761
code,11,8,18,0.28865310549736023
code,12,8,19,0.298723429441452
code,13,7,19,0.30998459458351135
code,14,8,21,0.3168255388736725
code,15,7,21,0.32405027747154236
code,16,6,21,0.33969777822494507
code,17,7,23,0.3542529344558716
