task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,14,14,0.09907470643520355
math,2,14,15,0.12938033044338226
math,3,13,15,0.15131781995296478
math,4,13,16,0.17416615784168243
math,5,11,15,0.19228717684745789
math,6,11,16,0.20832814276218414
math,7,11,17,0.22364099323749542
math,8,10,17,0.23936478793621063
math,9,7,15,0.24810032546520233
math,10,7,16,0.2596696615219116
math,11,7,17,0.2691832184791565
math,12,7,18,0.28441882133483887
math,13,6,18,0.3006869852542877
math,14,3,16,0.31163376569747925
math,15,3,17,0.3150396943092346
math,16,3,18,0.32646605372428894
