task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
syntax,1,16,16,0.10016017407178879
syntax,2,15,16,0.13873794674873352
syntax,3,14,16,0.16625717282295227
syntax,4,14,17,0.1883474439382553
syntax,5,13,17,0.2084004282951355
syntax,6,12,17,0.22533410787582397
syntax,7,11,17,0.24034689366817474
syntax,8,11,18,0.2532339096069336
syntax,9,11,19,0.26867663860321045
syntax,10,11,20,0.28267568349838257
syntax,11,8,18,0.29655277729034424
syntax,12,8,19,0.30974632501602173
syntax,13,8,20,0.31925204396247864
syntax,14,8,21,0.3293202519416809
syntax,15,7,21,0.3390032947063446
syntax,16,7,22,0.35263732075691223
syntax,17,7,23,0.36214232444763184
