block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,0.4463960826396942,0.15156549215316772,0.14633400738239288,0.14525483548641205,0.14358583092689514,0.13164804875850677,0.16046682000160217,0.1695680320262909,0.15491439402103424,0.15910539031028748,0.14347977936267853,0.12488029897212982,0.1197538897395134,0.11960773915052414,0.11187459528446198,0.10819201916456223,0.10024403035640717,0.10967015475034714,0.12841886281967163,0.13401779532432556,0.12442802637815475,0.12806804478168488,0.1292446404695511,0.1265234649181366,0.12718714773654938,0.11148446053266525,0.13359381258487701,0.2847948372364044
2,0.45697152614593506,0.21536366641521454,0.2050706297159195,0.2003251016139984,0.1892825812101364,0.20503294467926025,0.21980001032352448,0.2152707725763321,0.19903378188610077,0.19482369720935822,0.17919693887233734,0.16028213500976562,0.15673258900642395,0.14903715252876282,0.14317739009857178,0.13885919749736786,0.13920629024505615,0.15562042593955994,0.17608965933322906,0.1776532232761383,0.17226150631904602,0.17751501500606537,0.17984941601753235,0.18156570196151733,0.16890127956867218,0.1756775826215744,0.32077258825302124,
3,0.4641425609588623,0.25818321108818054,0.24469707906246185,0.22390687465667725,0.23975586891174316,0.2495623081922531,0.25330522656440735,0.2396310269832611,0.2210829108953476,0.21516425907611847,0.2016177624464035,0.18483208119869232,0.17698457837104797,0.17352400720119476,0.1663094013929367,0.16631999611854553,0.17161665856838226,0.19256827235221863,0.20956112444400787,0.21147401630878448,0.210828959941864,0.21743986010551453,0.2225060611963272,0.21455711126327515,0.22007997334003448,0.34006547927856445,,
4,0.4667125344276428,0.28594905138015747,0.2634007930755615,0.262376606464386,0.2750474810600281,0.2774248421192169,0.2680814564228058,0.2532860338687897,0.23688195645809174,0.23026137053966522,0.21910536289215088,0.19861647486686707,0.19520464539527893,0.19055095314979553,0.18824486434459686,0.19294141232967377,0.2034817636013031,0.2217506468296051,0.23758815228939056,0.24585552513599396,0.2439078539609909,0.25321096181869507,0.24968674778938293,0.2571602761745453,0.36142829060554504,,,
5,0.46915334463119507,0.2970600128173828,0.29154297709465027,0.29315897822380066,0.29845938086509705,0.29165682196617126,0.28021499514579773,0.2649461328983307,0.24895314872264862,0.24308371543884277,0.22936943173408508,0.21450944244861603,0.20991604030132294,0.20837272703647614,0.20880110561847687,0.21860304474830627,0.22938577830791473,0.24651937186717987,0.26743876934051514,0.27439743280410767,0.2746190130710602,0.27788910269737244,0.2858503460884094,0.379621297121048,,,,
6,0.4716658294200897,0.3195342421531677,0.3160431385040283,0.31233060359954834,0.3093055486679077,0.30177026987075806,0.2899987995624542,0.27408888936042786,0.25880300998687744,0.25171366333961487,0.24181918799877167,0.22739532589912415,0.22530119121074677,0.22633539140224457,0.23302975296974182,0.24115918576717377,0.25186794996261597,0.27515384554862976,0.29244115948677063,0.30108702182769775,0.2969420850276947,0.3092025816440582,0.39489418268203735,,,,,
7,0.4752551317214966,0.34026026725769043,0.33216556906700134,0.3198333978652954,0.31820106506347656,0.31047868728637695,0.2973613440990448,0.2806330621242523,0.2652168869972229,0.26036983728408813,0.25276854634284973,0.24035173654556274,0.2409631609916687,0.24702827632427216,0.2530432939529419,0.2621143162250519,0.2789732813835144,0.29846128821372986,0.3160078823566437,0.3205792307853699,0.3250102698802948,0.40787529945373535,,,,,,
8,0.47712671756744385,0.35404500365257263,0.33836448192596436,0.3267934024333954,0.3260684311389923,0.3172219395637512,0.3032917082309723,0.2844333350658417,0.27293860912323,0.2692429721355438,0.2628664970397949,0.25322502851486206,0.25914180278778076,0.2647487223148346,0.27132904529571533,0.28673499822616577,0.3005712032318115,0.3212284743785858,0.3346826434135437,0.3444746732711792,0.4163535237312317,,,,,,,
9,0.4795454144477844,0.35864248871803284,0.3429780900478363,0.33464986085891724,0.3320864737033844,0.32256805896759033,0.3053930401802063,0.29024848341941833,0.2810210883617401,0.2780020534992218,0.27418601512908936,0.26866742968559265,0.27492907643318176,0.2832634150981903,0.29513058066368103,0.3068293333053589,0.3220403492450714,0.339229017496109,0.3564796447753906,0.4252021312713623,,,,,,,,
10,0.4804888367652893,0.3629106879234314,0.34991997480392456,0.339577853679657,0.33653944730758667,0.3261394500732422,0.31143659353256226,0.29781556129455566,0.28888434171676636,0.2869112491607666,0.28811171650886536,0.28268757462501526,0.29126137495040894,0.3045777380466461,0.3138061463832855,0.3275330066680908,0.3393835127353668,0.3602025508880615,0.43049412965774536,,,,,,,,,
