block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1,0.6092635395579928,-0.5541314537426669,-0.5787279798885347,-0.5259100360505249,-0.45894194116111775,-0.5160111738016224,-0.5052289284548171,-0.5312832568547659,-0.46399219451197543,-0.44466068299620065,-0.43432535758370405,-0.490224440890835,-0.49771656423099425,-0.522235918185975,-0.5295743086514197,-0.5701075342978597,-0.5935344003160011,-0.6094583498943863,-0.6137192393577127,-0.5643534057463645,-0.6502894712047771,-0.633179992890476,-0.5506232071679593,-0.5702361682976287,-0.5636354496079238,-0.5476656877264026,-0.5871181516989195,-0.5960025410389169,-0.5673875035371743,-0.6596367625854851,-0.6257373426788347,-0.6502053607027254,-0.6285807005616729,-0.6070180975731703,-0.5566469363183086,-0.28667446219655207
2,0.6925761174304839,-0.35834114146088464,-0.35990421465522837,-0.2830627879366455,-0.2654475932842817,-0.3097145281582029,-0.3254537414539656,-0.305845278391022,-0.2819401832771344,-0.2757834690531318,-0.2870837526052452,-0.3388282569513137,-0.3397312082751148,-0.3946319451571898,-0.3872424938522914,-0.4595514302471482,-0.4654224483730336,-0.4718538515680855,-0.4446706505612677,-0.4606149633247284,-0.4860541175642529,-0.4385248601185746,-0.3774486326878955,-0.36900784576083,-0.37334071969005966,-0.3656139285886765,-0.3958949188580194,-0.38313283083179833,-0.4280904859835633,-0.4645084441790366,-0.4542434726948741,-0.46355013409839807,-0.4420716361833458,-0.35015929177683863,-0.208493589292155,
3,0.7351377425680619,-0.20001915086884609,-0.18394642162292688,-0.14893372883131947,-0.12120646999381908,-0.1750057603606356,-0.16014240862594586,-0.17885568650474176,-0.18599221848990283,-0.17565652617317057,-0.18788575009910657,-0.223957573117467,-0.2592912459645147,-0.28412081745069173,-0.3110547681801282,-0.37833289714861384,-0.37023856165643015,-0.3533151649402822,-0.3743543710699314,-0.36376423066581354,-0.342087869234307,-0.29203699245814624,-0.23250570658273634,-0.2421948745195014,-0.22737346454201895,-0.23756856817519603,-0.24687463636111728,-0.2899898235519435,-0.3012038772873691,-0.3390870829615268,-0.32516802287082763,-0.3247894841272341,-0.26757898530463786,-0.09482116634851101,,
4,0.7636918201004774,-0.07442783102442128,-0.08298434355204382,-0.02989917112910849,-0.02175891145676934,-0.04620916511404631,-0.06329956440809628,-0.1132644609101135,-0.11133503383652732,-0.10752454989774768,-0.10109693804646354,-0.16886005326370085,-0.1714544942643043,-0.23476070143034822,-0.24952798540601778,-0.2973524237482753,-0.26949980596361306,-0.29457110619034177,-0.2875758792061997,-0.2568777896911526,-0.21846223825126235,-0.1713062366691002,-0.10582910992352959,-0.12497936057409367,-0.12033941022492607,-0.13215221826068316,-0.17892063718817555,-0.19941676675314626,-0.20523794517543598,-0.23241660512182594,-0.2185388066110483,-0.1888748944746539,-0.005249790428416765,,,
5,0.8078499678685445,0.006234781006479507,0.024356670408201,0.06015857421057484,0.0792878603418304,0.035280877118828824,-0.00916229408959016,-0.05186450470010732,-0.059759855795186306,-0.026652619000439505,-0.06254117335311987,-0.09567140281329733,-0.13448143214190886,-0.18732811681170694,-0.18440927131613088,-0.21240620476679417,-0.2221851810567158,-0.2231300157895581,-0.19072417358633734,-0.15004671933679736,-0.11319973722881688,-0.05411338801560077,-0.010344409113525249,-0.03315118715410385,-0.03556716471072562,-0.08307110755250685,-0.10388553131786293,-0.12527557389704502,-0.1224848146416468,-0.14280337440420743,-0.10871979338845034,0.0677726599420474,,,,
6,0.8419463784824572,0.10504881823006725,0.11140323268635002,0.15288836079669016,0.14328549853985448,0.08130485522631209,0.046292651640352164,-0.01179513773351932,0.017765725021370835,-0.006175020954075504,0.0008485045265220492,-0.06617156846292795,-0.09245126778959124,-0.12483631474727375,-0.10668611256870544,-0.17886687708392746,-0.16159082424666601,-0.13599921853144334,-0.09470145638583378,-0.0632213189676871,-0.014689859879482674,0.03172862657547999,0.07348547728224279,0.040737492742445404,0.0009998229291608449,-0.02618167127910869,-0.04578085582878749,-0.05520279918643737,-0.05532994549261742,-0.04580590279423508,0.14450192937262218,,,,,
7,0.8624465411393105,0.18512762447142928,0.2009562400992655,0.20895169489995616,0.1815320852640028,0.13134068654721115,0.08312800237298737,0.06390332114047692,0.025636065477723378,0.05192279713556894,0.025084730713034832,-0.03005571693629601,-0.0365492492485755,-0.06225829018747556,-0.07820425401999645,-0.11454815868984122,-0.08864405054405256,-0.04967901153060995,-0.01815086247032968,0.04376764825706908,0.06393678309681466,0.11192808715575259,0.1334795508359377,0.07005747049540412,0.0488979259114069,0.02187053645370706,0.009646694532341491,-0.006540302366570789,0.01366290952879693,0.19195406454376707,,,,,,
8,0.8719510730610065,0.2700145884188617,0.25334038082938914,0.23962855803811672,0.22626810720313312,0.16349972049576666,0.1501215359560626,0.06393866624850597,0.08111100748850567,0.06930635291385992,0.056004973660807235,0.020982252153426896,0.02117292005452482,-0.04050258123641376,-0.03049257757947868,-0.04448165675854427,-0.01020966125255171,0.018856536489188957,0.06496950903005932,0.1129952197099542,0.14246482012492884,0.1685717995154964,0.15552536251837812,0.10727541558466026,0.08868740339532782,0.06754710542688508,0.04145844986893443,0.027492789239889296,0.25563254671480373,,,,,,,
9,0.8876172724138855,0.318123316393,0.2794849982466473,0.2800921024551464,0.25174764954266804,0.2224428859442237,0.15091649513318672,0.11806327837088405,0.09264464213445803,0.09538871891247865,0.10169066606307123,0.07252324695015158,0.03802837833638166,0.005757171104866417,0.022838478430865398,0.024649563262213667,0.04926554803296463,0.0936368155939072,0.1308136309293757,0.1887249833930359,0.19211607886237284,0.18486471871302523,0.18213024921681714,0.13774860835727998,0.12428125051450811,0.0777992238629889,0.049269411956834964,0.2920546574334959,,,,,,,,
10,0.8946541287483765,0.3438590801903926,0.31615511977185257,0.30404544547601486,0.3019509114964106,0.22271231595456287,0.19707537169795736,0.12391112037922097,0.11492954929466076,0.14006359014567635,0.14494170425933367,0.08684437537533671,0.07687791292616196,0.0638092951551743,0.08572906707792029,0.07297372212148398,0.11776983045493614,0.15443977430542563,0.20468780995119218,0.23106371465498657,0.20474897727733787,0.20935208222207072,0.20574637380668803,0.16774445869892202,0.12478733104268354,0.0858898619738847,0.3291928477117216,,,,,,,,,
