block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1,1.6280059710607815,-1.9284588991066776,-2.0418533504625143,-1.8876290341169888,-1.6820072308426617,-1.8458878058573331,-1.7808551242383648,-1.933194255817967,-1.7159027045677497,-1.6260380635141978,-1.5968204789191045,-1.7085266392532126,-1.7186565275616335,-1.780472557437618,-1.7849915530575693,-1.912444063125101,-1.950398564373012,-1.9653853586283003,-1.9692010026485052,-1.8384968061478626,-2.015119424497138,-1.9511432437900254,-1.7126651874694276,-1.7799164301698482,-1.8168734564630875,-1.9105750283166911,-2.0322894120675663,-1.9828558903832283,-1.9726306640173463,-2.11507567901164,-2.09211444637363,-2.152789239127055,-2.056714686771301,-2.0324833690854813,-1.8325060798111874,-1.2992705674050034
2,1.9066949404456872,-1.3937530870293906,-1.4322344999194856,-1.2006959733716789,-1.1042033003058163,-1.237171144027525,-1.3066004808095903,-1.298941702197218,-1.1943290076669824,-1.1509561750159312,-1.1624588306990797,-1.2617690354194935,-1.2616589095638437,-1.3825712396742584,-1.3796495432932878,-1.5534357918846144,-1.5540319090752126,-1.5419994680699993,-1.4682598668738867,-1.4692787518390031,-1.5444666827637692,-1.3688894971155896,-1.1926878166594235,-1.2730446273649132,-1.3371203968428564,-1.4882268470829016,-1.5251205493938638,-1.5050296113005566,-1.5770664338355564,-1.6391950553176464,-1.6704845278404108,-1.646386416410952,-1.596017400809157,-1.3436200047439262,-0.8619688033062933,
3,2.023430644615696,-0.9490820524026928,-0.9085065413669164,-0.7820590892414208,-0.6769575340580902,-0.8731967504969744,-0.8419707566760848,-0.919018939537338,-0.9061549485446132,-0.8519312591297689,-0.8633489351668837,-0.9267592135930542,-0.9990867766576776,-1.074190123642432,-1.1397541768827526,-1.2860134401695813,-1.2554223818769519,-1.2001847712456442,-1.20358711944442,-1.1496267233898956,-1.1091985572314709,-0.958463689495735,-0.8227092615996988,-0.9135813550046725,-1.004345200184181,-1.1343727748168417,-1.171493990812162,-1.2296505397632558,-1.2496923597759544,-1.3157909880975753,-1.2985784508342464,-1.277843034350251,-1.1180089077348316,-0.5690010701089554,,
4,2.115803362212632,-0.5699134503723013,-0.5740270363578389,-0.417383846245466,-0.4004231205094469,-0.4993144161395727,-0.5513419779938976,-0.6955366896698554,-0.6753462191922768,-0.6391982957724065,-0.6038244144281062,-0.738218947778257,-0.7546302573622989,-0.9061676322468156,-0.9364550216483315,-1.0353551405654213,-0.9673588525773599,-0.9765828882590486,-0.9341324477067755,-0.8203257903675909,-0.75917287004531,-0.6461081105797808,-0.52553128512533,-0.646925420325765,-0.7106946474883904,-0.8576417814381985,-0.942698982806456,-0.9776332542575626,-0.9920125685042067,-1.0103803930109327,-0.9976220670573743,-0.8753106095599833,-0.38021451974016746,,,
5,2.251907624212839,-0.2957879266403015,-0.23505608224272478,-0.16848830382184543,-0.09809183737416394,-0.2532688205004255,-0.35463509163911244,-0.4952797218042242,-0.5093254975044291,-0.39522346712299294,-0.46089765026062135,-0.53144402205759,-0.6209839416236431,-0.7382941257866213,-0.7315231027149655,-0.7957363522181617,-0.7822717944935332,-0.751080245865267,-0.6579544289958479,-0.513785210969066,-0.4777590178031039,-0.3811666619010762,-0.3103048494809604,-0.39893065325739785,-0.48409982368777804,-0.6738745041846784,-0.7220018598668019,-0.7712258172623319,-0.7419180667979501,-0.7477958323047439,-0.652231680643933,-0.18684552482499528,,,,
6,2.368108338616346,0.016251724065624064,0.007461889545671729,0.11140369926245802,0.10006016373067772,-0.08203659376694493,-0.17190620688392166,-0.3586336067234234,-0.2778156167818347,-0.3008376364870235,-0.27982285341399926,-0.42017037007863817,-0.4685187038210856,-0.5479745823055824,-0.5184964700947269,-0.6430124452840419,-0.5833111071733893,-0.4965506142573565,-0.3846123893179872,-0.28016735814879246,-0.23120857001985007,-0.18924731522867083,-0.0860500552663637,-0.2042307116107109,-0.32264034611883446,-0.49127474945411415,-0.544432344057732,-0.5489180490219686,-0.5284784489204739,-0.43420086695634663,0.0036709559245448053,,,,,
7,2.430932998147952,0.2405350888186546,0.27169013554601357,0.28529010664620424,0.24714483320553893,0.08429639514123362,-0.04319415557901138,-0.1332911027125229,-0.21291837293052046,-0.1326476548294463,-0.18470934347894133,-0.2849727060451527,-0.297879010482814,-0.37409499558523124,-0.3856026468802578,-0.4642305233654997,-0.3551685553056686,-0.2474383692987883,-0.18130364503505533,-0.06102583683379684,-0.054718157724306944,0.02020856557108694,0.07335311559652685,-0.06888470814112738,-0.15992979561782728,-0.3380542308235782,-0.35497325946757935,-0.3823531392548622,-0.27545076912214755,0.17401805641355764,,,,,,
8,2.4677790784416755,0.4844230696080074,0.4328631113591984,0.41111721076801955,0.3991655685454518,0.20193354805958888,0.15605950404542138,-0.08819622347506481,-0.05174235615066418,-0.0541735207564171,-0.06605417106334978,-0.13043330348832216,-0.13994040899880464,-0.2567740624252927,-0.2258502349776514,-0.2623759968347177,-0.12729093890870907,-0.06014011616524227,0.0206740237295827,0.09224396297856294,0.14692145612327273,0.16923853868133393,0.17830571156188763,0.06418662306820737,-0.029910637354793573,-0.1720355372883016,-0.21735253732956716,-0.19956006053421285,0.3264353220374926,,,,,,,
9,2.5153141680767277,0.6272037516952393,0.5463356218592098,0.5491101489302909,0.500491152894628,0.37431706558968975,0.19394563005908044,0.06576136363001427,0.01530817844003493,0.04981272790338759,0.07386250017069218,0.01344738353011761,-0.03854684003758248,-0.11349308663455915,-0.05610614443624362,-0.05633419833505449,0.03743071940079637,0.1320611717742048,0.16175585603849119,0.2783995341439559,0.28159155805842095,0.2582167921568503,0.285027656080008,0.1696322922570159,0.10577085400498913,-0.07038575274559195,-0.07127312321872828,0.415418648052717,,,,,,,,
10,2.54107424048172,0.7348715062975492,0.6741122355364068,0.6397748474643536,0.6503155834290458,0.4091637127237456,0.32858200875209687,0.11984010301135017,0.11212527708859317,0.18352765642189697,0.20002625281148567,0.10214803981451587,0.0851905701319505,0.04670713387054359,0.1269771426054427,0.08180853848103864,0.21661627403904873,0.2636668876357656,0.33816519923389593,0.3970488570995824,0.3621095425528556,0.3542141101327152,0.3648474024964995,0.286456146770909,0.18256765639510966,0.02446849011823555,0.5404225590321794,,,,,,,,,
