task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
code,1,31,31,0.08706898987293243
code,2,30,31,0.1254306137561798
code,3,30,32,0.15499141812324524
code,4,29,32,0.1827344447374344
code,5,27,31,0.20345740020275116
code,6,27,32,0.22062592208385468
code,7,15,21,0.23617732524871826
code,8,15,22,0.2521161139011383
code,9,13,21,0.26484930515289307
code,10,13,22,0.2778414785861969
code,11,15,25,0.2890169322490692
code,12,15,26,0.2965279519557953
code,13,13,25,0.3057219982147217
code,14,13,26,0.3113158643245697
code,15,7,21,0.31897103786468506
code,16,19,34,0.32291412353515625
code,17,15,31,0.3254532217979431
code,18,15,32,0.3300389051437378
code,19,15,33,0.3297657370567322
