task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,2,2,0.09078487008810043
math,2,15,16,0.12247412651777267
math,3,15,17,0.1415584683418274
math,4,15,18,0.16145092248916626
math,5,13,17,0.17818045616149902
math,6,15,20,0.19316792488098145
math,7,13,19,0.20665165781974792
math,8,13,20,0.21906524896621704
math,9,8,16,0.23005691170692444
math,10,8,17,0.2374395877122879
math,11,7,17,0.24578428268432617
math,12,8,19,0.2576242685317993
math,13,7,19,0.2652074098587036
math,14,7,20,0.2750866115093231
math,15,20,34,0.2816725969314575
math,16,19,34,0.2880414128303528
math,17,18,34,0.28338512778282166
math,18,17,34,0.2867480218410492
math,19,16,34,0.28927040100097656
