block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1,0.3668471872806549,0.09935017675161362,0.09104149043560028,0.09834624081850052,0.11683354526758194,0.1030552014708519,0.11905857175588608,0.09794881194829941,0.11990746855735779,0.12093832343816757,0.12310101836919785,0.11491339653730392,0.11236978322267532,0.10568632930517197,0.11005283147096634,0.09543948620557785,0.09776657819747925,0.09521910548210144,0.09650082141160965,0.10985322296619415,0.09367696195840836,0.1009690910577774,0.12189009040594101,0.11613047868013382,0.11636307090520859,0.1273609697818756,0.11844183504581451,0.11643331497907639,0.12290240079164505,0.10204733908176422,0.10971108078956604,0.10417952388525009,0.10906827449798584,0.11394299566745758,0.12533055245876312,0.18636402487754822
2,0.3928995728492737,0.14005255699157715,0.13294418156147003,0.14813129603862762,0.1628623753786087,0.15593789517879486,0.15401926636695862,0.14861492812633514,0.15246398746967316,0.1541462540626526,0.15296941995620728,0.14633381366729736,0.14220599830150604,0.1361948400735855,0.13478752970695496,0.12313622981309891,0.125532865524292,0.12758871912956238,0.13470250368118286,0.13823500275611877,0.13091148436069489,0.14793534576892853,0.16254505515098572,0.15736784040927887,0.16677112877368927,0.16851794719696045,0.16167223453521729,0.16455739736557007,0.15439368784427643,0.1461605727672577,0.14848120510578156,0.14637722074985504,0.15123292803764343,0.1720118224620819,0.204038605093956,
3,0.40237289667129517,0.17134004831314087,0.1702517718076706,0.18179944157600403,0.1993558555841446,0.18444284796714783,0.19075356423854828,0.17079702019691467,0.1709551066160202,0.17367836833000183,0.17383630573749542,0.16705982387065887,0.16131138801574707,0.15465256571769714,0.1521458476781845,0.1423196941614151,0.14843977987766266,0.15298421680927277,0.15627987682819366,0.16239778697490692,0.16598786413669586,0.18131579458713531,0.1947290450334549,0.19641965627670288,0.19977037608623505,0.19746553897857666,0.1953616887331009,0.18561451137065887,0.1830793172121048,0.17451494932174683,0.17766167223453522,0.17774724960327148,0.19068099558353424,0.22973686456680298,,
4,0.4107905328273773,0.1963813751935959,0.1974634826183319,0.21573027968406677,0.22161003947257996,0.2160051167011261,0.20644184947013855,0.1862087994813919,0.18502338230609894,0.18897908926010132,0.18941250443458557,0.18105551600456238,0.1758827418088913,0.1669449806213379,0.16627688705921173,0.16226671636104584,0.1699674129486084,0.17150716483592987,0.17653748393058777,0.18799129128456116,0.19415806233882904,0.20997366309165955,0.22724826633930206,0.22291891276836395,0.22396788001060486,0.22129732370376587,0.21072424948215485,0.20609062910079956,0.2047746181488037,0.19863025844097137,0.20176765322685242,0.20847386121749878,0.24998652935028076,,,
5,0.4224400222301483,0.21812234818935394,0.22997324168682098,0.23564910888671875,0.24798744916915894,0.229518324136734,0.22108572721481323,0.19847425818443298,0.1967885047197342,0.20371194183826447,0.20023702085018158,0.19314919412136078,0.1854645013809204,0.17928551137447357,0.18260608613491058,0.17969787120819092,0.1855219155550003,0.1884317696094513,0.19797363877296448,0.21310193836688995,0.2207099348306656,0.2389397919178009,0.2488347738981247,0.24367877840995789,0.2431325912475586,0.23239323496818542,0.22768765687942505,0.2228519469499588,0.2234828621149063,0.21888938546180725,0.22659476101398468,0.2664949297904968,,,,
6,0.4344504177570343,0.24753105640411377,0.249709814786911,0.2609667479991913,0.25906604528427124,0.24275633692741394,0.23227789998054504,0.20830221474170685,0.21054767072200775,0.21135744452476501,0.21081526577472687,0.20100624859333038,0.19694358110427856,0.19531108438968658,0.19792161881923676,0.19397544860839844,0.20082855224609375,0.20859412848949432,0.22080275416374207,0.23637892305850983,0.2478523850440979,0.2583463490009308,0.26778644323349,0.2603830099105835,0.2513993978500366,0.24525439739227295,0.24082355201244354,0.238693505525589,0.23866476118564606,0.24081788957118988,0.2838413417339325,,,,,
7,0.43950140476226807,0.2659561038017273,0.27344322204589844,0.2703098654747009,0.2706703245639801,0.2534105181694031,0.24109071493148804,0.22197416424751282,0.2159760594367981,0.22193807363510132,0.21745683252811432,0.21135929226875305,0.21193118393421173,0.20771297812461853,0.21077057719230652,0.20781397819519043,0.21909932792186737,0.22974497079849243,0.2424677014350891,0.26106804609298706,0.26562774181365967,0.27647727727890015,0.2813494801521301,0.26701146364212036,0.262227863073349,0.25611770153045654,0.2533542215824127,0.24969477951526642,0.25426217913627625,0.2945689857006073,,,,,,
8,0.4430564045906067,0.28794583678245544,0.2818243205547333,0.28050875663757324,0.2813108563423157,0.26196789741516113,0.2530662715435028,0.22587403655052185,0.22645284235477448,0.22737814486026764,0.2263365089893341,0.2250794619321823,0.22297357022762299,0.22009235620498657,0.2235807478427887,0.2244604229927063,0.23850789666175842,0.25004899501800537,0.2658612132072449,0.27671852707862854,0.28338080644607544,0.289282888174057,0.28633344173431396,0.27542543411254883,0.27122318744659424,0.2664439380168915,0.2605459988117218,0.25738874077796936,0.30896496772766113,,,,,,,
9,0.4481061100959778,0.29497289657592773,0.29094234108924866,0.2901240289211273,0.2888738811016083,0.27152326703071594,0.25538599491119385,0.23590338230133057,0.231245219707489,0.23512724041938782,0.23906320333480835,0.23537245392799377,0.23424787819385529,0.23183001577854156,0.23827645182609558,0.24266864359378815,0.2567628026008606,0.27234211564064026,0.28074678778648376,0.2938389778137207,0.2946056127548218,0.2929662764072418,0.29234808683395386,0.28231459856033325,0.2792699933052063,0.26876166462898254,0.2623118460178375,0.3171990215778351,,,,,,,,
10,0.4502579867839813,0.3035896420478821,0.29975834488868713,0.29697203636169434,0.297224223613739,0.2741224467754364,0.2640725374221802,0.23962484300136566,0.2387051284313202,0.24776425957679749,0.2483254224061966,0.24552886188030243,0.24443162977695465,0.24589252471923828,0.25405874848365784,0.26003238558769226,0.2777979373931885,0.2860880196094513,0.29744774103164673,0.3034106194972992,0.2974615693092346,0.29850220680236816,0.2976870536804199,0.28909584879875183,0.27938440442085266,0.26324740052223206,0.325594961643219,,,,,,,,,
