block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
1,0.39778268337249756,0.11428740620613098,0.10829374194145203,0.12116438150405884,0.1374831199645996,0.12357652932405472,0.12620393931865692,0.11985503882169724,0.1362524777650833,0.14096316695213318,0.14348167181015015,0.12986022233963013,0.1280345469713211,0.12205968797206879,0.1202714741230011,0.11039436608552933,0.1046857237815857,0.1008053869009018,0.09976709634065628,0.11179652810096741,0.0908556878566742,0.09502491354942322,0.11514229327440262,0.10575233399868011,0.09691306203603745,0.08063474297523499,0.07085185497999191,0.08055451512336731,0.07704651355743408,0.0695456713438034,0.07241495698690414,0.06761108338832855,0.081655353307724,0.07640587538480759,0.09389938414096832,0.12886516749858856
2,0.4180842339992523,0.161997452378273,0.16161656379699707,0.1803412288427353,0.18463368713855743,0.1738467514514923,0.17001143097877502,0.17478960752487183,0.18061478435993195,0.18211504817008972,0.17936140298843384,0.16675233840942383,0.16653230786323547,0.1531541347503662,0.15495479106903076,0.13733460009098053,0.1359039545059204,0.13433675467967987,0.14096073806285858,0.13707543909549713,0.1259409785270691,0.13985994458198547,0.15294498205184937,0.13902010023593903,0.125290185213089,0.10557563602924347,0.10602506995201111,0.10780341923236847,0.10278592258691788,0.10155955702066422,0.09895610809326172,0.10590678453445435,0.10769405961036682,0.12245630472898483,0.170488178730011,
3,0.4284556210041046,0.2005772441625595,0.20449383556842804,0.21302570402622223,0.2197822630405426,0.20667248964309692,0.21029438078403473,0.20573434233665466,0.20399531722068787,0.206513911485672,0.20353390276432037,0.19474394619464874,0.18613386154174805,0.18008340895175934,0.17352016270160675,0.15712587535381317,0.1590982973575592,0.16322217881679535,0.1580953598022461,0.16067595779895782,0.160387322306633,0.16947095096111298,0.1759265810251236,0.15966877341270447,0.1449790596961975,0.13123011589050293,0.12760068476200104,0.12539376318454742,0.12579308450222015,0.12363442033529282,0.12843374907970428,0.12786448001861572,0.138065367937088,0.18931442499160767,,
4,0.435413658618927,0.23118124902248383,0.2290962040424347,0.24203196167945862,0.24401557445526123,0.23805755376815796,0.23389297723770142,0.22171756625175476,0.22218772768974304,0.22311626374721527,0.2246825397014618,0.2081700712442398,0.20753785967826843,0.19211144745349884,0.18851296603679657,0.17685914039611816,0.18364624679088593,0.17753688991069794,0.1782492697238922,0.18656907975673676,0.18627478182315826,0.18806910514831543,0.19278451800346375,0.17555376887321472,0.16594037413597107,0.1498386263847351,0.1436309665441513,0.14420874416828156,0.1441391259431839,0.14831963181495667,0.1471526175737381,0.15439273416996002,0.2010345309972763,,,
5,0.44617408514022827,0.2508370578289032,0.25525298714637756,0.26397716999053955,0.26863858103752136,0.2579149901866913,0.2470851093530655,0.23667946457862854,0.2347555309534073,0.24282307922840118,0.23407778143882751,0.22600463032722473,0.216547429561615,0.20366978645324707,0.2043810486793518,0.19755877554416656,0.19517584145069122,0.19462226331233978,0.19986218214035034,0.2090865969657898,0.20299085974693298,0.20307116210460663,0.20557455718517303,0.19313065707683563,0.18198446929454803,0.16373486816883087,0.161232128739357,0.15968726575374603,0.16535095870494843,0.16545377671718597,0.17118528485298157,0.21336984634399414,,,,
6,0.45448267459869385,0.27491599321365356,0.27646443247795105,0.28657349944114685,0.2842334806919098,0.26913008093833923,0.2605983316898346,0.24644353985786438,0.2536469101905823,0.24781304597854614,0.2495245337486267,0.23319312930107117,0.22678931057453156,0.218897745013237,0.22332057356834412,0.2057316154241562,0.20994143187999725,0.2145872265100479,0.2192552387714386,0.2220129370689392,0.21715028584003448,0.21437323093414307,0.22155040502548218,0.20716097950935364,0.19552180171012878,0.17939521372318268,0.17541423439979553,0.17958049476146698,0.18030720949172974,0.18847672641277313,0.22668932378292084,,,,,
7,0.45947813987731934,0.2944295406341553,0.29828664660453796,0.30023497343063354,0.2935533821582794,0.28132277727127075,0.2695743441581726,0.2648896872997284,0.25556474924087524,0.26197028160095215,0.2554304003715515,0.24199381470680237,0.24041147530078888,0.23414671421051025,0.23026101291179657,0.21900485455989838,0.2275628000497818,0.2321828007698059,0.22893443703651428,0.23412062227725983,0.22761113941669464,0.22909216582775116,0.2331196367740631,0.21894647181034088,0.21046890318393707,0.19219772517681122,0.19323937594890594,0.19160039722919464,0.20030903816223145,0.2390545904636383,,,,,,
8,0.4617941975593567,0.31511473655700684,0.3110515773296356,0.30771028995513916,0.30445462465286255,0.28915926814079285,0.28589928150177,0.26489830017089844,0.26908284425735474,0.266206294298172,0.26296502351760864,0.25443071126937866,0.2544771730899811,0.23944813013076782,0.24188736081123352,0.23424741625785828,0.2436840534210205,0.24110855162143707,0.23947612941265106,0.24318717420101166,0.24180734157562256,0.23996761441230774,0.24221691489219666,0.23185570538043976,0.22208653390407562,0.20834508538246155,0.2043292224407196,0.20823515951633453,0.24935612082481384,,,,,,,
9,0.4656117260456085,0.32683783769607544,0.317422479391098,0.31757041811943054,0.31066346168518066,0.3035224974155426,0.28609299659729004,0.2780873477458954,0.27189335227012634,0.27256202697753906,0.2740976810455322,0.26699018478393555,0.25858449935913086,0.25003063678741455,0.2536914348602295,0.24851907789707184,0.2513890564441681,0.25119566917419434,0.24739669263362885,0.25564754009246826,0.25193578004837036,0.24788695573806763,0.2532108724117279,0.2421339601278305,0.23592504858970642,0.21846435964107513,0.22026942670345306,0.25569576025009155,,,,,,,,
10,0.46732646226882935,0.3331091105937958,0.32635822892189026,0.3234073519706726,0.32289695739746094,0.3035881519317627,0.2973409593105316,0.27951234579086304,0.27732372283935547,0.28344836831092834,0.28463706374168396,0.2704799473285675,0.2678433954715729,0.2607821524143219,0.2665223777294159,0.2533591091632843,0.26067250967025757,0.25865837931632996,0.2588535249233246,0.2645554840564728,0.25945740938186646,0.25767964124679565,0.2614506185054779,0.2545032501220703,0.2449268400669098,0.23297417163848877,0.26524898409843445,,,,,,,,,
