block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,0.47777053713798523,0.17837552726268768,0.16874681413173676,0.1561092734336853,0.1712798923254013,0.15126584470272064,0.14907509088516235,0.1452835202217102,0.1348230242729187,0.1213558167219162,0.12207207828760147,0.11561909317970276,0.10090459138154984,0.10267326235771179,0.09303361922502518,0.09238119423389435,0.09122907370328903,0.10133335739374161,0.10653013736009598,0.12836124002933502,0.1114896833896637,0.1209588274359703,0.10457875579595566,0.09633041173219681,0.08538653701543808,0.1066717877984047,0.08325818181037903,0.22414278984069824
2,0.48388671875,0.23068270087242126,0.21592837572097778,0.21296972036361694,0.2013094574213028,0.2013498842716217,0.1917048841714859,0.17821696400642395,0.1644793152809143,0.15147028863430023,0.14470066130161285,0.13674570620059967,0.1293991208076477,0.11931277066469193,0.116948202252388,0.11813482642173767,0.12584495544433594,0.13558664917945862,0.15134255588054657,0.15513063967227936,0.15771415829658508,0.15820540487766266,0.1456054002046585,0.130726620554924,0.13725675642490387,0.1401074081659317,0.24883073568344116,
3,0.4870813488960266,0.25954070687294006,0.25017473101615906,0.2321571409702301,0.2267361581325531,0.22663550078868866,0.2125691920518875,0.19776660203933716,0.1791297048330307,0.16520217061042786,0.16006460785865784,0.15263234078884125,0.13969700038433075,0.1363663524389267,0.13471506536006927,0.14396215975284576,0.15120993554592133,0.16917823255062103,0.174229234457016,0.1805945634841919,0.18950119614601135,0.19066931307315826,0.17251142859458923,0.1763240098953247,0.1673586219549179,0.27313849329948425,,
4,0.4871163070201874,0.2856159806251526,0.26225778460502625,0.24902182817459106,0.24447141587734222,0.24149127304553986,0.22665256261825562,0.2020878791809082,0.18795984983444214,0.17499981820583344,0.1746399849653244,0.15761852264404297,0.15065401792526245,0.14908084273338318,0.15612199902534485,0.16620498895645142,0.17860542237758636,0.18799875676631927,0.1964053064584732,0.2027488648891449,0.2189844250679016,0.2130078226327896,0.21290616691112518,0.20265492796897888,0.2895450294017792,,,
5,0.49010583758354187,0.29036906361579895,0.2746952772140503,0.2626517117023468,0.2549567222595215,0.25117385387420654,0.2295691967010498,0.21140523254871368,0.19542191922664642,0.18758386373519897,0.17755037546157837,0.16937656700611115,0.1629227250814438,0.16688036918640137,0.17355746030807495,0.19189634919166565,0.19698964059352875,0.2089288830757141,0.21808229386806488,0.2258356660604477,0.2392469048500061,0.24855609238147736,0.23743468523025513,0.30603349208831787,,,,
6,0.48846548795700073,0.299102246761322,0.284239798784256,0.27089226245880127,0.2624167799949646,0.2588072717189789,0.2360856682062149,0.21441923081874847,0.2030046433210373,0.1905880570411682,0.18680910766124725,0.17884309589862823,0.1793563812971115,0.18636454641819,0.20022891461849213,0.20875965058803558,0.21823833882808685,0.22841328382492065,0.24021777510643005,0.2436518520116806,0.2738812267780304,0.2686173915863037,0.32868078351020813,,,,,
7,0.4880121946334839,0.3086896240711212,0.29123562574386597,0.2768229842185974,0.2671595811843872,0.26195642352104187,0.23933440446853638,0.221388578414917,0.20604167878627777,0.19941338896751404,0.19690078496932983,0.19384756684303284,0.1959727704524994,0.20700667798519135,0.21412016451358795,0.22772814333438873,0.23654085397720337,0.24937771260738373,0.25690802931785583,0.2707754969596863,0.292400062084198,0.34426870942115784,,,,,,
8,0.4891654849052429,0.3147341310977936,0.296061247587204,0.28068673610687256,0.2703505754470825,0.266380250453949,0.2446896880865097,0.223816379904747,0.2132371962070465,0.20681042969226837,0.20929008722305298,0.20842649042606354,0.21341171860694885,0.22226452827453613,0.23104526102542877,0.24585165083408356,0.25653621554374695,0.2656521201133728,0.282891184091568,0.2859402000904083,0.3618873357772827,,,,,,,
9,0.4885139763355255,0.3204774856567383,0.2986133396625519,0.283603310585022,0.27366921305656433,0.2729567289352417,0.24700115621089935,0.2306341528892517,0.21984520554542542,0.21749325096607208,0.22324199974536896,0.22493557631969452,0.22902575135231018,0.23879291117191315,0.24749070405960083,0.2653235197067261,0.2716168463230133,0.2912619709968567,0.29726874828338623,0.36152148246765137,,,,,,,,
10,0.48882579803466797,0.31960925459861755,0.3013455271720886,0.28611230850219727,0.27915555238723755,0.27417564392089844,0.25257837772369385,0.23497547209262848,0.22972597181797028,0.23021084070205688,0.2348080575466156,0.23795479536056519,0.2449546456336975,0.25686752796173096,0.26583048701286316,0.2811015844345093,0.2964629530906677,0.30419647693634033,0.36649850010871887,,,,,,,,,
11,0.48700258135795593,0.32399019598960876,0.30349695682525635,0.29199790954589844,0.2800143361091614,0.2789952754974365,0.2562347650527954,0.24357175827026367,0.23947502672672272,0.24212507903575897,0.2502703070640564,0.25269123911857605,0.2630566358566284,0.2757040858268738,0.28105366230010986,0.30522534251213074,0.3080567419528961,0.3727363348007202,,,,,,,,,,
12,0.48879337310791016,0.3249080181121826,0.30743035674095154,0.2925366163253784,0.2838939428329468,0.2829442024230957,0.2635662853717804,0.251919686794281,0.2521071434020996,0.25524967908859253,0.26576197147369385,0.26958465576171875,0.28214386105537415,0.29070866107940674,0.3040785491466522,0.31678736209869385,0.3751716911792755,,,,,,,,,,,
13,0.48888683319091797,0.3291909098625183,0.30900871753692627,0.29660308361053467,0.2871342897415161,0.2894454300403595,0.27070939540863037,0.26473259925842285,0.2631453573703766,0.26807695627212524,0.2832503020763397,0.287148654460907,0.2967931032180786,0.31518876552581787,0.3150843381881714,0.38066864013671875,,,,,,,,,,,,
14,0.4875944256782532,0.3302583396434784,0.3126848042011261,0.2997607886791229,0.2924306094646454,0.29599282145500183,0.2806493639945984,0.2733041048049927,0.2746334373950958,0.28495192527770996,0.3014628291130066,0.3021067678928375,0.3219142556190491,0.3269045948982239,0.37995633482933044,,,,,,,,,,,,,
15,0.4891347885131836,0.33302655816078186,0.315755695104599,0.3041759729385376,0.297930508852005,0.3000548481941223,0.2889542579650879,0.2818624675273895,0.2894498407840729,0.3023248016834259,0.3153034746646881,0.32487642765045166,0.33362582325935364,0.385807067155838,,,,,,,,,,,,,,
