block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.7960252358157802,-0.3617775671016652,-0.2516265692025629,-0.3937472062345967,-0.38823861331662246,-0.46287501214108673,-0.4654407229932103,-0.485184300311065,-0.5241935882999144,-0.6459356284069968,-0.5929236802256236,-0.5557936259060704,-0.5483403402361019,-0.40005290283984596,-0.5164897070172711,-0.46411123599689186,-0.5329132846047636,-0.5938875655688223,-0.6506727948502723,-0.5854148624050597,-0.682327408194946,-0.1848788770645718
2,0.8108530934826492,-0.06759766326756272,-0.14301416696319325,-0.23276888070454252,-0.27625234051076614,-0.2761015806754493,-0.31206972103901837,-0.36236888129540146,-0.413394778421034,-0.4789545793903623,-0.4209172259878933,-0.41302861896590987,-0.3174513098629922,-0.2917492362302496,-0.32617777261633507,-0.31266494581466686,-0.3761840035789532,-0.44587035521438995,-0.4868396021814736,-0.47242761764433344,-0.09022665115497891,
3,0.8110510083572505,0.017738456243418618,-0.09402393187246577,-0.13900577337100273,-0.1424332403556294,-0.18180644385606873,-0.23426253113339682,-0.2819535406818564,-0.34212310795205647,-0.3542190900719324,-0.3240503600974055,-0.24551487773943687,-0.2071730421024079,-0.19602610630066652,-0.18454051484701786,-0.19229241244477516,-0.26472227177314805,-0.3367224272020475,-0.3782297040150844,0.01905316863971923,,
4,0.8146030100134177,0.04700727916037823,-0.04896380092453735,-0.06734565401250012,-0.09832762243937676,-0.1264062887294643,-0.1725742516261125,-0.24535663233575503,-0.2706329940947152,-0.2665478572722071,-0.18201925148620507,-0.12835976410323857,-0.14161094697437632,-0.11045067770053396,-0.0751114802799209,-0.10015048038305477,-0.1817557152604751,-0.24822140262329268,0.07448733225110582,,,
5,0.8167116324830994,0.06339693566835156,-0.0025818957625113824,-0.04749476774855639,-0.06405765645228045,-0.06387474328007409,-0.15036743346583722,-0.19603132615748758,-0.2087907317257785,-0.14573670185287227,-0.07865890570360783,-0.07616397879954416,-0.05826591701781919,-0.03584321717348154,0.012654985769985392,-0.026797780003918394,-0.10030844424087301,0.13939674873368563,,,,
6,0.8226674237719007,0.0884365902314146,0.033011540004838906,-0.016764100749693825,-0.017872154976091924,-0.045603629261456086,-0.1103972946430536,-0.1459295484794478,-0.10708828317366072,-0.04703874118376581,-0.031855742149519736,-0.0068036552354062176,0.013026175861189735,0.02024264431473337,0.10253521881155077,0.03463363390133138,0.24033215132360256,,,,,
7,0.8240437729652058,0.12418984364947307,0.059100382247458436,0.03366147993623069,0.0030557126319613313,-0.008333219550061569,-0.06889522281976099,-0.04605429725423886,-0.027510317047758765,0.009312315714719795,0.031314146599085206,0.05997582355659523,0.06709801977685183,0.07833815386295012,0.16562973805069217,0.3139308006404513,,,,,,
8,0.8006960281471689,0.146731023007353,0.1021901327159674,0.04307416164097838,0.04712499323612144,0.030628945570985097,0.02058393825216808,0.011095078340361069,0.01855951486163942,0.0728015965010056,0.09022279105031551,0.1129728766225341,0.12373389365741927,0.11665178771481774,0.40143468017328476,,,,,,,
9,0.818280722305918,0.18796108728024313,0.10955674839182952,0.07145570479582984,0.09531755919271293,0.07522173204425739,0.0907991496699547,0.04435265623747414,0.08054979332674782,0.1254274074843589,0.1401472028904169,0.16836311171263563,0.1592206713644411,0.36697908624105025,,,,,,,,
10,0.8088446632133005,0.1871104306053333,0.12751634024428965,0.11177248174667773,0.1584808625384791,0.1387689878948203,0.12117643700045619,0.10536476718806512,0.13410853654498547,0.17813716510007194,0.2114966258320633,0.199356610425688,0.3877118120083394,,,,,,,,,
11,0.8042159982204111,0.19964433546897412,0.15008841619945534,0.17463203338650515,0.2089683237879063,0.17081144137169912,0.16685220310784094,0.13607590957105675,0.1805887893546037,0.2401518861485028,0.2527588092294699,0.426808899680123,,,,,,,,,,
12,0.806220615375005,0.2204318550837913,0.21063301954836658,0.2189949523993873,0.241762806749678,0.2255788199087159,0.18981420924539638,0.17419280612031723,0.24192332810583073,0.28191108243462076,0.4658494176827755,,,,,,,,,,,
13,0.8327871887949586,0.26633882456513097,0.25894247640534646,0.24797001931114562,0.28519941829539813,0.28429436328791435,0.22117895421227712,0.24818200069413388,0.27934477549964,0.4813498404412025,,,,,,,,,,,,
14,0.8241150364316396,0.29889282272680795,0.2876503641162171,0.2923699812149959,0.30800796102751415,0.3346462226933138,0.2910420271821047,0.28243610231079974,0.48247834421400554,,,,,,,,,,,,,
15,0.8179957860366615,0.32204686391500137,0.3325147145166807,0.30838168263861493,0.3448169185825638,0.3806664750691293,0.32634061160917077,0.4845249659370868,,,,,,,,,,,,,,
