block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,2.3180227304212444,-1.1765562289595268,-1.0489478091103093,-1.3301280200324177,-1.3234470800493487,-1.4328449526892615,-1.4263034249429853,-1.529727714084554,-1.6003395819674533,-2.099933740621242,-1.8191457564650528,-1.7227720861901075,-1.6802898135633733,-1.3321753964320158,-1.6055700676172997,-1.5044352484129515,-1.6928899964281605,-1.9188393010997313,-2.029162435433431,-1.9626520978422968,-2.100562198802823,-0.6570904176991739
2,2.3707800822502163,-0.4295728368998755,-0.6188672023213311,-0.7860849769877136,-0.8819957550455604,-0.8513762204166536,-0.9933894558847445,-1.158562096983707,-1.3558942581843196,-1.5355343115017903,-1.3214921351326638,-1.2551070571097116,-1.0293182037870596,-0.9736582184656293,-1.0464205221866962,-1.0344551829304154,-1.2634041253065094,-1.4803737999195636,-1.5171530170631449,-1.541190470841987,-0.34573158581780683,
3,2.384794773516643,-0.132232150978982,-0.3356455620741609,-0.5148930404421792,-0.5249436511104864,-0.6097869331047171,-0.7687392828090844,-0.9920410820671264,-1.112525616053905,-1.134907771287265,-0.9820606804196351,-0.7788749713204266,-0.7319322818679497,-0.7232473838470689,-0.670489130963664,-0.7148020497498185,-0.9503454457555106,-1.058873400932918,-1.1652014162038826,-0.08787139357532125,,
4,2.3921543043184053,0.06886745538844782,-0.19411251372034433,-0.2942540751862145,-0.35505738200641446,-0.45320553218315013,-0.6362152140051991,-0.8448979044214942,-0.8720142110506642,-0.8345623445145256,-0.5874242468198865,-0.5144370444887717,-0.5107698352584862,-0.48623298538904813,-0.3883087511330763,-0.46054000477028395,-0.5996285749194988,-0.7645184929703092,0.1453221150530168,,,
5,2.4111996700600797,0.12276964952413642,-0.052017272177950734,-0.17609452406145176,-0.24136505398034525,-0.3111988353917405,-0.5476037282525237,-0.6684705357887588,-0.666250150410142,-0.47033634568703875,-0.3534946954636098,-0.3177652283245878,-0.26457665088026583,-0.29626416062507177,-0.16516763350377833,-0.14931375971879451,-0.3443390585713819,0.3713619351027452,,,,
6,2.416336083995241,0.20713652264963248,0.008930991284537483,-0.08852385012521877,-0.11099037468987408,-0.24268089798397163,-0.39640552590388534,-0.5075481294511173,-0.3282757514475483,-0.2545912337899082,-0.17521222539974374,-0.09912541539751113,-0.08130051492267773,-0.13091388723039185,0.12924969747815324,0.050403144994995,0.6632270824499293,,,,,
7,2.414325002007983,0.2779795621018549,0.08972501917358429,0.015504054663133458,-0.06313097873081272,-0.1151134926830243,-0.2555568830325199,-0.17569945763646277,-0.15922781816776002,-0.060801797757914985,0.03690373208887464,0.075334850992887,0.06952283332809323,0.08190705475736557,0.312643159387357,0.8736200652546885,,,,,,
8,2.3980438003114046,0.3563496811094859,0.18805464768105623,0.05716438632830729,0.04170862175278396,0.021928528638340355,0.016874813526819195,-0.03772324291274444,0.003258512403518439,0.14708034127735095,0.18883222768503535,0.21894739359151666,0.2828699243686732,0.20493125373007684,1.0962517101027072,,,,,,,
9,2.4143613877669026,0.45383843865365836,0.21243276735002486,0.15250262250383506,0.16547590347932345,0.19809438975549695,0.14468729552104412,0.0830203150718245,0.1909179824922621,0.3077066505473946,0.3311162370483487,0.4245382244877941,0.4052020651940236,1.050502099068161,,,,,,,,
10,2.4092310828084536,0.4403576337132127,0.30445639318513296,0.26361020369257715,0.33718259602764605,0.348708313987512,0.25560649934057444,0.25547706688520766,0.32852647550650815,0.4562532261168152,0.5301495018078637,0.5253976244046248,1.1601452088596913,,,,,,,,,
11,2.4030830564437844,0.5085782047580079,0.39870670154857535,0.4172802625356576,0.46391654484928047,0.4708626426799074,0.405954915957903,0.3770509702527612,0.46958766345554387,0.6462615732223872,0.6373109316235128,1.2361523330515745,,,,,,,,,,
12,2.40310614703133,0.5963044484499477,0.5743140771593345,0.5374282842450985,0.5718909297149524,0.636298876804597,0.5287313512344427,0.5001784017189466,0.6460628682487146,0.7588240539985744,1.324311314841311,,,,,,,,,,,
13,2.4257295389093376,0.7551836124092386,0.6897531894099829,0.6325807765835144,0.7266111130745498,0.7694586630917153,0.6507700881605107,0.6511643630978166,0.7503095384062219,1.3914072839394755,,,,,,,,,,,,
14,2.4186987178488444,0.8211905713347445,0.7596449078916478,0.7873320934102781,0.8522363273140152,0.8963473063845473,0.7947095299557536,0.735398985563283,1.391402590431562,,,,,,,,,,,,,
15,2.413364849547741,0.8837456152299528,0.9033205839787264,0.9003993582745675,0.977683961495624,1.05124481311202,0.8955092748615804,1.3888564411628026,,,,,,,,,,,,,,
