task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,9,9,0.09138645976781845
math,2,18,19,0.14575932919979095
math,3,17,19,0.18018944561481476
math,4,7,10,0.20283105969429016
math,5,8,12,0.22036509215831757
math,6,7,12,0.23157241940498352
math,7,6,12,0.2588050961494446
math,8,13,20,0.2755001187324524
math,9,2,10,0.2864703834056854
math,10,2,11,0.2981148064136505
math,11,7,17,0.3082153797149658
math,12,7,18,0.31566178798675537
math,13,7,19,0.32240477204322815
math,14,7,20,0.32905930280685425
math,15,6,20,0.34834566712379456
