task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
syntax,1,20,20,0.08080857247114182
syntax,2,17,18,0.13140565156936646
syntax,3,18,20,0.1720307171344757
syntax,4,8,11,0.20281630754470825
syntax,5,8,12,0.219399556517601
syntax,6,7,12,0.23625603318214417
syntax,7,8,14,0.2553384006023407
syntax,8,7,14,0.26831793785095215
syntax,9,7,15,0.27794286608695984
syntax,10,6,15,0.2921559512615204
syntax,11,6,16,0.30544671416282654
syntax,12,4,15,0.3152191638946533
syntax,13,3,15,0.32533589005470276
syntax,14,2,15,0.33616897463798523
syntax,15,2,16,0.34856998920440674
