block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.47777053713798523,0.17837552726268768,0.16874681413173676,0.1561092734336853,0.1712798923254013,0.15126584470272064,0.14907509088516235,0.1452835202217102,0.1348230242729187,0.10217741131782532,0.11639277637004852,0.12028241157531738,0.12226784974336624,0.15228308737277985,0.12391922622919083,0.12635119259357452,0.10982098430395126,0.09741148352622986,0.0870722085237503,0.11840629577636719,0.08080857247114182,0.22581161558628082
2,0.48388671875,0.23068270087242126,0.21592837572097778,0.21296972036361694,0.2013094574213028,0.2013498842716217,0.1917048841714859,0.17821696400642395,0.16453416645526886,0.14695404469966888,0.15800999104976654,0.16179129481315613,0.1772976517677307,0.17315958440303802,0.1725843995809555,0.1659528762102127,0.15051855146884918,0.13140565156936646,0.14483964443206787,0.14870427548885345,0.25119298696517944,
3,0.4870813488960266,0.25954070687294006,0.25017473101615906,0.2321571409702301,0.2267361581325531,0.22663550078868866,0.2125691920518875,0.1997806578874588,0.18364594876766205,0.17793633043766022,0.18778900802135468,0.19952398538589478,0.19596301019191742,0.19553782045841217,0.20790435373783112,0.19875764846801758,0.17644447088241577,0.18509416282176971,0.1720307171344757,0.2804968059062958,,
4,0.4871163070201874,0.2856159806251526,0.26225778460502625,0.24902182817459106,0.24447141587734222,0.24149127304553986,0.22911114990711212,0.209594264626503,0.20281630754470825,0.2030593305826187,0.21705003082752228,0.21604090929031372,0.2149195522069931,0.21695226430892944,0.23833972215652466,0.2203662395477295,0.22610408067703247,0.20882606506347656,0.2953616976737976,,,
5,0.49010583758354187,0.29036906361579895,0.2746952772140503,0.2626517117023468,0.2549567222595215,0.2582593560218811,0.2350659966468811,0.22282104194164276,0.219399556517601,0.23161821067333221,0.2325441688299179,0.2337622046470642,0.23642756044864655,0.23828206956386566,0.25746577978134155,0.26542025804519653,0.24848951399326324,0.3127674162387848,,,,
6,0.48846548795700073,0.299102246761322,0.284239798784256,0.27089226245880127,0.27059513330459595,0.2631588280200958,0.24578414857387543,0.23625603318214417,0.24634002149105072,0.24471096694469452,0.24912934005260468,0.2535612881183624,0.256639689207077,0.2566334009170532,0.3028828501701355,0.28378283977508545,0.3387138545513153,,,,,
7,0.4880121946334839,0.3086896240711212,0.29123562574386597,0.2844140827655792,0.27309080958366394,0.27315303683280945,0.2567812502384186,0.2630379796028137,0.2553384006023407,0.2606049180030823,0.2688855230808258,0.2728610634803772,0.2736247181892395,0.28710901737213135,0.3198018968105316,0.3570527136325836,,,,,,
8,0.4891654849052429,0.3147341310977936,0.3027903139591217,0.2869381308555603,0.27951809763908386,0.28360089659690857,0.27751225233078003,0.26831793785095215,0.2686859667301178,0.279095321893692,0.28717684745788574,0.2889433205127716,0.303155779838562,0.299869567155838,0.3830339312553406,,,,,,,
9,0.4885139763355255,0.325790137052536,0.3047657012939453,0.29223573207855225,0.2877545952796936,0.29322558641433716,0.28326451778411865,0.27794286608695984,0.2845120429992676,0.29751431941986084,0.3026435077190399,0.31815585494041443,0.31478825211524963,0.37298429012298584,,,,,,,,
10,0.4894838333129883,0.3255620300769806,0.3095816373825073,0.3004695773124695,0.29977133870124817,0.30305683612823486,0.2921559512615204,0.29222020506858826,0.30070260167121887,0.31304171681404114,0.3321012854576111,0.32869991660118103,0.3793540894985199,,,,,,,,,
11,0.4887831509113312,0.3289230465888977,0.31563442945480347,0.30944520235061646,0.3077126443386078,0.3128073513507843,0.30544671416282654,0.3061993420124054,0.31622815132141113,0.33978530764579773,0.34316590428352356,0.3898381292819977,,,,,,,,,,
12,0.4889506995677948,0.3344973027706146,0.3253006637096405,0.3181765377521515,0.3152191638946533,0.3271578252315521,0.31890392303466797,0.321116179227829,0.3402603268623352,0.350983202457428,0.4003069996833801,,,,,,,,,,,
13,0.4882310628890991,0.3435753583908081,0.33246350288391113,0.32533589005470276,0.32887232303619385,0.3409605324268341,0.3328377902507782,0.3419386148452759,0.3502950370311737,0.4044634997844696,,,,,,,,,,,,
14,0.48992183804512024,0.3458457291126251,0.33616897463798523,0.33920854330062866,0.34168142080307007,0.3530752658843994,0.35343170166015625,0.35112398862838745,0.40476611256599426,,,,,,,,,,,,,
15,0.48997262120246887,0.35015809535980225,0.34856998920440674,0.35158756375312805,0.3530932664871216,0.37602460384368896,0.3628971576690674,0.40531492233276367,,,,,,,,,,,,,,
