block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.660378832984249,-0.3830103135497668,-0.24787971844298606,-0.3710907732040388,-0.40705957297133427,-0.45350667317020976,-0.4332452498784359,-0.5822811397562351,-0.49691628244863995,-0.41880917022696096,-0.5000043452420917,-0.4742027089310654,-0.5287167739542237,-0.5918592797978942,-0.6618077157667714,-0.613222099360273,-0.6988049694025733,-0.1937067473481584
2,0.6732337991674494,-0.088336417200513,-0.15371852609603556,-0.24283911096085178,-0.27737459221705596,-0.27508958886975854,-0.3506776484452244,-0.3942345470588767,-0.29831357461497976,-0.3112047839914146,-0.35143577910083235,-0.3265514886985118,-0.39132984902296575,-0.46561189461000435,-0.5247516526698173,-0.5096194271308415,-0.12388956246478042,
3,0.6734053808670658,-0.014354527492311456,-0.11328753638197939,-0.15024346144177342,-0.15321489353744686,-0.21083341391642463,-0.2290190869234812,-0.23740370244974285,-0.19060869346346326,-0.2205737083555781,-0.21175553399877792,-0.22082831100836345,-0.297792617000579,-0.3720905315887124,-0.43184129996690945,-0.04209430889765403,,
4,0.6764847779181127,0.011019989668065654,-0.0824815357820532,-0.0881179385419997,-0.09836533186062041,-0.11893586728147143,-0.11501099962144137,-0.13755350118895276,-0.12732221595621404,-0.13402976546660708,-0.11786853521955615,-0.14478385815193628,-0.22138128082324282,-0.2915959217806115,0.008075199764122604,,,
5,0.6783128417658971,0.02522895261454878,-0.05426027126672209,-0.04815449111816373,-0.015777748244922486,-0.042661735782316704,-0.03994354726468667,-0.0780424327727273,-0.05110944410436203,-0.07316865309165232,-0.04421471244629935,-0.07629105371587414,-0.15251216149014923,0.06895621661931019,,,,
6,0.6834761969404486,0.031102490866656708,-0.0011446089310028292,0.01297824355174421,0.0452150091976692,0.02917859410286568,0.006460891613910021,-0.022221674199423273,0.007467230748207779,-0.029566426775325692,0.0194082049493831,-0.023373124926661472,0.16705838138745266,,,,,
7,0.6846694186946434,0.07324203629610476,0.03678599448532144,0.0656649378742266,0.10134332860372203,0.07054283329897068,0.04404472617336963,0.03490094104968521,0.051219464037147666,0.02380002585615173,0.06796734829951509,0.2294317397032164,,,,,,
8,0.6727707102266138,0.09505151967326114,0.10038214484615635,0.1157124548598292,0.13715394836732464,0.12060342766047773,0.07724702115356322,0.08189447681041225,0.11578101362736154,0.056305329180478175,0.29891810329587526,,,,,,,
9,0.6718994122419741,0.15546802641585902,0.15006101095486485,0.14039085803031892,0.17448005355267243,0.18403621645813742,0.125850510970705,0.161271982250127,0.14995583044930538,0.2799656683009317,,,,,,,,
10,0.6677904388138388,0.18732207209722085,0.17849840928076438,0.17520420376798734,0.19874199133817533,0.23456990268663297,0.20295015993087098,0.1962939624924946,0.3474183410322925,,,,,,,,,
11,0.6677377417535993,0.21359201532279729,0.21447041575291884,0.20720825162283135,0.24408002537419007,0.28212554613793195,0.2382514303672855,0.38447211955793464,,,,,,,,,,
12,0.6703942902561513,0.24051678282444972,0.24179409077623015,0.25217062100154874,0.2892645607682348,0.31830700997431927,0.417145839969849,,,,,,,,,,,
13,0.6817379509639429,0.2610788564027171,0.28229258001050306,0.30903558562307887,0.3209716233959806,0.4663745895909631,,,,,,,,,,,,
14,0.6828309559559732,0.29237656142168655,0.32703975273248476,0.3450988687986941,0.46936395009908816,,,,,,,,,,,,,
15,0.6693032223124233,0.3281585296544608,0.3600269044182247,0.48417225424953614,,,,,,,,,,,,,,
