block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.485506534576416,0.1726909726858139,0.16715022921562195,0.14206938445568085,0.14814241230487823,0.14490936696529388,0.14254681766033173,0.10744757205247879,0.13617512583732605,0.1680791676044464,0.13533061742782593,0.14700505137443542,0.13526016473770142,0.11640547215938568,0.09551849216222763,0.08554987609386444,0.08447091281414032,0.21846909821033478
2,0.48963186144828796,0.22290785610675812,0.20685072243213654,0.19228588044643402,0.18885064125061035,0.1964440792798996,0.17338097095489502,0.16127415001392365,0.20143528282642365,0.1994180530309677,0.18819722533226013,0.19562780857086182,0.17628464102745056,0.154103621840477,0.1322026550769806,0.12208522111177444,0.24999643862247467,
3,0.49015113711357117,0.2513868510723114,0.23655380308628082,0.21761225163936615,0.22132064402103424,0.21937529742717743,0.20211496949195862,0.21583455801010132,0.22791221737861633,0.2272733449935913,0.22990649938583374,0.2271973192691803,0.20421536266803741,0.1820296049118042,0.1621357500553131,0.266134649515152,,
4,0.49115434288978577,0.2717367708683014,0.2531792223453522,0.2410985678434372,0.24013486504554749,0.2439732700586319,0.23989486694335938,0.23910729587078094,0.2519035041332245,0.25311583280563354,0.25794166326522827,0.249904602766037,0.22703219950199127,0.20606572926044464,0.28894147276878357,,,
5,0.4927334785461426,0.2771351635456085,0.27041080594062805,0.25650396943092346,0.25861552357673645,0.2654839754104614,0.2585814893245697,0.2634626030921936,0.2778762876987457,0.27128928899765015,0.2799350917339325,0.2703569233417511,0.2475968897342682,0.31372854113578796,,,,
6,0.494178831577301,0.28941866755485535,0.28165915608406067,0.27133727073669434,0.27724865078926086,0.2859523296356201,0.2787366807460785,0.28650233149528503,0.29536759853363037,0.28430914878845215,0.2989332377910614,0.2861585021018982,0.3430223762989044,,,,,
7,0.4937158524990082,0.3024270832538605,0.29208904504776,0.28653407096862793,0.2954557538032532,0.3062434196472168,0.299664705991745,0.30355945229530334,0.3084322512149811,0.30024465918540955,0.3134332597255707,0.3616473972797394,,,,,,
8,0.49403080344200134,0.31116920709609985,0.3059104084968567,0.3033619523048401,0.31307676434516907,0.3291506767272949,0.3162042200565338,0.3163358271121979,0.3236621618270874,0.30995091795921326,0.382396399974823,,,,,,,
9,0.49377062916755676,0.3231963515281677,0.3215438425540924,0.31824517250061035,0.3342384696006775,0.34809204936027527,0.3287639915943146,0.33108440041542053,0.33266255259513855,0.37530517578125,,,,,,,,
10,0.49254366755485535,0.3339647352695465,0.33216455578804016,0.3388313353061676,0.351807564496994,0.3631816804409027,0.34281831979751587,0.3396323621273041,0.3893444836139679,,,,,,,,,
11,0.49252793192863464,0.34341078996658325,0.3507274091243744,0.35501134395599365,0.36602145433425903,0.3772934377193451,0.35134121775627136,0.39695867896080017,,,,,,,,,,
12,0.49198299646377563,0.3573630750179291,0.36533886194229126,0.36843734979629517,0.37951380014419556,0.38727399706840515,0.4064752459526062,,,,,,,,,,,
13,0.4897407293319702,0.3675803542137146,0.3774319291114807,0.3814152479171753,0.3889816999435425,0.43239980936050415,,,,,,,,,,,,
14,0.4876171946525574,0.37627798318862915,0.38912686705589294,0.3904782831668854,0.4332924485206604,,,,,,,,,,,,,
15,0.48772233724594116,0.3873344659805298,0.3977581858634949,0.43444371223449707,,,,,,,,,,,,,,
