block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.4780007600784302,0.16590921580791473,0.21249572932720184,0.1764782816171646,0.15819251537322998,0.15238620340824127,0.15830908715724945,0.09830722957849503,0.13969656825065613,0.15954938530921936,0.13879385590553284,0.14633627235889435,0.11677391827106476,0.08422946184873581,0.0808568075299263,0.07856304943561554,0.07626808434724808,0.22833174467086792
2,0.48175856471061707,0.2591339349746704,0.2400212287902832,0.21396921575069427,0.20387369394302368,0.2045416533946991,0.18244551122188568,0.16450975835323334,0.19775274395942688,0.19398434460163116,0.18167296051979065,0.17624497413635254,0.14198771119117737,0.11914478242397308,0.1114940494298935,0.11652529984712601,0.24874092638492584,
3,0.48180872201919556,0.2807605564594269,0.25184014439582825,0.24103707075119019,0.24016845226287842,0.22281049191951752,0.2180091291666031,0.21555811166763306,0.2292373776435852,0.21347631514072418,0.20419761538505554,0.19311904907226562,0.1658170223236084,0.1454140990972519,0.1422438770532608,0.26397016644477844,,
4,0.4827089011669159,0.28817811608314514,0.26084545254707336,0.25919780135154724,0.25620225071907043,0.25018900632858276,0.25133633613586426,0.2447466403245926,0.24773748219013214,0.2258358746767044,0.21671795845031738,0.21161794662475586,0.18682776391506195,0.17181073129177094,0.28007346391677856,,,
5,0.48324328660964966,0.292331725358963,0.26909518241882324,0.2708800435066223,0.28034451603889465,0.2724857032299042,0.2732802927494049,0.2621431052684784,0.2624400556087494,0.2328481525182724,0.23367607593536377,0.2289537638425827,0.2106301337480545,0.29295456409454346,,,,
6,0.4847526550292969,0.2940486967563629,0.2826294004917145,0.288750559091568,0.298174113035202,0.2934862971305847,0.2868453860282898,0.27635422348976135,0.26974451541900635,0.2445625513792038,0.25014400482177734,0.2469797283411026,0.31598493456840515,,,,,
7,0.48510146141052246,0.30542606115341187,0.29571011662483215,0.30415210127830505,0.3145817220211029,0.3055780231952667,0.29783201217651367,0.2840237617492676,0.2800661623477936,0.25311413407325745,0.2672831416130066,0.3323443531990051,,,,,,
8,0.4789543151855469,0.311958909034729,0.3143007457256317,0.31878215074539185,0.3250499963760376,0.3162754476070404,0.3057401478290558,0.2957993745803833,0.29003825783729553,0.2632163465023041,0.35008037090301514,,,,,,,
9,0.47862085700035095,0.3304036259651184,0.3288230299949646,0.3259962201118469,0.3359612822532654,0.32347193360328674,0.31756070256233215,0.30527812242507935,0.30021509528160095,0.353202223777771,,,,,,,,
10,0.4791415333747864,0.33971530199050903,0.3371359407901764,0.3361729681491852,0.3430536091327667,0.33513396978378296,0.3260131776332855,0.31583377718925476,0.3732718825340271,,,,,,,,,
11,0.479024201631546,0.3473946154117584,0.3476513922214508,0.3415292203426361,0.35384321212768555,0.34326064586639404,0.3379895091056824,0.3823436200618744,,,,,,,,,,
12,0.480928510427475,0.355265349149704,0.35380819439888,0.3516615033149719,0.3634308874607086,0.35545408725738525,0.39452677965164185,,,,,,,,,,,
13,0.48424452543258667,0.36127611994743347,0.3636816740036011,0.3600976765155792,0.3747475743293762,0.4066409766674042,,,,,,,,,,,,
14,0.48456403613090515,0.37042516469955444,0.37319332361221313,0.3699550926685333,0.41505998373031616,,,,,,,,,,,,,
15,0.48060956597328186,0.3783666789531708,0.38367876410484314,0.4142540395259857,,,,,,,,,,,,,,
