task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
code,1,16,16,0.08447091281414032
code,2,15,16,0.12208522111177444
code,3,14,16,0.1621357500553131
code,4,13,16,0.20606572926044464
code,5,12,16,0.2475968897342682
code,6,3,8,0.27133727073669434
code,7,3,9,0.28653407096862793
code,8,3,10,0.3033619523048401
code,9,3,11,0.31824517250061035
code,10,2,11,0.33216455578804016
code,11,1,11,0.34341078996658325
code,12,1,12,0.3573630750179291
code,13,1,13,0.3675803542137146
code,14,1,14,0.37627798318862915
code,15,1,15,0.3873344659805298
