block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.47777053713798523,0.17837552726268768,0.16874681413173676,0.1561092734336853,0.1712798923254013,0.15126584470272064,0.14907509088516235,0.11958149075508118,0.13934996724128723,0.15454810857772827,0.1296343356370926,0.1355220526456833,0.11468711495399475,0.09871695190668106,0.08657310903072357,0.11045248806476593,0.07870233803987503,0.2291175276041031
2,0.48388671875,0.23068270087242126,0.21592837572097778,0.21296972036361694,0.2013094574213028,0.2013498842716217,0.18544186651706696,0.1750638633966446,0.1911386102437973,0.1874331533908844,0.1786109209060669,0.17514833807945251,0.15219555795192719,0.13210058212280273,0.13655532896518707,0.1410200297832489,0.2525573670864105,
3,0.4870813488960266,0.25954070687294006,0.25017473101615906,0.2321571409702301,0.2267361581325531,0.2291756123304367,0.21592384576797485,0.21480804681777954,0.22140555083751678,0.21177521347999573,0.2119613140821457,0.20482616126537323,0.17757874727249146,0.17704983055591583,0.16396814584732056,0.2789613902568817,,
4,0.4871163070201874,0.2856159806251526,0.26225778460502625,0.24902182817459106,0.2503623068332672,0.254962682723999,0.24077843129634857,0.23915524780750275,0.24342122673988342,0.23332691192626953,0.237887442111969,0.22599931061267853,0.21767187118530273,0.20059512555599213,0.2937636971473694,,,
5,0.49010583758354187,0.29036906361579895,0.2746952772140503,0.2692805528640747,0.2671620547771454,0.2674712836742401,0.26066967844963074,0.25923338532447815,0.2674282193183899,0.25127172470092773,0.25721901655197144,0.2610407769680023,0.23957599699497223,0.31040245294570923,,,,
6,0.48846548795700073,0.299102246761322,0.2910434305667877,0.2839723229408264,0.2773694097995758,0.28650638461112976,0.2774864435195923,0.2815040349960327,0.2851743996143341,0.26866936683654785,0.2906658351421356,0.2786337733268738,0.3360339403152466,,,,,
7,0.4880121946334839,0.3129909038543701,0.3016837239265442,0.2898729741573334,0.2930012345314026,0.3022904396057129,0.297252893447876,0.2992318868637085,0.30166831612586975,0.29034000635147095,0.306045800447464,0.35500118136405945,,,,,,
8,0.4871573746204376,0.31942570209503174,0.30823299288749695,0.3052975535392761,0.30537936091423035,0.3215278387069702,0.3135508596897125,0.3155437707901001,0.3255418539047241,0.2998960316181183,0.37549737095832825,,,,,,,
9,0.4871484041213989,0.32538822293281555,0.3212348222732544,0.31664708256721497,0.3235156834125519,0.33741846680641174,0.3285128176212311,0.3389637768268585,0.3356249928474426,0.37398386001586914,,,,,,,,
10,0.4865002930164337,0.33390387892723083,0.3280283808708191,0.3345220386981964,0.3383530080318451,0.3503308892250061,0.3512607514858246,0.3492968678474426,0.3938854932785034,,,,,,,,,
11,0.48698294162750244,0.34116220474243164,0.3442523181438446,0.3486899137496948,0.350454717874527,0.37462112307548523,0.36167624592781067,0.404818058013916,,,,,,,,,,
12,0.48561760783195496,0.3529287278652191,0.3567054569721222,0.36032938957214355,0.37287580966949463,0.3852963149547577,0.414458304643631,,,,,,,,,,,
13,0.48305806517601013,0.3621635437011719,0.36792615056037903,0.3825608193874359,0.38324424624443054,0.4288424253463745,,,,,,,,,,,,
14,0.47967207431793213,0.37322577834129333,0.3878728747367859,0.39320114254951477,0.4283199608325958,,,,,,,,,,,,,
15,0.479414165019989,0.388202965259552,0.3976055979728699,0.4342341721057892,,,,,,,,,,,,,,
