block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1,0.9391161355893394,-0.26339831286408705,-0.17932175247183196,-0.33104497231512053,-0.29158790565930387,-0.3710998672601934,-0.37980331079658713,-0.3948664917524386,-0.4364240301318326,-0.4899266553805627,-0.4870810859494986,-0.5127175545831049,-0.571175439964825,-0.564148850371732,-0.5872961272578656,-0.6050372573987711,-0.5666795271010885,-0.537152946532059,-0.4870624208353303,-0.39400588092146727,-0.44307832334341596,-0.4176635274635064,-0.4584299821497466,-0.5470017109746029,-0.5898008525772217,-0.5482634778926407,-0.6328503754177468,-0.08157378175041545
2,0.9549458585316049,0.017141328019444242,-0.06337079892412713,-0.1259622376976772,-0.17228621957303258,-0.17212561147262218,-0.21044334170193882,-0.26402825418235726,-0.31860529019936906,-0.3702876508438165,-0.3971820781319273,-0.4193858808567058,-0.4579721553380919,-0.49804328439601353,-0.4967893763902485,-0.45920815456219183,-0.396389485101332,-0.3493685881303753,-0.2487885013230342,-0.18282933464776385,-0.24079743582603166,-0.22616243382641935,-0.32322970820465297,-0.37934125681761177,-0.42675528040845323,-0.415430189350248,0.01650667847735409,
3,0.9630305384325837,0.1082433037178745,0.021846113423323647,-0.04973430623396655,-0.06275062118475802,-0.07167072061478974,-0.12755345964051948,-0.18636130255470412,-0.26040211043947553,-0.3157335250128934,-0.327809723509191,-0.345972052204381,-0.41100897632130684,-0.4302926841798955,-0.4081604334861473,-0.32553442946251576,-0.27492120943018705,-0.1985099136316546,-0.08477101104906794,-0.07355087841961339,-0.1300897461011509,-0.1441669647614885,-0.1957856581103629,-0.2690490577620731,-0.28681399637695737,0.11307672400778825,,
4,0.9631694203358504,0.16264738116910285,0.06984976121572442,0.017410364637960033,-0.0008120606184665684,-0.012651594873342014,-0.07160293724767955,-0.16919369964773262,-0.22532164278400416,-0.27680935564586795,-0.2715575820910376,-0.3214918821814997,-0.37308084237934847,-0.362483087561087,-0.28925798628407645,-0.22856072642642702,-0.17433176973993442,-0.03663749763779571,0.00347896307160567,0.016720008891241256,-0.04610950929133466,-0.04147395187732926,-0.10764922419115341,-0.14771754509040294,0.17825673622535468,,,
5,0.9750462502424982,0.18153046565871073,0.11926152706059912,0.0714147578034315,0.04084404484061166,0.0258154363619588,-0.06001571103701683,-0.13217764686472033,-0.19567627638127089,-0.22681536323721285,-0.2515652498527407,-0.2806416325079474,-0.30261283597430677,-0.24791447755350227,-0.1949524912608787,-0.16114464423184927,-0.01734821235468122,0.03793762010081518,0.08264527921233557,0.05674055547252969,0.04720470967682847,0.03543308083468624,0.0005599848088382074,0.24376222700394448,,,,
6,0.9685294566894657,0.21622572251087568,0.15718007541705648,0.1041528809292537,0.0704814193179651,0.05614153720870943,-0.03412702315836874,-0.12020361146567521,-0.1655515720540913,-0.20551253629262414,-0.21789542283577581,-0.24191547095074745,-0.21366095623808407,-0.17029377239217372,-0.12227073598710493,-0.006631691668845939,0.0524451341461098,0.10483270277750187,0.11506814631814234,0.09244220436358,0.11631181611891897,0.10379522799730403,0.3390774936382815,,,,,
7,0.9690277850189113,0.25431452847764646,0.18497315031454056,0.12771449773564514,0.08932365618896511,0.06865251159438278,-0.021220418866671545,-0.0925157339859682,-0.14063369809490323,-0.17454601383368887,-0.1816382641277391,-0.17022346884277156,-0.13514080504159157,-0.10620191820584593,0.021567815248678165,0.056614887877973315,0.11704480593481575,0.12783100245979068,0.14513647222923903,0.13766107071289613,0.18959923192105368,0.4058294497207107,,,,,,
8,0.9713104099238479,0.2783281922632984,0.20414441771339942,0.14306444081401332,0.10562838830627141,0.08622752509738243,5.5092884965612185e-05,-0.08287054564259744,-0.11536374636910851,-0.15043191482555596,-0.12627665734045088,-0.10808360525980018,-0.07434863539224922,0.03255626002023683,0.08071532123919359,0.11071497564757067,0.13033468761287534,0.15178593258215897,0.19246959228477284,0.18082732450377403,0.4656588047669703,,,,,,,
9,0.9687220916908426,0.3011454352198703,0.21428338864634744,0.154651430226887,0.12219981369472963,0.11235460915013767,0.009238111143594767,-0.05578484494039674,-0.09765470725447058,-0.0871430653601023,-0.06774474680438819,-0.05548895501280297,0.05763579584893478,0.0936290789279516,0.13267353605102244,0.1448111027099042,0.17977754054109363,0.1987350107822103,0.23386720963997623,0.4803474364982927,,,,,,,,
10,0.9699608993241592,0.2976961202259476,0.22513784409885318,0.16461919635836547,0.14156530300371398,0.11719712393582529,0.03139533946268952,-0.0385376187768635,-0.04985236793948425,-0.027417626530885312,-0.00742762828172047,0.0687366007574844,0.11179978452325662,0.1456027354122384,0.141989704907461,0.2023685131502267,0.23847394707142588,0.23646411914600352,0.521662823809106,,,,,,,,,
