block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.7487004987015431,-0.3219327297827578,-0.23871191202299574,-0.40778006437011316,-0.39089837926363075,-0.4350030121124236,-0.452122608879168,-0.47740483118877286,-0.5539891585260586,-0.5972331943143038,-0.5460611915247631,-0.5503249986166248,-0.4272926840827079,-0.5148015624224987,-0.47266098065419015,-0.5334671692574451,-0.5960539694920594,-0.6560133860631691,-0.6042275889841802,-0.6922175824893012,-0.165251038235867
2,0.7652975224463672,-0.07144982240921852,-0.15473411233905981,-0.22875766235467104,-0.25484212493086567,-0.2600947632702739,-0.30570334152177,-0.3720544331542926,-0.44997361676057174,-0.43623227731770065,-0.391532974799523,-0.34954148298777704,-0.3079592199288422,-0.3337856306287065,-0.3017718493848781,-0.3853496943499793,-0.4487670769167642,-0.504754146004807,-0.47846925762362413,-0.08457965172813339,
3,0.7741063109090727,-0.0040901820054695835,-0.08524430064628277,-0.1364392380175184,-0.15371995124276147,-0.16728923763321712,-0.23893587763145713,-0.31368798980907553,-0.3584376693737614,-0.3578393131193266,-0.24997617600157235,-0.21173389440379553,-0.21389386022752604,-0.19866141853129754,-0.19985730057206652,-0.27484470576093845,-0.3470623310512111,-0.3910424925386561,0.007171812474169282,,
4,0.7743695711706085,0.04677481300095852,-0.019310601660160992,-0.07327508853923138,-0.09174385386784945,-0.11520726033138408,-0.2023859872369232,-0.25088742090414595,-0.2976272878968198,-0.22413764680917858,-0.13054902936432058,-0.144971160573488,-0.13599289758955527,-0.09059633551333203,-0.10885732435315333,-0.1924651290302425,-0.25559501040587107,0.06198268485340403,,,
5,0.7787976281033211,0.07712492960678857,0.027479479193087318,-0.024786006944663312,-0.053361077005351726,-0.09303577325820184,-0.15248436557729655,-0.19559465657738742,-0.16708324297709867,-0.11928183627622357,-0.07796370251442711,-0.05179664619773751,-0.0654862089772741,-0.0052050854198105135,-0.03566576384453636,-0.11396765398271896,0.12696222571496318,,,,
6,0.7754619240305922,0.110010550795979,0.05956618980483834,0.007465899212678166,-0.03345329884355518,-0.04861745146864378,-0.10107805237566028,-0.10816145610349162,-0.08738532687059238,-0.07253991061896722,0.0028653618685992644,-0.009453288844806083,-0.013393020149832305,0.06151945035767695,0.025175482978652762,0.2267110685772643,,,,,
7,0.7732385509527493,0.14054465957970008,0.08691657871414679,0.015939635872445453,0.024619571109006887,-0.0026109216590120923,-0.019948495815952913,-0.031120464127876946,-0.04550236938422307,-0.00038514562976415704,0.04038162633995708,0.04322805636656889,0.04299311727205186,0.11674124299677571,0.3009484800343967,,,,,,
8,0.7797556118946873,0.1615438275486255,0.09357853483879071,0.05709041571471643,0.08726633172795291,0.056225237169318404,0.060165061774815856,-0.0002684533034467881,0.019849487538276173,0.03729495471760931,0.08581036292395956,0.09897687162797111,0.07851981143563819,0.37252996918072695,,,,,,,
9,0.7746285350590472,0.1643393701136988,0.12268366993035615,0.10844287462412174,0.14153273770847571,0.12722512893820392,0.0831625918563531,0.07048253417606333,0.06420739511504704,0.07921524840655826,0.13999223469724065,0.1327448110830849,0.33486693577034843,,,,,,,,
10,0.7755315966808581,0.18475294242946483,0.15261585684314818,0.1632434123407174,0.1961301904983237,0.15240432871075876,0.14432377704677646,0.1070535364426457,0.10290991811250168,0.12919355410460517,0.16982734330719468,0.3807574771870298,,,,,,,,,
11,0.773457021524746,0.20709311585137907,0.19722602206007317,0.2131193703177613,0.2290010021373678,0.2148420313168763,0.1697707318896078,0.15132383004346836,0.1542485860294424,0.16171095646210976,0.4010146242949132,,,,,,,,,,
12,0.7906217992904618,0.24331366505740026,0.24593332277199764,0.23780659455792902,0.28607326530435334,0.2687404757878522,0.2017439165266094,0.21655222568100777,0.18892740594011048,0.40889708991981744,,,,,,,,,,,
13,0.770988218133721,0.2786911052436663,0.2717425682590384,0.29389525126126037,0.3128831175769706,0.3197984878156345,0.26549167458549827,0.25352004576857967,0.42584069650356443,,,,,,,,,,,,
14,0.7714992717136426,0.2952642366441671,0.327165685332519,0.3122692681151269,0.3475239154356162,0.3650569867846852,0.30377429225016567,0.4624004685562221,,,,,,,,,,,,,
15,0.7683550784717249,0.34548491060829806,0.3479791335151983,0.3426723911335144,0.37300533039045225,0.3981517001240742,0.49563774788342496,,,,,,,,,,,,,,
