block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.48548033833503723,0.17603138089179993,0.17126736044883728,0.14541339874267578,0.15040628612041473,0.1487121731042862,0.14543460309505463,0.1389513462781906,0.12064900249242783,0.1030987948179245,0.11486457288265228,0.12383858859539032,0.16287736594676971,0.1359899640083313,0.14672133326530457,0.13117925822734833,0.11623024195432663,0.09965692460536957,0.08892901986837387,0.08818993717432022,0.21576716005802155
2,0.48978036642074585,0.2274167239665985,0.2114885151386261,0.19621531665325165,0.19268377125263214,0.2012767791748047,0.1835169643163681,0.16195181012153625,0.1502293050289154,0.1445227563381195,0.15779010951519012,0.18436849117279053,0.19480521976947784,0.18872354924678802,0.1925753355026245,0.17447078227996826,0.15694165229797363,0.13695456087589264,0.12654098868370056,0.24870474636554718,
3,0.4902648329734802,0.25693273544311523,0.24146845936775208,0.2221672236919403,0.22579030692577362,0.22721174359321594,0.19913430511951447,0.1808023750782013,0.17509949207305908,0.17530633509159088,0.20257361233234406,0.21146900951862335,0.22186270356178284,0.22607308626174927,0.22574253380298615,0.20501534640789032,0.185053750872612,0.1681850701570511,0.2662816047668457,,
4,0.49137017130851746,0.2779262363910675,0.25945526361465454,0.24568766355514526,0.2448318749666214,0.24033647775650024,0.21140249073505402,0.19953495264053345,0.19616301357746124,0.2190312296152115,0.22725757956504822,0.2365970015525818,0.24339522421360016,0.255943238735199,0.25089573860168457,0.22778579592704773,0.2103361338376999,0.2907387614250183,,,
5,0.4928772449493408,0.28420063853263855,0.2767537236213684,0.2623006999492645,0.25501635670661926,0.2457718551158905,0.2264575958251953,0.218378484249115,0.23480157554149628,0.23812933266162872,0.2507827877998352,0.25894293189048767,0.26288390159606934,0.2795461416244507,0.27112653851509094,0.24948319792747498,0.3160783648490906,,,,
6,0.49427276849746704,0.29714128375053406,0.2873530983924866,0.2696887254714966,0.2589684724807739,0.25956058502197266,0.24142897129058838,0.25108808279037476,0.2505388557910919,0.25818100571632385,0.2719156742095947,0.2783719003200531,0.2772829234600067,0.2979893982410431,0.28794360160827637,0.34364983439445496,,,,,
7,0.493939608335495,0.30884847044944763,0.2941645085811615,0.27236032485961914,0.270717591047287,0.27514225244522095,0.2680353820323944,0.26579445600509644,0.2684076130390167,0.276263952255249,0.2904002368450165,0.29293349385261536,0.29286855459213257,0.3132531940937042,0.364169716835022,,,,,,
8,0.49532321095466614,0.3138488233089447,0.29536572098731995,0.28235533833503723,0.2839592397212982,0.2888720631599426,0.28137680888175964,0.2809106707572937,0.28488919138908386,0.29129353165626526,0.30470362305641174,0.30834296345710754,0.30268844962120056,0.3839554786682129,,,,,,,
9,0.4945892095565796,0.31560415029525757,0.3046635389328003,0.2936846613883972,0.29782620072364807,0.304912805557251,0.2953087389469147,0.29731979966163635,0.29873237013816833,0.3028806746006012,0.31967997550964355,0.31767672300338745,0.3735450804233551,,,,,,,,
10,0.49534872174263,0.32349684834480286,0.31351980566978455,0.3058660328388214,0.31253066658973694,0.3204614818096161,0.31088724732398987,0.3105754256248474,0.3094300925731659,0.31669512391090393,0.3279266655445099,0.3813899755477905,,,,,,,,,
11,0.4942770302295685,0.3303172290325165,0.32472163438796997,0.3195352256298065,0.32611069083213806,0.33859744668006897,0.324704647064209,0.32107776403427124,0.3225249946117401,0.3239610195159912,0.38908305764198303,,,,,,,,,,
12,0.4939935505390167,0.3402501344680786,0.3374406397342682,0.33066198229789734,0.3428119122982025,0.35526713728904724,0.3356306254863739,0.3336486220359802,0.32960668206214905,0.38589829206466675,,,,,,,,,,,
13,0.49291783571243286,0.34856918454170227,0.34543558955192566,0.3468282222747803,0.3583204448223114,0.36938002705574036,0.34770652651786804,0.3401779532432556,0.3904566466808319,,,,,,,,,,,,
14,0.49314287304878235,0.3548916280269623,0.3601683974266052,0.3609713315963745,0.3715256452560425,0.38188987970352173,0.3547196686267853,0.3973301649093628,,,,,,,,,,,,,
15,0.4924093186855316,0.3655666708946228,0.37301820516586304,0.37330693006515503,0.383462518453598,0.39103755354881287,0.40905672311782837,,,,,,,,,,,,,,
