block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.47814053297042847,0.16555505990982056,0.2219557911157608,0.17662599682807922,0.15878237783908844,0.15393094718456268,0.15466372668743134,0.12938492000102997,0.1152823194861412,0.128937229514122,0.142213836312294,0.14110758900642395,0.15649130940437317,0.15032416582107544,0.1612575650215149,0.14548136293888092,0.11192508041858673,0.10602261871099472,0.10275685042142868,0.10429347306489944,0.22643506526947021
2,0.4824466407299042,0.2653520405292511,0.2437438815832138,0.21591956913471222,0.20747093856334686,0.20593667030334473,0.18817856907844543,0.15881289541721344,0.16350577771663666,0.1707090139389038,0.18230627477169037,0.19277788698673248,0.20398953557014465,0.1949623078107834,0.20559485256671906,0.1752152293920517,0.1532251238822937,0.14758197963237762,0.14358189702033997,0.2462390959262848,
3,0.4825042486190796,0.28282853960990906,0.25589582324028015,0.24489060044288635,0.24400700628757477,0.2259906828403473,0.2042093724012375,0.19398103654384613,0.18902841210365295,0.19104811549186707,0.21903327107429504,0.2289552539587021,0.22180023789405823,0.2265053391456604,0.22553719580173492,0.19951651990413666,0.18381506204605103,0.18243353068828583,0.26750612258911133,,
4,0.48340165615081787,0.2909393608570099,0.26671162247657776,0.26370349526405334,0.2590113878250122,0.23749575018882751,0.22466300427913666,0.21385930478572845,0.2053472250699997,0.2244136780500412,0.2500187158584595,0.2462768852710724,0.24386148154735565,0.24020713567733765,0.24443402886390686,0.22039280831813812,0.21184180676937103,0.2891736924648285,,,
5,0.48332035541534424,0.2949075996875763,0.2737613320350647,0.2702341675758362,0.266888827085495,0.2515939176082611,0.24410636723041534,0.2257183939218521,0.2347552478313446,0.2529419958591461,0.2636620104312897,0.27045106887817383,0.2526809573173523,0.25365591049194336,0.26099780201911926,0.24154868721961975,0.30681920051574707,,,,
6,0.4838935434818268,0.29575276374816895,0.2760021686553955,0.27730056643486023,0.27521026134490967,0.2671814262866974,0.2576649785041809,0.251681923866272,0.26121756434440613,0.26506921648979187,0.28463315963745117,0.28014707565307617,0.26050081849098206,0.2666480839252472,0.2768884599208832,0.3302096724510193,,,,,
7,0.4833943545818329,0.29839518666267395,0.28394925594329834,0.2860707640647888,0.29027730226516724,0.2819935977458954,0.2787140905857086,0.27581551671028137,0.2706954777240753,0.28378981351852417,0.2943667769432068,0.2878887951374054,0.26998046040534973,0.27990275621414185,0.34876951575279236,,,,,,
8,0.478574275970459,0.3067164123058319,0.2884328365325928,0.2987018823623657,0.30653104186058044,0.2984774112701416,0.29949960112571716,0.2824397385120392,0.2890397012233734,0.2890419363975525,0.30250635743141174,0.29882746934890747,0.27761995792388916,0.36047616600990295,,,,,,,
9,0.4814552366733551,0.30552640557289124,0.3034138083457947,0.3120253086090088,0.32061049342155457,0.316898375749588,0.30546632409095764,0.30217647552490234,0.2932102382183075,0.29542380571365356,0.3124578297138214,0.30946317315101624,0.3667367100715637,,,,,,,,
10,0.4807208478450775,0.31680387258529663,0.31687816977500916,0.3262433409690857,0.33477583527565,0.323431134223938,0.3213346302509308,0.3078397214412689,0.29931482672691345,0.303356796503067,0.3220350742340088,0.38267749547958374,,,,,,,,,
11,0.48360753059387207,0.32900920510292053,0.33506014943122864,0.3391836881637573,0.34330418705940247,0.3396306335926056,0.3279368579387665,0.3139127194881439,0.3068930208683014,0.3081783354282379,0.38793322443962097,,,,,,,,,,
12,0.4890170395374298,0.3470176160335541,0.34769728779792786,0.3455888032913208,0.3581116199493408,0.3472912907600403,0.33502256870269775,0.31986722350120544,0.3123282194137573,0.3872024416923523,,,,,,,,,,,
13,0.4838646948337555,0.3561963140964508,0.35439351201057434,0.3601410388946533,0.3650674521923065,0.3552982807159424,0.3398295044898987,0.32531750202178955,0.39017775654792786,,,,,,,,,,,,
14,0.47947072982788086,0.3604962229728699,0.36877307295799255,0.3649081885814667,0.37405502796173096,0.3599923849105835,0.3487456142902374,0.3962763547897339,,,,,,,,,,,,,
15,0.47736600041389465,0.373526006937027,0.3741731345653534,0.37279629707336426,0.38066619634628296,0.3711247742176056,0.4068283140659332,,,,,,,,,,,,,,
