block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.4776853322982788,0.18414154648780823,0.17195163667201996,0.1603219211101532,0.16500599682331085,0.15276850759983063,0.14801841974258423,0.14100348949432373,0.11975402384996414,0.10287416726350784,0.11292190849781036,0.116459421813488,0.13740715384483337,0.1224370226264,0.12667416036128998,0.10797169804573059,0.09721717238426208,0.08791252970695496,0.1058146208524704,0.08047192543745041,0.22761522233486176
2,0.4848623275756836,0.23524217307567596,0.22093941271305084,0.2099943608045578,0.2027568370103836,0.20129941403865814,0.1886446326971054,0.1702345311641693,0.14861468970775604,0.14378207921981812,0.15031279623508453,0.16240690648555756,0.1670117825269699,0.16746509075164795,0.16372579336166382,0.1472090780735016,0.1315336376428604,0.13341501355171204,0.14070814847946167,0.24999870359897614,
3,0.48825395107269287,0.26551899313926697,0.24981428682804108,0.2356094866991043,0.2302360087633133,0.22704969346523285,0.2071702629327774,0.18642917275428772,0.1740127056837082,0.16955071687698364,0.1828555017709732,0.18963642418384552,0.19122739136219025,0.19840706884860992,0.19456425309181213,0.1732020229101181,0.17300967872142792,0.1640961468219757,0.2754565179347992,,
4,0.4883269965648651,0.2864449620246887,0.2681085765361786,0.2531353235244751,0.24801088869571686,0.2415006160736084,0.2173115760087967,0.20385412871837616,0.19088545441627502,0.1994009166955948,0.20670108497142792,0.21133314073085785,0.21138177812099457,0.22622498869895935,0.21600550413131714,0.21075843274593353,0.19927312433719635,0.2906646132469177,,,
5,0.48955562710762024,0.29486605525016785,0.28109118342399597,0.26658934354782104,0.25866076350212097,0.24765242636203766,0.23115752637386322,0.21919593214988708,0.21595168113708496,0.2188567966222763,0.22698907554149628,0.2324047088623047,0.23194575309753418,0.24511438608169556,0.24898657202720642,0.2350185066461563,0.30710557103157043,,,,
6,0.488630086183548,0.3039906620979309,0.28999412059783936,0.2755381166934967,0.26243364810943604,0.25997695326805115,0.24373440444469452,0.2387320101261139,0.2329392284154892,0.23655857145786285,0.24664536118507385,0.252824604511261,0.2493383288383484,0.27766773104667664,0.26875099539756775,0.3304506540298462,,,,,
7,0.4880131781101227,0.31246280670166016,0.2975828945636749,0.27788928151130676,0.2726611793041229,0.2727421522140503,0.2588804364204407,0.2536884546279907,0.24907168745994568,0.25474274158477783,0.26602599024772644,0.26893675327301025,0.2713925242424011,0.29525697231292725,0.3476829528808594,,,,,,
8,0.4898214340209961,0.3182893395423889,0.29943135380744934,0.2870390713214874,0.28382617235183716,0.2789228558540344,0.2722494900226593,0.2678859531879425,0.2656106948852539,0.2723905146121979,0.281711220741272,0.29143026471138,0.2838127911090851,0.3671846091747284,,,,,,,
9,0.48839884996414185,0.31906500458717346,0.3075070083141327,0.29775726795196533,0.2895214259624481,0.2948802709579468,0.28488922119140625,0.284585177898407,0.2819924056529999,0.28779661655426025,0.30372703075408936,0.3034171462059021,0.36383387446403503,,,,,,,,
10,0.4873265027999878,0.3247290551662445,0.3158121407032013,0.30165722966194153,0.30380934476852417,0.3073035180568695,0.30029699206352234,0.300174742937088,0.2971648573875427,0.3080767095088959,0.31465601921081543,0.3724268078804016,,,,,,,,,
11,0.48807379603385925,0.33092767000198364,0.31975409388542175,0.31595972180366516,0.31468793749809265,0.3232807517051697,0.31514984369277954,0.3154536485671997,0.31626516580581665,0.31833571195602417,0.3819408416748047,,,,,,,,,,
12,0.4871905446052551,0.3353680670261383,0.33196523785591125,0.3259086310863495,0.32978978753089905,0.33838069438934326,0.32944345474243164,0.3335522413253784,0.3258873224258423,0.3869211971759796,,,,,,,,,,,
13,0.4873887896537781,0.3421689569950104,0.33794406056404114,0.3407492935657501,0.3441183567047119,0.350580096244812,0.34713122248649597,0.3438095152378082,0.3916224539279938,,,,,,,,,,,,
14,0.48753058910369873,0.3481198251247406,0.35152503848075867,0.3543682396411896,0.3554462492465973,0.37138983607292175,0.35775330662727356,0.40176650881767273,,,,,,,,,,,,,
15,0.4866581857204437,0.35684284567832947,0.36362990736961365,0.3653023838996887,0.3753833472728729,0.382734090089798,0.4109886884689331,,,,,,,,,,,,,,
