task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
code,1,14,14,0.08403857052326202
code,2,13,14,0.124730683863163
code,3,12,14,0.1670772284269333
code,4,11,14,0.22159743309020996
code,5,10,14,0.25976574420928955
code,6,7,12,0.28371503949165344
code,7,7,13,0.29970309138298035
code,8,7,14,0.3075154721736908
code,9,6,14,0.32902246713638306
code,10,1,10,0.3547682762145996
code,11,1,11,0.36594030261039734
code,12,1,12,0.3760527968406677
code,13,1,13,0.38822081685066223
code,14,1,14,0.3942246735095978
code,15,1,15,0.4316588342189789
