task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,14,14,0.08456677943468094
math,2,12,13,0.12845292687416077
math,3,12,14,0.15972208976745605
math,4,11,14,0.19507020711898804
math,5,10,14,0.22704632580280304
math,6,9,14,0.26532500982284546
math,7,7,13,0.28042975068092346
math,8,7,14,0.2884438931941986
math,9,6,14,0.31442612409591675
math,10,5,14,0.34911930561065674
math,11,3,13,0.36597776412963867
math,12,3,14,0.37587594985961914
math,13,1,13,0.3873428404331207
math,14,1,14,0.39516398310661316
math,15,1,15,0.43431520462036133
