block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.4785146713256836,0.1702592670917511,0.2226201593875885,0.1725834757089615,0.1573628932237625,0.14139539003372192,0.13216137886047363,0.16669340431690216,0.15564261376857758,0.16453661024570465,0.1304437220096588,0.10061866044998169,0.09448081254959106,0.08964882791042328,0.08456677943468094,0.23908597230911255
2,0.4819856286048889,0.26684337854385376,0.24221646785736084,0.2135757952928543,0.20319129526615143,0.1925077587366104,0.20462851226329803,0.21433837711811066,0.20469366014003754,0.19798079133033752,0.15748825669288635,0.13893356919288635,0.12845292687416077,0.12962161004543304,0.2559033930301666,
3,0.48281678557395935,0.28327545523643494,0.25997257232666016,0.24093621969223022,0.23912453651428223,0.24189956486225128,0.24496681988239288,0.23886679112911224,0.23045410215854645,0.2140185534954071,0.18291069567203522,0.168466255068779,0.15972208976745605,0.27324849367141724,,
4,0.483109712600708,0.29412728548049927,0.2734985649585724,0.26244640350341797,0.2752964496612549,0.27644482254981995,0.2658064663410187,0.254795104265213,0.23997297883033752,0.23276068270206451,0.2044152170419693,0.19507020711898804,0.2922629714012146,,,
5,0.4822733998298645,0.2989002764225006,0.28501784801483154,0.29235392808914185,0.30390664935112,0.29660212993621826,0.2787150740623474,0.2611776292324066,0.25670868158340454,0.24920731782913208,0.22704632580280304,0.30671629309654236,,,,
6,0.48065629601478577,0.3055645525455475,0.308577299118042,0.31779325008392334,0.32117077708244324,0.31024599075317383,0.28539615869522095,0.2727562189102173,0.27070239186286926,0.26532500982284546,0.3286703824996948,,,,,
7,0.4819472134113312,0.3251068592071533,0.3323061168193817,0.3299467861652374,0.3349992036819458,0.3182016909122467,0.2974729537963867,0.28042975068092346,0.28540340065956116,0.34605926275253296,,,,,,
8,0.48203808069229126,0.34148523211479187,0.34698548913002014,0.3418370187282562,0.3431468605995178,0.33063119649887085,0.30406519770622253,0.2884438931941986,0.3671361207962036,,,,,,,
9,0.47746217250823975,0.3537057340145111,0.3593066334724426,0.34739071130752563,0.35514751076698303,0.3371957838535309,0.31442612409591675,0.37773990631103516,,,,,,,,
10,0.47989436984062195,0.3637147843837738,0.3661147654056549,0.35849452018737793,0.364010214805603,0.34911930561065674,0.39216309785842896,,,,,,,,,
11,0.4833838939666748,0.36968541145324707,0.3773902356624603,0.36597776412963867,0.37621423602104187,0.4102157652378082,,,,,,,,,,
12,0.4834066927433014,0.37974321842193604,0.3863842487335205,0.37587594985961914,0.4212169349193573,,,,,,,,,,,
13,0.4795413613319397,0.3873428404331207,0.39691975712776184,0.4234050214290619,,,,,,,,,,,,
14,0.4827905297279358,0.39516398310661316,0.43407928943634033,,,,,,,,,,,,,
15,0.48282530903816223,0.43431520462036133,,,,,,,,,,,,,,
