block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.4780491888523102,0.18608814477920532,0.17412807047367096,0.16023796796798706,0.15953952074050903,0.14791430532932281,0.13309802114963531,0.1613835245370865,0.14052094519138336,0.14667798578739166,0.12132412940263748,0.10575307160615921,0.09261748939752579,0.1067357063293457,0.07843504101037979,0.23390159010887146
2,0.4854387044906616,0.23804417252540588,0.22391539812088013,0.21035832166671753,0.19866210222244263,0.19380129873752594,0.19719816744327545,0.19595102965831757,0.19225682318210602,0.1889883130788803,0.15959128737449646,0.14109119772911072,0.13872182369232178,0.14024454355239868,0.25467005372047424,
3,0.48851335048675537,0.268450528383255,0.25425493717193604,0.2384295016527176,0.226729616522789,0.2285836786031723,0.22468918561935425,0.21956205368041992,0.22873792052268982,0.219667449593544,0.18571515381336212,0.18327032029628754,0.16789044439792633,0.2788771390914917,,
4,0.4881868362426758,0.2904585003852844,0.27610161900520325,0.2586669623851776,0.24927663803100586,0.25436270236968994,0.24539880454540253,0.24322004616260529,0.25537532567977905,0.24140383303165436,0.2225698083639145,0.20813937485218048,0.2955090403556824,,,
5,0.48858383297920227,0.3004843592643738,0.2924845516681671,0.27042731642723083,0.27030813694000244,0.2745581865310669,0.2669104039669037,0.26080888509750366,0.2754235863685608,0.27368396520614624,0.2446444034576416,0.31415441632270813,,,,
6,0.48774516582489014,0.3117193877696991,0.29740574955940247,0.29017969965934753,0.28763288259506226,0.2960304915904999,0.28393349051475525,0.2778937816619873,0.3057558834552765,0.2911871671676636,0.339650422334671,,,,,
7,0.48835915327072144,0.3146354854106903,0.31453657150268555,0.3063690662384033,0.30781832337379456,0.31410953402519226,0.300246000289917,0.29592588543891907,0.3207157850265503,0.3623172342777252,,,,,,
8,0.48843204975128174,0.32549774646759033,0.3255921006202698,0.32593777775764465,0.3249824643135071,0.32904452085494995,0.31829243898391724,0.3051415681838989,0.38606491684913635,,,,,,,
9,0.48796603083610535,0.33588483929634094,0.3435490131378174,0.3426985740661621,0.3389623165130615,0.3510105609893799,0.32850685715675354,0.38124656677246094,,,,,,,,
10,0.4863574206829071,0.3488313853740692,0.3587290942668915,0.356086403131485,0.36044609546661377,0.3627122640609741,0.39604273438453674,,,,,,,,,
11,0.4832661747932434,0.3595559895038605,0.37179043889045715,0.3779253661632538,0.37192919850349426,0.4149821102619171,,,,,,,,,,
12,0.4789363741874695,0.371902197599411,0.39286863803863525,0.3897928297519684,0.42050978541374207,,,,,,,,,,,
13,0.47834813594818115,0.3870152235031128,0.40430936217308044,0.4320942759513855,,,,,,,,,,,,
14,0.4744243621826172,0.394794762134552,0.4404361844062805,,,,,,,,,,,,,
15,0.47544220089912415,0.43329334259033203,,,,,,,,,,,,,,
