block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.5954276457563796,-0.36072868525635876,-0.25100962124953746,-0.4153902309979365,-0.4469562594998109,-0.48471392722312123,-0.532835903045821,-0.4279157354483863,-0.4710443833256466,-0.4418258089412944,-0.5095440780744853,-0.5553665873358822,-0.6564668722219285,-0.6184583614859462,-0.7045428513940385,-0.19691610087501812
2,0.6115353603196206,-0.10572741636494243,-0.18663179086077333,-0.2807221836213315,-0.3148373631421283,-0.3356770458710986,-0.31011581509052083,-0.27821694833787824,-0.30990179116017735,-0.29139947755263906,-0.37328120888925237,-0.4310906264637391,-0.5145702915936718,-0.5096246326549871,-0.13798073280611423,
3,0.6215215375886979,-0.05174472631482785,-0.1282994022043598,-0.1907286043016761,-0.19678940967379924,-0.18767288119165498,-0.17759632908234563,-0.1976361553103846,-0.18255135484181453,-0.18200445432276074,-0.2802547197518946,-0.33764924228266013,-0.419833200744608,-0.059358268304579444,,
4,0.6204610483075254,-0.016094272662413447,-0.06837291117103447,-0.12017236725012787,-0.07795737082296528,-0.07418473399408831,-0.10913388233403688,-0.142019735116785,-0.08568227032978604,-0.1030157383742171,-0.20272825172597336,-0.2600814923688789,-0.005339329357783769,,,
5,0.6217504584676659,0.010820064814913502,-0.015162600140897764,-0.02192010978554155,0.016032912391034694,-0.007963908882183483,-0.06672649934551797,-0.09710050253151231,-0.01109135493544872,-0.03248000800630243,-0.13640810221076338,0.08837646062955336,,,,
6,0.6236024617965111,0.04731044010359881,0.03137694001562731,0.06165319990752772,0.07274905811876109,0.036858928994489046,-0.03198974334041807,-0.05880732678669401,0.055215178799203915,0.017408115390029084,0.17152330076816602,,,,,
7,0.6234891900901722,0.0856798827080811,0.1093308977040929,0.10158002008763756,0.1181782318603088,0.08103842400151468,0.010045896024221816,-0.0039854535294010975,0.10001447663658843,0.24794220712669301,,,,,,
8,0.62508069136227,0.13948614498030049,0.15755559993745086,0.1406418350414964,0.14494493008382303,0.13491896464155761,0.0686591269791933,0.025946265980378583,0.31471051861046107,,,,,,,
9,0.6214561898910658,0.1796329613962208,0.1980330471002925,0.158886836616719,0.18436948916481943,0.18664425275493657,0.10183465050418425,0.27312854580505097,,,,,,,,
10,0.6190888788246576,0.21251471297810315,0.2203991352610674,0.1953650909695241,0.21348526156982084,0.22217303878333344,0.32118518480182967,,,,,,,,,
11,0.6113288495651603,0.23212942854486518,0.25744133190059637,0.2623415810384253,0.2535779356099498,0.39541733362054,,,,,,,,,,
12,0.6057268012223278,0.2651713554012406,0.3108760016244581,0.30088604933877205,0.403378219784713,,,,,,,,,,,
13,0.6036970597140332,0.2918646308014808,0.3480344580575988,0.4382773916339171,,,,,,,,,,,,
14,0.6037103857971319,0.3171318817122805,0.4653711698115775,,,,,,,,,,,,,
15,0.6038168383526387,0.4444513497368787,,,,,,,,,,,,,,
