block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.4856262505054474,0.18211007118225098,0.17790396511554718,0.14697325229644775,0.1453389972448349,0.14465734362602234,0.1323552429676056,0.16980011761188507,0.1440555602312088,0.15849092602729797,0.14460782706737518,0.13046599924564362,0.0992642417550087,0.08900073915719986,0.08403857052326202,0.22503338754177094
2,0.49000757932662964,0.2351887971162796,0.21836619079113007,0.195577010512352,0.1889808028936386,0.1958158314228058,0.2005685269832611,0.2055293321609497,0.20124372839927673,0.2119320183992386,0.1866615265607834,0.16882027685642242,0.1372886747121811,0.124730683863163,0.2557074725627899,
3,0.49080905318260193,0.2646573483943939,0.24762995541095734,0.223777174949646,0.2225431203842163,0.22759957611560822,0.2302398532629013,0.23317983746528625,0.24552492797374725,0.24569371342658997,0.2153715342283249,0.19765833020210266,0.1670772284269333,0.2731456756591797,,
4,0.4919641613960266,0.2850804328918457,0.26981523633003235,0.24952445924282074,0.24626582860946655,0.25668618083000183,0.2540750801563263,0.2580338716506958,0.2754208445549011,0.2700713574886322,0.23929789662361145,0.22159743309020996,0.29697662591934204,,,
5,0.4930782616138458,0.29333335161209106,0.2905071973800659,0.26355767250061035,0.2710888981819153,0.28176426887512207,0.27685463428497314,0.27189692854881287,0.29844123125076294,0.29184022545814514,0.25976574420928955,0.32913917303085327,,,,
6,0.4943216145038605,0.30961501598358154,0.2943200469017029,0.28543052077293396,0.29176855087280273,0.30608388781547546,0.29199153184890747,0.28371503949165344,0.3189048767089844,0.30723679065704346,0.35480010509490967,,,,,
7,0.4942866563796997,0.31528493762016296,0.3147220313549042,0.3022650480270386,0.3139355778694153,0.3268744945526123,0.3048502504825592,0.29970309138298035,0.3327309191226959,0.37838464975357056,,,,,,
8,0.4947778284549713,0.32946065068244934,0.32695770263671875,0.3238653242588043,0.33305612206459045,0.3435032069683075,0.3203040659427643,0.3075154721736908,0.39899080991744995,,,,,,,
9,0.49365922808647156,0.3389998972415924,0.346967875957489,0.3417379856109619,0.34859877824783325,0.3594667613506317,0.32902246713638306,0.37793344259262085,,,,,,,,
10,0.4929286241531372,0.3547682762145996,0.3643491566181183,0.3566643297672272,0.3638213872909546,0.37043172121047974,0.3949975371360779,,,,,,,,,
11,0.490533709526062,0.36594030261039734,0.3787212371826172,0.37120798230171204,0.3743438124656677,0.42389869689941406,,,,,,,,,,
12,0.48782801628112793,0.3760527968406677,0.39194154739379883,0.381296306848526,0.42635560035705566,,,,,,,,,,,
13,0.4881783723831177,0.38822081685066223,0.4015946388244629,0.43039706349372864,,,,,,,,,,,,
14,0.4881824851036072,0.3942246735095978,0.4431585371494293,,,,,,,,,,,,,
15,0.4868108928203583,0.4316588342189789,,,,,,,,,,,,,,
