task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
syntax,1,14,14,0.07843504101037979
syntax,2,12,13,0.13872182369232178
syntax,3,12,14,0.16789044439792633
syntax,4,11,14,0.20813937485218048
syntax,5,10,14,0.2446444034576416
syntax,6,7,12,0.2778937816619873
syntax,7,7,13,0.29592588543891907
syntax,8,7,14,0.3051415681838989
syntax,9,6,14,0.32850685715675354
syntax,10,1,10,0.3488313853740692
syntax,11,1,11,0.3595559895038605
syntax,12,1,12,0.371902197599411
syntax,13,1,13,0.3870152235031128
syntax,14,1,14,0.394794762134552
syntax,15,1,15,0.43329334259033203
