block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.5941080092079107,-0.3791343131107785,-0.28681927132947294,-0.444993087326786,-0.46358919860903264,-0.4999373950754459,-0.5518374499907598,-0.4215858531714554,-0.49245726659524136,-0.4668033263017833,-0.519940154672026,-0.5379282153413992,-0.5906029338103473,-0.14852810693116422
2,0.6097264740928907,-0.13412293314960047,-0.21357499454254236,-0.2980550553702821,-0.3345457353942685,-0.34722243341860365,-0.3272039866022639,-0.3010887351153752,-0.32878680748476874,-0.2936667682643829,-0.3616364301033184,-0.3448305827611977,-0.0763717904598557,
3,0.6209792239823372,-0.07227809382319247,-0.15501995331317808,-0.2061272770443332,-0.2177221100524205,-0.2067080687620725,-0.1961923889455502,-0.2220456280079912,-0.18125205749908102,-0.1662807351219195,-0.21421483672029332,0.020319966080178276,,
4,0.6204678608476837,-0.036431430669988774,-0.08309001345510328,-0.13990821622014438,-0.098233426557667,-0.08906337326423411,-0.13352712330645067,-0.1372884286382401,-0.06749664525490694,-0.0410996068639612,0.1097658553018829,,,
5,0.6211199326582244,-0.005211459021752269,-0.029470443301907193,-0.04652635135409014,0.0018101626686002853,-0.02479162475656701,-0.07865204545232615,-0.08897198667906453,0.0461784400751543,0.20195142387000198,,,,
6,0.6234999814652398,0.03099080272825386,0.0009276686186006252,0.0419112786082011,0.05597154177136865,0.02524973029169549,-0.025549359754082075,-0.06512680440888702,0.27323841007007504,,,,,
7,0.6237855554576923,0.05923909476932844,0.08364495799654126,0.0776420777936627,0.10707421469259179,0.08577311170296138,0.016890156569030076,0.22322636465621631,,,,,,
8,0.6257464771845643,0.11753192081636783,0.13143842986154575,0.12374880329918331,0.13956556321066632,0.15878663435723167,0.2778089067286232,,,,,,,
9,0.6222639707622977,0.15612511421944575,0.17930367386578275,0.14582998641423747,0.1977852018931926,0.349708155707803,,,,,,,,
10,0.6196083590441337,0.19512285987774686,0.20788263209552543,0.22612060505890674,0.3623571707244702,,,,,,,,,
11,0.6103491071550985,0.22073671896950675,0.2778851280365845,0.40216175206535565,,,,,,,,,,
12,0.601050380887927,0.26683131397262183,0.432238502698711,,,,,,,,,,,
13,0.6024119023941703,0.4135972517014886,,,,,,,,,,,,
14,0.5725936673931742,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
