block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,1.7650337367840256,-1.2396086498295569,-1.1336412670835219,-1.4402304311185015,-1.492045079846892,-1.5795069397266013,-1.7102427611786462,-1.3265843884692718,-1.5319887846462654,-1.4345908673773633,-1.6795942395764514,-1.8197945662303683,-1.8423681071534217,-0.5469176485850523
2,1.8167743962639904,-0.5799110378498786,-0.7641734893682722,-0.9717316432312637,-1.0600437554175497,-1.0830381958182218,-0.9867356414807491,-0.938942113955908,-1.0068429277980624,-0.9900911839880717,-1.274663575492976,-1.2553093658863428,-0.3030461427211911,
3,1.8341099171383366,-0.32268195615443507,-0.5036143636881277,-0.6953320040638201,-0.7352659462545114,-0.6855102823839676,-0.6662233114224885,-0.705607572936783,-0.6395277381075694,-0.6796750288079525,-0.8634336818940778,-0.014267381139460692,,
4,1.839477910350899,-0.1436105003935788,-0.3129416901999013,-0.47405895486947025,-0.45291388590468584,-0.3878080909676901,-0.46365258513280266,-0.4784880386357062,-0.3819982607555957,-0.34724013019832317,0.25227533903590765,,,
5,1.8390351256393906,-0.07153203596798954,-0.1566343807286693,-0.28124738669979193,-0.2020853212051538,-0.17712551007078073,-0.26186151502986266,-0.34328062403708504,-0.08925319501388784,0.4795704114428839,,,,
6,1.8321874335319914,0.03716832146047757,-0.04735236720979944,-0.055735461458071206,-0.023917256925468727,0.027773193352872587,-0.12067207687621415,-0.25003227125673366,0.6899808770207582,,,,,
7,1.8417172318206938,0.14107703465410767,0.1600473901335825,0.08812368722628718,0.1707453851607494,0.20360838280448068,0.006319759110353696,0.6118675112396742,,,,,,
8,1.8364552253719144,0.28173845623858923,0.284805279837745,0.272517100518348,0.3375982616211479,0.4029078378547897,0.7829962424438119,,,,,,,
9,1.8161293577449766,0.3863868645842087,0.4600810008900025,0.4239354894613305,0.5396935088644144,1.0189684983107465,,,,,,,,
10,1.8159597245010528,0.5236318533218101,0.6102442698229601,0.6221190351027914,1.0826402196825586,,,,,,,,,
11,1.8068658059851415,0.6321044052015389,0.823707617404285,1.1439875124801966,,,,,,,,,,
12,1.7775225042114107,0.7719307864228733,1.264830523866956,,,,,,,,,,,
13,1.7721656583659184,1.1996861500738574,,,,,,,,,,,,
14,1.6977213758640048,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
