block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.48562464118003845,0.1832963079214096,0.17762142419815063,0.14644712209701538,0.14581871032714844,0.14589178562164307,0.1318005472421646,0.17812684178352356,0.14837956428527832,0.1632598638534546,0.14835041761398315,0.142904594540596,0.126957505941391,0.23149588704109192
2,0.48998722434043884,0.23519881069660187,0.21758359670639038,0.19550776481628418,0.18978413939476013,0.19615598022937775,0.20663920044898987,0.21301116049289703,0.20622143149375916,0.21685390174388885,0.19627632200717926,0.20136423408985138,0.26849204301834106,
3,0.49125897884368896,0.26404401659965515,0.24723047018051147,0.223988875746727,0.2222939133644104,0.2300649732351303,0.23581524193286896,0.23853695392608643,0.25088706612586975,0.2554195821285248,0.2409076988697052,0.31191229820251465,,
4,0.49229663610458374,0.2845376133918762,0.2697452902793884,0.24865694344043732,0.24805299937725067,0.2592049837112427,0.258249968290329,0.26419690251350403,0.28532612323760986,0.2933177351951599,0.3389917314052582,,,
5,0.4933375120162964,0.2926023304462433,0.28967005014419556,0.2646556794643402,0.2730066776275635,0.2839082181453705,0.28194886445999146,0.2788245379924774,0.3197408616542816,0.36690059304237366,,,,
6,0.49452295899391174,0.3084326386451721,0.29457300901412964,0.2867482304573059,0.29366183280944824,0.30878061056137085,0.298025518655777,0.28604358434677124,0.3884824812412262,,,,,
7,0.49460941553115845,0.31623128056526184,0.31543397903442383,0.3036469519138336,0.31649312376976013,0.3317280113697052,0.3089599013328552,0.361940860748291,,,,,,
8,0.49520307779312134,0.33066919445991516,0.32793736457824707,0.32567697763442993,0.33786457777023315,0.3538326025009155,0.3799852430820465,,,,,,,
9,0.49414876103401184,0.34035176038742065,0.34836721420288086,0.3458241820335388,0.3584643304347992,0.4116334319114685,,,,,,,,
10,0.493344783782959,0.35666966438293457,0.3679082691669464,0.36643725633621216,0.41471147537231445,,,,,,,,,
11,0.49054157733917236,0.36947792768478394,0.3890892267227173,0.41946709156036377,,,,,,,,,,
12,0.4877264201641083,0.38127437233924866,0.4339384436607361,,,,,,,,,,,
13,0.4881386160850525,0.4208117425441742,,,,,,,,,,,,
14,0.47845906019210815,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
