block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.47885850071907043,0.17186661064624786,0.22173327207565308,0.17510093748569489,0.15883877873420715,0.14369843900203705,0.13417847454547882,0.17014577984809875,0.16110768914222717,0.1686709076166153,0.13573141396045685,0.10811852663755417,0.11592436581850052,0.26250386238098145
2,0.4827492833137512,0.2667507529258728,0.24332693219184875,0.21504615247249603,0.20534202456474304,0.19609522819519043,0.2083764374256134,0.2175263911485672,0.20877838134765625,0.20530955493450165,0.16548649966716766,0.1624019891023636,0.2757573425769806,
3,0.48330414295196533,0.28498366475105286,0.2605179250240326,0.24169646203517914,0.24210429191589355,0.2453514188528061,0.2484516203403473,0.23935775458812714,0.2371181696653366,0.225038543343544,0.2006143033504486,0.2940572202205658,,
4,0.4840269982814789,0.2953612804412842,0.27360019087791443,0.2633870542049408,0.2773315906524658,0.2800350785255432,0.2669264078140259,0.25770413875579834,0.24988794326782227,0.25063496828079224,0.319407194852829,,,
5,0.48269060254096985,0.2995535731315613,0.28447139263153076,0.2925757169723511,0.3068261444568634,0.29898348450660706,0.28159791231155396,0.2651178240776062,0.2713544964790344,0.3367254137992859,,,,
6,0.4805276393890381,0.30551156401634216,0.3065659701824188,0.31864863634109497,0.3227938413619995,0.31373652815818787,0.2896655201911926,0.27182209491729736,0.3558802306652069,,,,,
7,0.48247984051704407,0.3237571716308594,0.3309524357318878,0.3291826844215393,0.33785977959632874,0.32350683212280273,0.30006054043769836,0.36616161465644836,,,,,,
8,0.4805099070072174,0.3409428894519806,0.34504276514053345,0.34277573227882385,0.347438782453537,0.3383687436580658,0.3829496502876282,,,,,,,
9,0.4763980209827423,0.3523208200931549,0.35915425419807434,0.34926837682724,0.3646029233932495,0.4025915861129761,,,,,,,,
10,0.47897642850875854,0.3638180196285248,0.3675798177719116,0.36395204067230225,0.412546843290329,,,,,,,,,
11,0.4825668931007385,0.3713694214820862,0.3860640525817871,0.4142669439315796,,,,,,,,,,
12,0.48203492164611816,0.3849588930606842,0.42693406343460083,,,,,,,,,,,
13,0.48061415553092957,0.4282279908657074,,,,,,,,,,,,
14,0.47510284185409546,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
