block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.4781477153301239,0.18656764924526215,0.17313836514949799,0.15940341353416443,0.16104193031787872,0.15005601942539215,0.13436970114707947,0.16720502078533173,0.14408668875694275,0.1509152054786682,0.12551866471767426,0.1168893352150917,0.11798474192619324,0.25488850474357605
2,0.48544180393218994,0.23686598241329193,0.22277379035949707,0.2110731154680252,0.20004414021968842,0.19621272385120392,0.20226311683654785,0.20096659660339355,0.19619087874889374,0.19419540464878082,0.16955505311489105,0.17348745465278625,0.27807486057281494,
3,0.48884284496307373,0.2671220600605011,0.2543041706085205,0.2388574481010437,0.22806181013584137,0.2320130318403244,0.22892341017723083,0.2236255705356598,0.233564093708992,0.22928880155086517,0.21327634155750275,0.3032471835613251,,
4,0.48868829011917114,0.29014647006988525,0.2760443389415741,0.25887155532836914,0.2515697181224823,0.2573424279689789,0.24881130456924438,0.24784491956233978,0.263927161693573,0.26568838953971863,0.33078476786613464,,,
5,0.48888537287712097,0.29958242177963257,0.2922503650188446,0.2712514102458954,0.2722311019897461,0.2769317924976349,0.27110055088996887,0.266506552696228,0.2960423231124878,0.3538660705089569,,,,
6,0.4878496825695038,0.31052422523498535,0.2977341413497925,0.2906252145767212,0.2890903353691101,0.2989051640033722,0.2894532084465027,0.28060993552207947,0.37627771496772766,,,,,
7,0.48864230513572693,0.31543901562690735,0.3145921528339386,0.3064355254173279,0.3096868693828583,0.31912434101104736,0.30626243352890015,0.368625670671463,,,,,,
8,0.48847877979278564,0.32592037320137024,0.3253714442253113,0.3262381851673126,0.328960657119751,0.3420569598674774,0.38512274622917175,,,,,,,
9,0.48760345578193665,0.33621856570243835,0.34348437190055847,0.34523332118988037,0.35188040137290955,0.4047113358974457,,,,,,,,
10,0.4857114851474762,0.3496222496032715,0.36072370409965515,0.36950042843818665,0.4106766879558563,,,,,,,,,
11,0.4820805788040161,0.3618786633014679,0.38514578342437744,0.4227072596549988,,,,,,,,,,
12,0.47656765580177307,0.378431499004364,0.43179768323898315,,,,,,,,,,,
13,0.47599363327026367,0.42388665676116943,,,,,,,,,,,,
14,0.46880701184272766,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
