block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.485506534576416,0.1726909726858139,0.16715022921562195,0.14206938445568085,0.14814241230487823,0.14490936696529388,0.14254681766033173,0.14074930548667908,0.13271813094615936,0.07848571240901947,0.10661008208990097,0.11568456888198853,0.12664654850959778,0.16708236932754517,0.13534463942050934,0.14401988685131073,0.13079456984996796,0.11413204669952393,0.09859929233789444,0.0875646322965622,0.08723726123571396,0.2140207141637802
2,0.48963186144828796,0.22290785610675812,0.20685072243213654,0.19228588044643402,0.18885064125061035,0.1964440792798996,0.18255406618118286,0.17074938118457794,0.149266317486763,0.12553797662258148,0.14995887875556946,0.16208292543888092,0.18962854146957397,0.19665659964084625,0.18726788461208344,0.19091950356960297,0.17353959381580353,0.15449967980384827,0.1355474591255188,0.12500736117362976,0.24705365300178528,
3,0.49015113711357117,0.2513868510723114,0.23655380308628082,0.21761225163936615,0.22132064402103424,0.21883641183376312,0.20245420932769775,0.18043269217014313,0.168206587433815,0.1623717099428177,0.18584544956684113,0.20927536487579346,0.21389392018318176,0.22278518974781036,0.22592203319072723,0.22373747825622559,0.20395123958587646,0.18257416784763336,0.16661091148853302,0.26452839374542236,,
4,0.49115434288978577,0.2717367708683014,0.2531792223453522,0.2410985678434372,0.23759229481220245,0.23281468451023102,0.2094995677471161,0.19166775047779083,0.18964868783950806,0.1948438137769699,0.22659794986248016,0.23131243884563446,0.2370634824037552,0.24612297117710114,0.25575584173202515,0.24888017773628235,0.2266034334897995,0.20768529176712036,0.2890316843986511,,,
5,0.4927334785461426,0.2771351635456085,0.27041080594062805,0.2550489604473114,0.2485925704240799,0.24220925569534302,0.21690955758094788,0.2072441279888153,0.2116122990846634,0.2322126179933548,0.24487078189849854,0.2526937425136566,0.2603398561477661,0.2664574086666107,0.2797091007232666,0.26891443133354187,0.24809497594833374,0.31365692615509033,,,,
6,0.494178831577301,0.28941866755485535,0.27932068705558777,0.2631474733352661,0.2564295828342438,0.24777157604694366,0.22938910126686096,0.22569605708122253,0.24703635275363922,0.2508326768875122,0.2638586759567261,0.27437886595726013,0.2797732949256897,0.2817671298980713,0.2982216477394104,0.28566867113113403,0.3417194187641144,,,,,
7,0.4937158524990082,0.3005240261554718,0.2861700654029846,0.26923736929893494,0.26046133041381836,0.25952133536338806,0.24423354864120483,0.25947749614715576,0.2607199251651764,0.27214711904525757,0.284370094537735,0.2925780117511749,0.2945321798324585,0.2976328730583191,0.31367334723472595,0.36184877157211304,,,,,,
8,0.4946255683898926,0.3063390254974365,0.2908967137336731,0.27282851934432983,0.2705152928829193,0.2739975154399872,0.27307721972465515,0.2701260447502136,0.2788889706134796,0.2927047908306122,0.3008280098438263,0.30703526735305786,0.3100029528141022,0.30807459354400635,0.3836619555950165,,,,,,,
9,0.4947875440120697,0.31200358271598816,0.29325878620147705,0.28116291761398315,0.28276771306991577,0.2915884554386139,0.28292766213417053,0.2841874957084656,0.2970429062843323,0.3104112148284912,0.3144480288028717,0.32216694951057434,0.31967809796333313,0.3763299286365509,,,,,,,,
10,0.4949707090854645,0.31308597326278687,0.3009401559829712,0.29211145639419556,0.30015844106674194,0.3053399920463562,0.2958451509475708,0.3000422418117523,0.3127829432487488,0.32478639483451843,0.32896098494529724,0.3306085467338562,0.3816568851470947,,,,,,,,,
11,0.4955771863460541,0.3199024796485901,0.30951395630836487,0.3077629506587982,0.3128840923309326,0.32000693678855896,0.31085413694381714,0.31331637501716614,0.32546114921569824,0.339396208524704,0.33765462040901184,0.3889196813106537,,,,,,,,,,
12,0.49456024169921875,0.32750192284584045,0.3246472477912903,0.31955915689468384,0.325757771730423,0.3377458453178406,0.3243774473667145,0.3237217366695404,0.3392411470413208,0.34837499260902405,0.39369988441467285,,,,,,,,,,,
13,0.49421459436416626,0.34021180868148804,0.3356762230396271,0.33032429218292236,0.34221509099006653,0.3537573218345642,0.3349492847919464,0.3364984393119812,0.3473612368106842,0.4020819365978241,,,,,,,,,,,,
14,0.4929559826850891,0.34702005982398987,0.34314271807670593,0.34630265831947327,0.3572302758693695,0.36748817563056946,0.3471809923648834,0.342960923910141,0.40091472864151,,,,,,,,,,,,,
15,0.4931192100048065,0.3533765375614166,0.3574657142162323,0.360188364982605,0.3702680170536041,0.38006624579429626,0.3539023995399475,0.39760714769363403,,,,,,,,,,,,,,
