block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.4780007600784302,0.16590921580791473,0.21249572932720184,0.1764782816171646,0.15819251537322998,0.15238620340824127,0.15830908715724945,0.09842251241207123,0.13969536125659943,0.15939879417419434,0.13878247141838074,0.14619512856006622,0.1166725903749466,0.08418726921081543,0.08086289465427399,0.07855750620365143,0.07626672089099884,0.22820976376533508
2,0.48175856471061707,0.2591339349746704,0.2400212287902832,0.21396921575069427,0.20387369394302368,0.2045416533946991,0.18248029053211212,0.1645183563232422,0.19759103655815125,0.19377084076404572,0.18162274360656738,0.17607812583446503,0.14190633594989777,0.11912257224321365,0.11149504780769348,0.11651579290628433,0.24863272905349731,
3,0.48180872201919556,0.2807605564594269,0.25184014439582825,0.24103707075119019,0.24016845226287842,0.2228366583585739,0.21802513301372528,0.21537579596042633,0.22905249893665314,0.21327267587184906,0.2041742205619812,0.19297124445438385,0.16573774814605713,0.1453784555196762,0.142251119017601,0.26386353373527527,,
4,0.4827089011669159,0.28817811608314514,0.26084545254707336,0.25919780135154724,0.2562590539455414,0.25021085143089294,0.2511707544326782,0.24457038938999176,0.24756979942321777,0.22564759850502014,0.21672843396663666,0.2114754319190979,0.18674027919769287,0.17177462577819824,0.2799701690673828,,,
5,0.48324328660964966,0.292331725358963,0.26909518241882324,0.27093446254730225,0.28039297461509705,0.2723422944545746,0.27314743399620056,0.2619909346103668,0.2622954249382019,0.2327047437429428,0.23368942737579346,0.2288079708814621,0.21054475009441376,0.2928537130355835,,,,
6,0.4847526550292969,0.2940486967563629,0.28269362449645996,0.28877973556518555,0.2980797290802002,0.29336801171302795,0.2867293357849121,0.2762391269207001,0.2696512043476105,0.24442428350448608,0.25016894936561584,0.24684442579746246,0.315859854221344,,,,,
7,0.48510146141052246,0.30548572540283203,0.2957824170589447,0.30407410860061646,0.31450510025024414,0.3054770231246948,0.29773396253585815,0.28394898772239685,0.27998143434524536,0.252975732088089,0.2673245370388031,0.33217886090278625,,,,,,
8,0.4789813756942749,0.31201016902923584,0.3142111599445343,0.31869810819625854,0.3249567747116089,0.31619417667388916,0.3056800365447998,0.2957392930984497,0.2899652421474457,0.2630845010280609,0.35000598430633545,,,,,,,
9,0.4786021411418915,0.3302914500236511,0.32875287532806396,0.3259064257144928,0.33588001132011414,0.32340896129608154,0.3175177574157715,0.3052424490451813,0.3001461625099182,0.3530648946762085,,,,,,,,
10,0.4791865944862366,0.33962008357048035,0.33706527948379517,0.3360969126224518,0.34298834204673767,0.33508607745170593,0.3259866237640381,0.31580430269241333,0.37315601110458374,,,,,,,,,
11,0.47908815741539,0.3473106324672699,0.34757524728775024,0.34147876501083374,0.35379379987716675,0.3432319164276123,0.3379664123058319,0.38225749135017395,,,,,,,,,,
12,0.48096317052841187,0.35518506169319153,0.3537437617778778,0.35161715745925903,0.36339032649993896,0.3554336428642273,0.3944591283798218,,,,,,,,,,,
13,0.48427614569664,0.3612044155597687,0.3636323809623718,0.36006349325180054,0.3747173547744751,0.40657734870910645,,,,,,,,,,,,
14,0.4845884442329407,0.37036779522895813,0.37315693497657776,0.3699341416358948,0.4149884283542633,,,,,,,,,,,,,
15,0.48063308000564575,0.37833067774772644,0.3836561441421509,0.41419538855552673,,,,,,,,,,,,,,
