block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.47777053713798523,0.17837552726268768,0.16874681413173676,0.1561092734336853,0.1712798923254013,0.15126584470272064,0.14907509088516235,0.11958280205726624,0.1393664926290512,0.1546519249677658,0.12967418134212494,0.13555489480495453,0.11471211165189743,0.09874770045280457,0.08661115914583206,0.11048197001218796,0.07870285212993622,0.22911685705184937
2,0.48388671875,0.23068270087242126,0.21592837572097778,0.21296972036361694,0.2013094574213028,0.2013498842716217,0.18544934689998627,0.1750713437795639,0.1912173330783844,0.18746930360794067,0.17867015302181244,0.17519286274909973,0.15224593877792358,0.13214075565338135,0.13656513392925262,0.14105139672756195,0.25255081057548523,
3,0.4870813488960266,0.25954070687294006,0.25017473101615906,0.2321571409702301,0.2267361581325531,0.2291875034570694,0.21593746542930603,0.2148718386888504,0.22143550217151642,0.21179541945457458,0.21203471720218658,0.2048872411251068,0.17763227224349976,0.17709092795848846,0.16398459672927856,0.2789500057697296,,
4,0.4871163070201874,0.2856159806251526,0.26225778460502625,0.24902182817459106,0.25038641691207886,0.2549741566181183,0.2408425360918045,0.23918819427490234,0.243439182639122,0.23334242403507233,0.23798760771751404,0.22605930268764496,0.21773062646389008,0.2006419152021408,0.29375526309013367,,,
5,0.49010583758354187,0.29036906361579895,0.2746952772140503,0.269305020570755,0.2671812176704407,0.26750537753105164,0.26070335507392883,0.25926634669303894,0.26743441820144653,0.25128331780433655,0.25730887055397034,0.2611099183559418,0.23963485658168793,0.31041237711906433,,,,
6,0.48846548795700073,0.299102246761322,0.29106470942497253,0.28398597240448,0.2774105370044708,0.2865244448184967,0.2775231599807739,0.2815365791320801,0.28518059849739075,0.2686837911605835,0.29077646136283875,0.2787019908428192,0.3360620439052582,,,,,
7,0.4880121946334839,0.31300994753837585,0.30169063806533813,0.28990352153778076,0.2930215299129486,0.302311509847641,0.29728594422340393,0.2992658317089081,0.30167439579963684,0.2903423011302948,0.3061641454696655,0.35503146052360535,,,,,,
8,0.48715850710868835,0.3194407522678375,0.30826711654663086,0.3053101599216461,0.30539795756340027,0.3215485215187073,0.3135845363140106,0.3155761957168579,0.32552817463874817,0.29988881945610046,0.3755732476711273,,,,,,,
9,0.4871476888656616,0.32544273138046265,0.3212491273880005,0.3166617751121521,0.323536217212677,0.33744195103645325,0.32854244112968445,0.3389783203601837,0.33560121059417725,0.37398770451545715,,,,,,,,
10,0.4865032136440277,0.3339404761791229,0.3280467987060547,0.33453938364982605,0.33837783336639404,0.3503468632698059,0.35127660632133484,0.3493063449859619,0.3938846290111542,,,,,,,,,
11,0.4869850277900696,0.3412017226219177,0.3442732095718384,0.3487128019332886,0.35047370195388794,0.37463071942329407,0.3616877794265747,0.4048417806625366,,,,,,,,,,
12,0.48562097549438477,0.35296547412872314,0.3567284941673279,0.3603433072566986,0.37288787961006165,0.38530245423316956,0.41448068618774414,,,,,,,,,,,
13,0.4830535054206848,0.36219322681427,0.36794111132621765,0.3825678527355194,0.3832511901855469,0.4288596212863922,,,,,,,,,,,,
14,0.4796657860279083,0.3732503652572632,0.38787949085235596,0.3932025730609894,0.4283367097377777,,,,,,,,,,,,,
15,0.47941792011260986,0.38821402192115784,0.3976075351238251,0.434241384267807,,,,,,,,,,,,,,
