block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.660500141772382,-0.38310882944158703,-0.24768371251764879,-0.3708846341364943,-0.40715976524303044,-0.4532937560417508,-0.4330339990930168,-0.5823891013277656,-0.4967039238523326,-0.4186813184848891,-0.49982654570800833,-0.47447088478354843,-0.5288406709451482,-0.5918632362082765,-0.6618729279863083,-0.6132367321868026,-0.6988214104961439,-0.19393244339069232
2,0.6733540507355087,-0.08815353245949509,-0.1535302641897257,-0.24264351958591768,-0.2771761605698472,-0.2748913451461409,-0.35035422243605635,-0.3943084902938111,-0.2986665556212441,-0.3117338791691888,-0.35133821061953247,-0.32658080263892303,-0.3914411136408474,-0.4656857919809428,-0.5248268144821358,-0.5096204489483691,-0.12407385246699143,
3,0.6735256183238769,-0.014177727181060258,-0.1131025996072427,-0.1500554853322566,-0.15302667305096207,-0.21087962258460174,-0.22876988953755775,-0.23783218538020368,-0.19104979188737475,-0.2205967546036398,-0.21166768811729889,-0.22083673068830126,-0.2979486965826829,-0.37217885360012565,-0.4318874587596311,-0.042207649037625,,
4,0.6766047621186858,0.011194703124437433,-0.08229913255907874,-0.08793507176913669,-0.09798732177140482,-0.11867574283724432,-0.11539230822420019,-0.13796945091421847,-0.12770969893564402,-0.13411214821240452,-0.11778389396784729,-0.14481316537253283,-0.22156998263008032,-0.2917022323752421,0.007975357343628624,,,
5,0.6784326756225665,0.025402497495240126,-0.05408018902125373,-0.04778876579859452,-0.015435073963552296,-0.04297315004878575,-0.040219097780599844,-0.07838090806322467,-0.05116515558573987,-0.0732816789016677,-0.04412246380357291,-0.07637297407584279,-0.15272708661240503,0.06903067639284328,,,,
6,0.6835956061516805,0.03127555269492647,-0.001144380924061383,0.013252596711121946,0.04506406156902171,0.02894720823959015,0.006239019717814644,-0.022193170737104393,0.007419548760533606,-0.029668707717514956,0.0194574757322995,-0.023484221113973025,0.16703892538726034,,,,,
7,0.6847887297727513,0.07323987329388516,0.037205899032261625,0.06556837623878688,0.10124852201087287,0.07036717163679485,0.04388133598360962,0.03493620765095183,0.05117723415668847,0.023564564871824695,0.06798274589213824,0.22947432521055317,,,,,,
8,0.6726905423094675,0.09503734076041911,0.1002430727392887,0.11559108307913415,0.1369994152020483,0.1206829711667859,0.0772861730744929,0.08193827318857412,0.11567090011529685,0.0560522068459684,0.29901040230371867,,,,,,,
9,0.6718160692573553,0.1552471522508273,0.1499843190261691,0.14024778193012588,0.1743633291601584,0.18412348604461215,0.12588787583384692,0.16126070203230738,0.14981385465437397,0.27992639695721666,,,,,,,,
10,0.6676954069227734,0.18715658291527598,0.1784176455933099,0.17510525958686318,0.1986780141912003,0.23462824701883034,0.202946229646635,0.19626795077406903,0.34736781099861985,,,,,,,,,
11,0.6676221515906288,0.2134627975995338,0.2143679364094695,0.20728145267243114,0.24413417429508313,0.282105921468334,0.23823531345448937,0.38450751072433065,,,,,,,,,,
12,0.6706333333463462,0.24039799149961583,0.24186814934093948,0.2522223015053344,0.2893030727655208,0.3182781894994318,0.41717896296671486,,,,,,,,,,,
13,0.681965663091419,0.2609877331682239,0.28235449512260763,0.3090091493580196,0.32098640312964716,0.4664253838266428,,,,,,,,,,,,
14,0.6830339083430594,0.2923318980706393,0.32701315724140595,0.3450559553274373,0.4694069956084107,,,,,,,,,,,,,
15,0.6695042290036446,0.3281470635557039,0.3599867487965799,0.48415863217402844,,,,,,,,,,,,,,
