block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,1.9363632468759335,-1.1935512905092782,-1.0853898395018893,-1.33541768603672,-1.3262068448295559,-1.424733183545253,-1.4198108489524128,-1.842117642097362,-1.5377387387413544,-1.3115087961728098,-1.5762457336776996,-1.4921408675599264,-1.7031945542170308,-1.931448088729324,-2.053966390585619,-2.0143034095877757,-2.133442019144296,-0.6550223202196993
2,1.9837632132764662,-0.5292027153887865,-0.6983624243823057,-0.8462793359896003,-0.9318389316147037,-0.9039879563482695,-1.1105729246867577,-1.247714460621446,-0.9453114708497766,-0.9778163412939797,-1.086735933253144,-1.0927308025769884,-1.3522583046155874,-1.5725842122686653,-1.657018405231665,-1.6583903238790922,-0.40012762017517756,
3,1.996502072153396,-0.26204024865958414,-0.4423848202770677,-0.6038410730837875,-0.6127681220936209,-0.670215271508331,-0.7894084138549036,-0.7560421167211184,-0.6466194945046995,-0.7354536320507591,-0.7568355416540232,-0.828552025716652,-1.0912004139341256,-1.2369062717109385,-1.3586057561495117,-0.20442075686674405,,
4,2.0030592732777026,-0.08013622717143012,-0.31494966509176164,-0.4059054587292738,-0.41452248118068924,-0.40671928374791966,-0.4650065887130267,-0.4958481913824989,-0.42835262238209804,-0.5336050631187931,-0.5320405797731538,-0.6174696800608033,-0.8070656915771885,-0.9863121698202817,-0.022813394825506685,,,
5,2.0203085756115517,-0.03173937147081128,-0.18686770712970807,-0.24540702316797391,-0.21308150612106538,-0.21657135115351683,-0.2599430638188275,-0.28659841348254556,-0.20974471651018306,-0.3878236229662701,-0.33487235905437973,-0.3709365284673916,-0.5825522043597501,0.16065398513980686,,,,
6,2.0247517173571254,0.04487051814567399,-0.04720634915538863,-0.08485693532924883,-0.05555113575796865,-0.011567120446656948,-0.08893981965006924,-0.08527721073044794,-0.0658475252939894,-0.24514331724191202,-0.10148300604377591,-0.19672343128386127,0.42429737271392465,,,,,
7,2.022857947168784,0.1746944790197763,0.06857394651922516,0.03837337730233196,0.11457568243822053,0.15139816805416345,0.08570706266850513,0.05831844462396706,0.06915202113676792,-0.08924666729224637,0.05788166088345957,0.6068509930089478,,,,,,
8,2.000068285066306,0.24812689564383034,0.20020221963524898,0.19703817343056357,0.2513649779914855,0.3298908392705895,0.2235352351052002,0.19673554188341646,0.23506213100881274,0.010177230843110771,0.8069935517764453,,,,,,,
9,1.9978599372315724,0.37135671762863204,0.34632376918681274,0.31010551016328286,0.420997845351525,0.47188158347613457,0.35679485970028363,0.3578788824994649,0.3342057472643485,0.7881853619108365,,,,,,,,
10,1.9935539758620604,0.46815023738250333,0.4334664326115337,0.47441646931856724,0.554454584924964,0.6060706826547881,0.5098191205818672,0.4576769971124558,0.9714279768113994,,,,,,,,,
11,1.9947771358103688,0.5507559573062922,0.5865122571970658,0.5950519358203041,0.6799979830095497,0.7634900498588753,0.6146610184202269,1.0652664194141364,,,,,,,,,,
12,1.9947331996306774,0.6642040479698698,0.6987616643017034,0.714094127202681,0.8339664079032572,0.8748095415982462,1.1715359482601735,,,,,,,,,,,
13,1.9898557135146535,0.7502917436369885,0.81107853220943,0.8617637551484436,0.9395217098287391,1.3485322518764344,,,,,,,,,,,,
14,1.9723257015382043,0.8482551692152916,0.9504130933330948,0.9618877374180208,1.3785122892024961,,,,,,,,,,,,,
15,1.9583346228804317,0.9632018851883526,1.0481822372449032,1.3996421929295253,,,,,,,,,,,,,,
