block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.485506534576416,0.1726909726858139,0.16715022921562195,0.14206938445568085,0.14814241230487823,0.14490936696529388,0.14254681766033173,0.10746169835329056,0.1361713707447052,0.16812939941883087,0.13541531562805176,0.1470063179731369,0.1352345198392868,0.11641523987054825,0.09550952166318893,0.08554714918136597,0.08447626978158951,0.21850834786891937
2,0.48963186144828796,0.22290785610675812,0.20685072243213654,0.19228588044643402,0.18885064125061035,0.1964440792798996,0.17338331043720245,0.1612822264432907,0.20145967602729797,0.19944898784160614,0.18823884427547455,0.1956316977739334,0.17626364529132843,0.15409331023693085,0.13219307363033295,0.12211427092552185,0.25004348158836365,
3,0.49015113711357117,0.2513868510723114,0.23655380308628082,0.21761225163936615,0.22132064402103424,0.21938829123973846,0.2021215558052063,0.21586981415748596,0.22793146967887878,0.22727978229522705,0.229946106672287,0.22720812261104584,0.20418158173561096,0.1820155829191208,0.16213469207286835,0.2662065625190735,,
4,0.49115434288978577,0.2717367708683014,0.2531792223453522,0.2410985678434372,0.2401459664106369,0.24401038885116577,0.23992805182933807,0.23913463950157166,0.25192326307296753,0.253105103969574,0.25798091292381287,0.2499096542596817,0.22698916494846344,0.20604684948921204,0.28899964690208435,,,
5,0.4927334785461426,0.2771351635456085,0.27041080594062805,0.25650736689567566,0.2586485743522644,0.26550155878067017,0.25861257314682007,0.2635030150413513,0.27787405252456665,0.2712697982788086,0.27997708320617676,0.2703467011451721,0.2475464642047882,0.3137659430503845,,,,
6,0.494178831577301,0.28941866755485535,0.28165706992149353,0.27136242389678955,0.277269572019577,0.28599169850349426,0.27877894043922424,0.2865254282951355,0.29536813497543335,0.28429314494132996,0.29896280169487,0.28613990545272827,0.3430323600769043,,,,,
7,0.4937158524990082,0.3024267554283142,0.2921060621738434,0.2865488529205322,0.29549333453178406,0.3063075840473175,0.29968708753585815,0.3035849332809448,0.30843469500541687,0.30018922686576843,0.3134530186653137,0.36167630553245544,,,,,,
8,0.4940258860588074,0.31118130683898926,0.3059317469596863,0.30339673161506653,0.3131377100944519,0.3291899263858795,0.3162311315536499,0.3163663148880005,0.32363590598106384,0.30989041924476624,0.38244059681892395,,,,,,,
9,0.4937647581100464,0.32323122024536133,0.3215722143650055,0.3183075785636902,0.334276020526886,0.34813401103019714,0.32879289984703064,0.3310922086238861,0.33264678716659546,0.37530460953712463,,,,,,,,
10,0.4925342798233032,0.33400532603263855,0.33222320675849915,0.33886897563934326,0.3518450856208801,0.3632153272628784,0.34282687306404114,0.33965134620666504,0.3893625736236572,,,,,,,,,
11,0.49251240491867065,0.34346750378608704,0.3507656455039978,0.3550492525100708,0.36605390906333923,0.3773231506347656,0.35135966539382935,0.39699697494506836,,,,,,,,,,
12,0.491964727640152,0.3573945164680481,0.3653772473335266,0.36846911907196045,0.37954187393188477,0.3872998058795929,0.406511127948761,,,,,,,,,,,
13,0.48972296714782715,0.3676130473613739,0.37746694684028625,0.38144296407699585,0.38900288939476013,0.4324326813220978,,,,,,,,,,,,
14,0.4875982105731964,0.37631478905677795,0.3891644775867462,0.3904950022697449,0.4333230257034302,,,,,,,,,,,,,
15,0.4877113103866577,0.387360155582428,0.39778900146484375,0.43446624279022217,,,,,,,,,,,,,,
