method,block_size,weight_json,chosen_start_layer,chosen_end_layer_inclusive,combined_score
weighted_mean_z,1,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",14,14,-1.9822262713233008
weighted_mean_z,2,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",13,14,-1.5056831494273029
weighted_mean_z,3,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",12,14,-1.0290913049163308
weighted_mean_z,4,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",11,14,-0.5876450468383729
weighted_mean_z,5,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",9,13,-0.4251910835231324
weighted_mean_z,6,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",9,14,-0.31303861204571515
weighted_mean_z,7,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",3,9,-0.0006390225961915991
weighted_mean_z,8,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",3,10,0.15710738654382642
weighted_mean_z,9,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",3,11,0.2694402477299231
weighted_mean_z,10,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",2,11,0.3920670828504754
weighted_mean_z,11,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",1,11,0.5087043180027915
weighted_mean_z,12,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",1,12,0.6214421707551354
weighted_mean_z,13,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",1,13,0.7069993388383179
weighted_mean_z,14,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",1,14,0.8291116360369508
weighted_mean_z,15,"{""syntax"": 0.3333333333333333, ""code"": 0.3333333333333333, ""math"": 0.3333333333333333}",1,15,1.2999536635129574
