block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.485506534576416,0.1726909726858139,0.16715022921562195,0.14206938445568085,0.14814241230487823,0.14490936696529388,0.14254681766033173,0.10746169835329056,0.1361713707447052,0.16812939941883087,0.13541531562805176,0.1470063179731369,0.1352345198392868,0.11641523987054825,0.09327542781829834,0.24924853444099426
2,0.48963186144828796,0.22290785610675812,0.20685072243213654,0.19228588044643402,0.18885064125061035,0.1964440792798996,0.17338331043720245,0.1612822264432907,0.20145967602729797,0.19944898784160614,0.18823884427547455,0.1956316977739334,0.17626364529132843,0.15472179651260376,0.270769327878952,
3,0.49015113711357117,0.2513868510723114,0.23655380308628082,0.21761225163936615,0.22132064402103424,0.21938829123973846,0.2021215558052063,0.21586981415748596,0.22793146967887878,0.22727978229522705,0.229946106672287,0.22720812261104584,0.20641040802001953,0.2982562482357025,,
4,0.49115434288978577,0.2717367708683014,0.2531792223453522,0.2410985678434372,0.2401459664106369,0.24401038885116577,0.23992805182933807,0.23913463950157166,0.25192326307296753,0.253105103969574,0.25798091292381287,0.25070720911026,0.32886576652526855,,,
5,0.4927334785461426,0.2771351635456085,0.27041080594062805,0.25650736689567566,0.2586485743522644,0.26550155878067017,0.25861257314682007,0.2635030150413513,0.27787405252456665,0.2712697982788086,0.2796306908130646,0.34775376319885254,,,,
6,0.494178831577301,0.28941866755485535,0.28165706992149353,0.27136242389678955,0.277269572019577,0.28599169850349426,0.27877894043922424,0.2865254282951355,0.29536813497543335,0.2797260880470276,0.36769214272499084,,,,,
7,0.4937158524990082,0.3024267554283142,0.2921060621738434,0.2865488529205322,0.29549333453178406,0.3063075840473175,0.29968708753585815,0.3035849332809448,0.3047068119049072,0.36362752318382263,,,,,,
8,0.4940258860588074,0.31118130683898926,0.3059317469596863,0.30339673161506653,0.3131377100944519,0.3291899263858795,0.3162311315536499,0.31279754638671875,0.37791210412979126,,,,,,,
9,0.4937647581100464,0.32323122024536133,0.3215722143650055,0.3183075785636902,0.334276020526886,0.34813401103019714,0.3257750868797302,0.3864789605140686,,,,,,,,
10,0.4925342798233032,0.33400532603263855,0.33222320675849915,0.33886897563934326,0.3518450856208801,0.36395448446273804,0.3966524004936218,,,,,,,,,
11,0.49251240491867065,0.34346750378608704,0.3507656455039978,0.3550492525100708,0.36667752265930176,0.42306798696517944,,,,,,,,,,
12,0.491964727640152,0.3573945164680481,0.3653772473335266,0.36948099732398987,0.4244835376739502,,,,,,,,,,,
13,0.48972296714782715,0.3676130473613739,0.3786895275115967,0.4267904460430145,,,,,,,,,,,,
14,0.4875982105731964,0.3755548596382141,0.4323134422302246,,,,,,,,,,,,,
15,0.4873351454734802,0.4232752025127411,,,,,,,,,,,,,,
