task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
math,1,13,13,0.08418726921081543
math,2,13,14,0.12723501026630402
math,3,12,14,0.1732436865568161
math,4,11,14,0.21640627086162567
math,5,9,13,0.2327047437429428
math,6,9,14,0.24121889472007751
math,7,8,14,0.2805321216583252
math,8,7,14,0.2973388731479645
math,9,6,14,0.32160016894340515
math,10,3,12,0.3360969126224518
math,11,3,13,0.34147876501083374
math,12,2,13,0.3537437617778778
math,13,1,13,0.3612044155597687
math,14,1,14,0.3755357563495636
math,15,1,15,0.42156392335891724
