block_size,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0.4780007600784302,0.16590921580791473,0.21249572932720184,0.1764782816171646,0.15819251537322998,0.15238620340824127,0.15830908715724945,0.09842251241207123,0.13969536125659943,0.15939879417419434,0.13878247141838074,0.14619512856006622,0.1166725903749466,0.08418726921081543,0.09280132502317429,0.26595339179039
2,0.48175856471061707,0.2591339349746704,0.2400212287902832,0.21396921575069427,0.20387369394302368,0.2045416533946991,0.18248029053211212,0.1645183563232422,0.19759103655815125,0.19377084076404572,0.18162274360656738,0.17607812583446503,0.14190633594989777,0.12723501026630402,0.27816835045814514,
3,0.48180872201919556,0.2807605564594269,0.25184014439582825,0.24103707075119019,0.24016845226287842,0.2228366583585739,0.21802513301372528,0.21537579596042633,0.22905249893665314,0.21327267587184906,0.2041742205619812,0.19297124445438385,0.1732436865568161,0.28907957673072815,,
4,0.4827089011669159,0.28817811608314514,0.26084545254707336,0.25919780135154724,0.2562590539455414,0.25021085143089294,0.2511707544326782,0.24457038938999176,0.24756979942321777,0.22564759850502014,0.21672843396663666,0.21640627086162567,0.31238794326782227,,,
5,0.48324328660964966,0.292331725358963,0.26909518241882324,0.27093446254730225,0.28039297461509705,0.2723422944545746,0.27314743399620056,0.2619909346103668,0.2622954249382019,0.2327047437429428,0.23859915137290955,0.3239252269268036,,,,
6,0.4847526550292969,0.2940486967563629,0.28269362449645996,0.28877973556518555,0.2980797290802002,0.29336801171302795,0.2867293357849121,0.2762391269207001,0.2696512043476105,0.24121889472007751,0.3407289683818817,,,,,
7,0.48510146141052246,0.30548572540283203,0.2957824170589447,0.30407410860061646,0.31450510025024414,0.3054770231246948,0.29773396253585815,0.28394898772239685,0.2805321216583252,0.34564071893692017,,,,,,
8,0.4789813756942749,0.31201016902923584,0.3142111599445343,0.31869810819625854,0.3249567747116089,0.31619417667388916,0.3056800365447998,0.2973388731479645,0.36591634154319763,,,,,,,
9,0.4786021411418915,0.3302914500236511,0.32875287532806396,0.3259064257144928,0.33588001132011414,0.32340896129608154,0.32160016894340515,0.37558621168136597,,,,,,,,
10,0.4791865944862366,0.33962008357048035,0.33706527948379517,0.3360969126224518,0.34298834204673767,0.3402731716632843,0.3892591595649719,,,,,,,,,
11,0.47908815741539,0.3473106324672699,0.34757524728775024,0.34147876501083374,0.3604772686958313,0.40096333622932434,,,,,,,,,,
12,0.48096317052841187,0.35518506169319153,0.3537437617778778,0.3569027781486511,0.40863218903541565,,,,,,,,,,,
13,0.48427614569664,0.3612044155597687,0.3724021911621094,0.4085927903652191,,,,,,,,,,,,
14,0.4845884442329407,0.3755357563495636,0.4185434877872467,,,,,,,,,,,,,
15,0.48294538259506226,0.42156392335891724,,,,,,,,,,,,,,
