task,block_size,best_start_layer,best_end_layer_inclusive,best_distance
syntax,1,13,13,0.09874770045280457
syntax,2,13,14,0.15223656594753265
syntax,3,12,14,0.1961674690246582
syntax,4,9,12,0.23334242403507233
syntax,5,9,13,0.25128331780433655
syntax,6,9,14,0.26759421825408936
syntax,7,3,9,0.28990352153778076
syntax,8,3,10,0.3053101599216461
syntax,9,3,11,0.3166617751121521
syntax,10,2,11,0.3280467987060547
syntax,11,1,11,0.3412017226219177
syntax,12,1,12,0.35296547412872314
syntax,13,1,13,0.36219322681427
syntax,14,1,14,0.37608128786087036
syntax,15,1,15,0.4221828579902649
